ファイル名	地図名	市区町村コード	市区町村名	座標系	測地系判別	変換プログラム	変換プログラムバージョン	変換パラメータバージョン
01101-4300-1.xml	区Ｃ（１／５００）　図郭座標無	01101	札幌市中央区	任意座標系				
01101-4300-2.xml	明　宮の森・数値　Ｈ１１	01101	札幌市中央区	公共座標12系	変換	TKY2JGD	1.3.77	2.0.6
01101-4300-3.xml	区Ｄ（１／５００）　図郭座標無	01101	札幌市中央区	任意座標系				
01101-4300-4.xml	区Ｅ（１／５００）・数値　Ｈ１１	01101	札幌市中央区	公共座標12系	変換	TKY2JGD	1.3.77	2.0.6
01101-4300-5.xml	明　円山西町・数値　Ｈ１１	01101	札幌市中央区	公共座標12系	変換	TKY2JGD	1.3.77	2.0.6
01101-4300-6.xml	明　伏見・数値　Ｈ１１	01101	札幌市中央区	公共座標12系	変換	TKY2JGD	1.3.77	2.0.6
01101-4300-7.xml	明　北１４・１５条図郭座標無・Ｈ１１	01101	札幌市中央区	任意座標系				
01101-4300-8.xml	明　連整（１／５００）・数値　Ｈ１１	01101	札幌市中央区	公共座標12系	変換	TKY2JGD	1.3.77	2.0.6
01101-4300-9.xml	区Ａ（１／６００）　図郭座標無	01101	札幌市中央区	任意座標系				
01101-4300-10.xml	区Ｂ（１／５００）　図郭座標無	01101	札幌市中央区	任意座標系				
01101-4300-11.xml	区Ｄ（１／１０００）　図郭座標無	01101	札幌市中央区	任意座標系				
01101-4300-12.xml	連Ａ　図郭座標有	01101	札幌市中央区	公共座標12系	変換	TKY2JGD	1.3.77	2.0.6
01101-4300-13.xml	連Ｂ（１／１２００）　図郭座標有	01101	札幌市中央区	公共座標12系	変換	TKY2JGD	1.3.77	2.0.6
01101-4300-14.xml	連Ｂ（１／６００）　図郭座標有	01101	札幌市中央区	公共座標12系	変換	TKY2JGD	1.3.77	2.0.6
01101-4300-15.xml	連Ｃ　図郭座標有４２枚・無１０枚	01101	札幌市中央区	公共座標12系	変換	TKY2JGD	1.3.77	2.0.6
01101-4300-16.xml	連Ｄ（１／１２００）　図郭座標無	01101	札幌市中央区	公共座標12系	測量			
01101-4300-17.xml	連Ｅ（１／１２００）　図郭座標無	01101	札幌市中央区	公共座標12系	変換	TKY2JGD	1.3.77	2.0.6
01101-4300-18.xml	連Ｅ（１／５００）　図郭座標無	01101	札幌市中央区	公共座標12系	変換	TKY2JGD	1.3.77	2.0.6
01101-4300-19.xml	連Ｆ（１／１０００）　図郭座標無	01101	札幌市中央区	公共座標12系	変換	TKY2JGD	1.3.77	2.0.6
01101-4300-20.xml	連Ｇ（１／１２００）　図郭座標有	01101	札幌市中央区	公共座標12系	変換	TKY2JGD	1.3.77	2.0.6
01101-4300-21.xml	連Ｇ（１／３０００）　図郭座標有	01101	札幌市中央区	公共座標12系	変換	TKY2JGD	1.3.77	2.0.6
01101-4300-22.xml	連Ｈ（１／３０００）　図郭座標有	01101	札幌市中央区	公共座標12系	変換	TKY2JGD	1.3.77	2.0.6
01101-4300-23.xml	明　連Ｃ（１／５００）・数値	01101	札幌市中央区	公共座標12系	変換	TKY2JGD	1.3.77	2.0.6
01101-4300-24.xml	連Ｊ（１／１０００）　図郭座標有	01101	札幌市中央区	公共座標12系	変換	TKY2JGD	1.3.77	2.0.6
01101-4300-25.xml	連Ｊ（１／１０００）　図郭座標有	01101	札幌市中央区	公共座標12系	変換	TKY2JGD	1.3.77	2.0.6
01101-4300-26.xml	明　連Ｂ（１／５００）・数値　Ｈ１１	01101	札幌市中央区	公共座標12系	変換	TKY2JGD	1.3.77	2.0.6
01101-4300-27.xml	明細図　ＦＨ・ＥＨ・ＥＪ・連整・明　数値	01101	札幌市中央区	公共座標12系	変換	TKY2JGD	1.3.77	2.0.6
01101-4300-28.xml	連Ｊ（１／１０００）　図郭座標有	01101	札幌市中央区	公共座標12系	変換	TKY2JGD	1.3.77	2.0.6
01101-4300-29.xml	連Ｂ（１／１２００）　図郭座標有	01101	札幌市中央区	公共座標12系	変換	TKY2JGD	1.3.77	2.0.6
01101-4300-30.xml	連Ｂ（１／１２００）　図郭座標有	01101	札幌市中央区	公共座標12系	変換	TKY2JGD	1.3.77	2.0.6
01101-4300-31.xml	連Ａ明細図　数値	01101	札幌市中央区	公共座標12系	変換	TKY2JGD	1.3.77	2.0.6
01101-4300-32.xml	01101_2010_1	01101	札幌市中央区	公共座標12系	測量			
01101-4300-33.xml	01101_2011_1	01101	札幌市中央区	公共座標12系	測量			
01101-4300-34.xml	01101_2011_1	01101	札幌市中央区	公共座標12系	測量			
01101-4300-35.xml	01101	01101	札幌市中央区	公共座標12系	測量			
01101-4300-36.xml	01101_2014_1	01101	札幌市中央区	公共座標12系	測量			
01101-4300-37.xml	01101_2014_0	01101	札幌市中央区	公共座標12系	測量			
01101-4300-38.xml	01101_2015_1	01101	札幌市中央区	公共座標12系	測量			
01101-4300-39.xml	01101_2016_0	01101	札幌市中央区	公共座標12系	測量			
01101-4300-40.xml	01101_2018_0	01101	札幌市中央区	公共座標12系	測量			
01101-4300-41.xml	01101_2019_0	01101	札幌市中央区	公共座標12系	測量			
01101-4300-42.xml	01101_2018_1	01101	札幌市中央区	公共座標12系	測量			
01101-4300-43.xml	01100_2018_2	01101	札幌市中央区	公共座標12系	測量			
01101-4300-44.xml	01101_2019_1	01101	札幌市中央区	公共座標12系	測量			
01101-4300-45.xml	01101_2020_0	01101	札幌市中央区	公共座標12系	測量			
01101-4300-46.xml	01101_2020_0	01101	札幌市中央区	公共座標12系	測量			
01101-4300-47.xml	01101_2021_0	01101	札幌市中央区	公共座標12系	測量			
01101-4300-48.xml	01100_2020_1	01101	札幌市中央区	公共座標12系	測量			
01101-4300-49.xml	01101_2020_1	01101	札幌市中央区	公共座標12系	測量			
01102-4306-1.xml	H14SK040112	01102	札幌市北区	公共座標12系	変換	TKY2JGD	1.3.77	2.1.1
01102-4306-2.xml	H14SK040205	01102	札幌市北区	公共座標12系	変換	TKY2JGD	1.3.77	2.1.1
01102-4306-3.xml	H14SK040230	01102	札幌市北区	公共座標12系	変換	TKY2JGD	1.3.77	2.1.1
01102-4306-4.xml	H14SK040305	01102	札幌市北区	公共座標12系	変換	TKY2JGD	1.3.77	2.1.1
01102-4306-5.xml	H14SK040505	01102	札幌市北区	公共座標12系	変換	TKY2JGD	1.3.77	2.1.1
01102-4306-6.xml	H14SK040610	01102	札幌市北区	公共座標12系	変換	TKY2JGD	1.3.77	2.1.1
01102-4306-7.xml	H14SK040710	01102	札幌市北区	公共座標12系	変換	TKY2JGD	1.3.77	2.1.1
01102-4306-8.xml	H14SK050920	01102	札幌市北区	公共座標12系	変換	TKY2JGD	1.3.77	2.1.1
01102-4306-9.xml	H15SK040805	01102	札幌市北区	公共座標12系	変換	TKY2JGD	1.3.77	2.1.1
01102-4306-10.xml	H15SK041005	01102	札幌市北区	公共座標12系	変換	TKY2JGD	1.3.77	2.1.1
01102-4306-11.xml	H15SK041105	01102	札幌市北区	公共座標12系	変換	TKY2JGD	1.3.77	2.1.1
01102-4306-12.xml	H15SK041205	01102	札幌市北区	公共座標12系	変換	TKY2JGD	1.3.77	2.1.1
01102-4306-13.xml	H15SK041305	01102	札幌市北区	公共座標12系	変換	TKY2JGD	1.3.77	2.1.1
01102-4306-14.xml	H15SK041405	01102	札幌市北区	公共座標12系	変換	TKY2JGD	1.3.77	2.1.1
01102-4306-15.xml	H15SK041505	01102	札幌市北区	公共座標12系	変換	TKY2JGD	1.3.77	2.1.1
01102-4306-16.xml	H15SK041605	01102	札幌市北区	公共座標12系	変換	TKY2JGD	1.3.77	2.1.1
01102-4306-17.xml	H15SK041705	01102	札幌市北区	公共座標12系	変換	TKY2JGD	1.3.77	2.1.1
01102-4306-18.xml	H15SK041805	01102	札幌市北区	公共座標12系	変換	TKY2JGD	1.3.77	2.1.1
01102-4306-19.xml	H15SK041810	01102	札幌市北区	公共座標12系	変換	TKY2JGD	1.3.77	2.1.1
01102-4306-20.xml	H15SK041905	01102	札幌市北区	公共座標12系	変換	TKY2JGD	1.3.77	2.1.1
01102-4306-21.xml	H15SK042005	01102	札幌市北区	公共座標12系	変換	TKY2JGD	1.3.77	2.1.1
01102-4306-22.xml	H15SK042105	01102	札幌市北区	公共座標12系	変換	TKY2JGD	1.3.77	2.1.1
01102-4306-23.xml	H15SK042205	01102	札幌市北区	公共座標12系	変換	TKY2JGD	1.3.77	2.1.1
01102-4306-24.xml	H15SK042305	01102	札幌市北区	公共座標12系	変換	TKY2JGD	1.3.77	2.1.1
01102-4306-25.xml	H15SK042405	01102	札幌市北区	公共座標12系	変換	TKY2JGD	1.3.77	2.1.1
01102-4306-26.xml	H15SK042505	01102	札幌市北区	公共座標12系	変換	TKY2JGD	1.3.77	2.1.1
01102-4306-27.xml	H15SK042705	01102	札幌市北区	公共座標12系	変換	TKY2JGD	1.3.77	2.1.1
01102-4306-28.xml	H15SK042805	01102	札幌市北区	公共座標12系	変換	TKY2JGD	1.3.77	2.1.1
01102-4306-29.xml	H15SK042906	01102	札幌市北区	公共座標12系	変換	TKY2JGD	1.3.77	2.1.1
01102-4306-30.xml	H15SK043025	01102	札幌市北区	公共座標12系	変換	TKY2JGD	1.3.77	2.1.1
01102-4306-31.xml	H15SK043120	01102	札幌市北区	任意座標系				
01102-4306-32.xml	H17SK010105	01102	札幌市北区	公共座標12系	変換	TKY2JGD	1.3.77	2.1.2
01102-4306-33.xml	KITA_KYOKU3	01102	札幌市北区	公共座標12系	変換	TKY2JGD	1.3.79	2.1.1
01102-4306-34.xml	H14SK040106	01102	札幌市北区	公共座標12系	変換	TKY2JGD	1.3.77	2.1.1
01102-4306-35.xml	H14SK040212	01102	札幌市北区	公共座標12系	変換	TKY2JGD	1.3.77	2.1.1
01102-4306-36.xml	H14SK040312	01102	札幌市北区	公共座標12系	変換	TKY2JGD	1.3.77	2.1.1
01102-4306-37.xml	H14SK040410	01102	札幌市北区	公共座標12系	変換	TKY2JGD	1.3.77	2.1.1
01102-4306-38.xml	H14SK040420	01102	札幌市北区	公共座標12系	変換	TKY2JGD	1.3.77	2.1.1
01102-4306-39.xml	H15SK042605	01102	札幌市北区	公共座標12系	変換	TKY2JGD	1.3.77	2.1.1
01102-4306-40.xml	H15SK043005	01102	札幌市北区	公共座標12系	変換	TKY2JGD	1.3.77	2.1.1
01102-4306-41.xml	H15SK040905	01102	札幌市北区	公共座標12系	変換	TKY2JGD	1.3.79	2.1.2
01102-4306-42.xml	01102_2009_01	01102	札幌市北区	公共座標12系	測量			
01102-4306-43.xml	1102_2009_0	01102	札幌市北区	公共座標12系	測量			
01102-4306-44.xml	01102_2011_1	01102	札幌市北区	公共座標12系	測量			
01102-4306-45.xml	01102_2011_1	01102	札幌市北区	公共座標12系	測量			
01102-4306-46.xml	01102_2018_1	01102	札幌市北区	公共座標12系	測量			
01103-4306-1.xml	H14SK050120	01103	札幌市東区	公共座標12系	変換	TKY2JGD	1.3.77	2.1.1
01103-4306-2.xml	H14SK050205	01103	札幌市東区	公共座標12系	変換	TKY2JGD	1.3.77	2.1.1
01103-4306-3.xml	H14SK050210	01103	札幌市東区	公共座標12系	変換	TKY2JGD	1.3.77	2.1.1
01103-4306-4.xml	H14SK050220	01103	札幌市東区	公共座標12系	変換	TKY2JGD	1.3.77	2.1.1
01103-4306-5.xml	H14SK050320	01103	札幌市東区	公共座標12系	変換	TKY2JGD	1.3.77	2.1.1
01103-4306-6.xml	H14SK050520	01103	札幌市東区	公共座標12系	変換	TKY2JGD	1.3.77	2.1.1
01103-4306-7.xml	H14SK050705	01103	札幌市東区	公共座標12系	変換	TKY2JGD	1.3.77	2.1.1
01103-4306-8.xml	H14SK050812	01103	札幌市東区	公共座標12系	変換	TKY2JGD	1.3.77	2.1.1
01103-4306-9.xml	H14SK050910	01103	札幌市東区	公共座標12系	変換	TKY2JGD	1.3.77	2.1.1
01103-4306-10.xml	H14SK050920	01103	札幌市東区	公共座標12系	変換	TKY2JGD	1.3.77	2.1.1
01103-4306-11.xml	H14SK051006	01103	札幌市東区	任意座標系				
01103-4306-12.xml	H14SK051106	01103	札幌市東区	任意座標系				
01103-4306-13.xml	H14SK051305	01103	札幌市東区	任意座標系				
01103-4306-14.xml	H14SK051312	01103	札幌市東区	任意座標系				
01103-4306-15.xml	H14SK051405	01103	札幌市東区	任意座標系				
01103-4306-16.xml	H14SK051605	01103	札幌市東区	任意座標系				
01103-4306-17.xml	H14SK051805	01103	札幌市東区	任意座標系				
01103-4306-18.xml	H14SK051905	01103	札幌市東区	任意座標系				
01103-4306-19.xml	H14SK052005	01103	札幌市東区	任意座標系				
01103-4306-20.xml	H14SK052105	01103	札幌市東区	公共座標12系	変換	TKY2JGD	1.3.77	2.1.1
01103-4306-21.xml	H14SK052205	01103	札幌市東区	任意座標系				
01103-4306-22.xml	H14SK052210	01103	札幌市東区	任意座標系				
01103-4306-23.xml	H14SK052305	01103	札幌市東区	任意座標系				
01103-4306-24.xml	H14SK052405	01103	札幌市東区	公共座標12系	変換	TKY2JGD	1.3.77	2.1.1
01103-4306-25.xml	H14SK052410	01103	札幌市東区	公共座標12系	変換	TKY2JGD	1.3.77	2.1.1
01103-4306-26.xml	H14SK052505	01103	札幌市東区	公共座標12系	変換	TKY2JGD	1.3.77	2.1.1
01103-4306-27.xml	H14SK052705	01103	札幌市東区	公共座標12系	変換	TKY2JGD	1.3.77	2.1.1
01103-4306-28.xml	H14SK052805	01103	札幌市東区	公共座標12系	変換	TKY2JGD	1.3.77	2.1.1
01103-4306-29.xml	H14SK052905	01103	札幌市東区	公共座標12系	変換	TKY2JGD	1.3.77	2.1.1
01103-4306-30.xml	H14SK053005	01103	札幌市東区	公共座標12系	変換	TKY2JGD	1.3.77	2.1.1
01103-4306-31.xml	H14SK053105	01103	札幌市東区	公共座標12系	変換	TKY2JGD	1.3.77	2.1.1
01103-4306-32.xml	H14SK053205	01103	札幌市東区	公共座標12系	変換	TKY2JGD	1.3.77	2.1.1
01103-4306-33.xml	H15SK053305	01103	札幌市東区	公共座標12系	変換	TKY2JGD	1.3.77	2.1.1
01103-4306-34.xml	H15SK053405	01103	札幌市東区	公共座標12系	変換	TKY2JGD	1.3.77	2.1.1
01103-4306-35.xml	H15SK053410	01103	札幌市東区	公共座標12系	変換	TKY2JGD	1.3.77	2.1.1
01103-4306-36.xml	H15SK053505	01103	札幌市東区	公共座標12系	変換	TKY2JGD	1.3.77	2.1.1
01103-4306-37.xml	H15SK053605	01103	札幌市東区	公共座標12系	変換	TKY2JGD	1.3.77	2.1.1
