ファイル名	地図名	市区町村コード	市区町村名	座標系	測地系判別	変換プログラム	変換プログラムバージョン	変換パラメータバージョン
02201-4200-1.xml	安方１・２丁目・本町３・４丁目・他	02201	青森市	任意座標系				
02201-4200-2.xml	安方１丁目	02201	青森市	任意座標系				
02201-4200-3.xml	安方２丁目	02201	青森市	任意座標系				
02201-4200-4.xml	栄町１丁目	02201	青森市	任意座標系				
02201-4200-5.xml	栄町２丁目	02201	青森市	任意座標系				
02201-4200-6.xml	奥野第１別図	02201	青森市	公共座標10系	変換	TKY2JGD	1.3.77	2.0.6
02201-4200-7.xml	橋本１丁目	02201	青森市	任意座標系				
02201-4200-8.xml	橋本３丁目	02201	青森市	任意座標系				
02201-4200-9.xml	古川１丁目	02201	青森市	任意座標系				
02201-4200-10.xml	古川２丁目	02201	青森市	任意座標系				
02201-4200-11.xml	古川３丁目	02201	青森市	任意座標系				
02201-4200-12.xml	港町１丁目	02201	青森市	任意座標系				
02201-4200-13.xml	港町３丁目	02201	青森市	任意座標系				
02201-4200-14.xml	合浦１丁目	02201	青森市	任意座標系				
02201-4200-15.xml	合浦２丁目	02201	青森市	任意座標系				
02201-4200-16.xml	篠田２丁目	02201	青森市	任意座標系				
02201-4200-17.xml	篠田３丁目	02201	青森市	任意座標系				
02201-4200-18.xml	新町１丁目	02201	青森市	任意座標系				
02201-4200-19.xml	新町２丁目	02201	青森市	任意座標系				
02201-4200-20.xml	青森市岩渡字熊沢Ｂ	02201	青森市	任意座標系				
02201-4200-21.xml	青森市岩渡字小谷	02201	青森市	任意座標系				
02201-4200-22.xml	青森市岩渡字熊沢Ｃ	02201	青森市	任意座標系				
02201-4200-23.xml	青森市岩渡字熊沢Ｄ	02201	青森市	任意座標系				
02201-4200-24.xml	茶屋町	02201	青森市	任意座標系				
02201-4200-25.xml	青森市青柳一丁目	02201	青森市	任意座標系				
02201-4200-26.xml	青森市孫内字山科	02201	青森市	任意座標系				
02201-4200-27.xml	青森市孫内字北原	02201	青森市	任意座標系				
02201-4200-28.xml	青森市大字安田字稲森	02201	青森市	任意座標系				
02201-4200-29.xml	青柳１丁目	02201	青森市	任意座標系				
02201-4200-30.xml	青森市大字久栗坂	02201	青森市	任意座標系				
02201-4200-31.xml	青森市大字宮田字米山Ａ	02201	青森市	任意座標系				
02201-4200-32.xml	青森市大字宮田字米山Ｂ	02201	青森市	任意座標系				
02201-4200-33.xml	青森市大字戸山・駒込	02201	青森市	任意座標系				
02201-4200-34.xml	青森市大字戸門字土筆山（和紙）	02201	青森市	任意座標系				
02201-4200-35.xml	青森市大字三内字沢部	02201	青森市	任意座標系				
02201-4200-36.xml	青森市大字三本木字扇沢	02201	青森市	任意座標系				
02201-4200-37.xml	青森市大字滝沢字下川原	02201	青森市	任意座標系				
02201-4200-38.xml	青森市大字滝沢字下川原（和紙）	02201	青森市	任意座標系				
02201-4200-39.xml	青森市大字築木館字岩瀬・字布引・字山ノ井	02201	青森市	任意座標系				
02201-4200-40.xml	青森市大字鶴ヶ坂	02201	青森市	任意座標系				
02201-4200-41.xml	青柳２丁目	02201	青森市	任意座標系				
02201-4200-42.xml	青森市大字八幡林字熊谷・字品川・字三島	02201	青森市	任意座標系				
02201-4200-43.xml	青森市大字野沢字稲荷沢１／１０００	02201	青森市	任意座標系				
02201-4200-44.xml	青森市大字矢田字山野井	02201	青森市	任意座標系				
02201-4200-45.xml	青森市鶴ケ坂字早稲田Ａ	02201	青森市	任意座標系				
02201-4200-46.xml	青森市鶴ケ坂字早稲田Ｂ	02201	青森市	任意座標系				
02201-4200-47.xml	青森市鶴ケ坂字早稲田Ｃ	02201	青森市	任意座標系				
02201-4200-48.xml	青森市鶴ケ坂字早稲田Ｄ	02201	青森市	任意座標系				
02201-4200-49.xml	青森市入内字駒田	02201	青森市	任意座標系				
02201-4200-50.xml	青森市鶴ケ坂字早稲田Ｅ	02201	青森市	任意座標系				
02201-4200-51.xml	青森市入内字一ノ沢	02201	青森市	任意座標系				
02201-4200-52.xml	千刈１丁目	02201	青森市	任意座標系				
02201-4200-53.xml	千刈２丁目	02201	青森市	任意座標系				
02201-4200-54.xml	大字安田字若松	02201	青森市	任意座標系				
02201-4200-55.xml	大字羽白字池上	02201	青森市	任意座標系				
02201-4200-56.xml	大字羽白字野木和	02201	青森市	任意座標系				
02201-4200-57.xml	大字浦町・公図	02201	青森市	任意座標系				
02201-4200-58.xml	大字浦町字橋本・中央４丁目	02201	青森市	任意座標系				
02201-4200-59.xml	大字奥内字宮田	02201	青森市	任意座標系				
02201-4200-60.xml	大字奥内字川合Ａ	02201	青森市	任意座標系				
02201-4200-61.xml	大字奥内字平塚	02201	青森市	任意座標系				
02201-4200-62.xml	大字久栗坂・字山辺	02201	青森市	任意座標系				
02201-4200-63.xml	大字久栗坂字久栗坂山	02201	青森市	任意座標系				
02201-4200-64.xml	大字久栗坂字浜田その１	02201	青森市	任意座標系				
02201-4200-65.xml	大字久栗坂字浜田その２	02201	青森市	任意座標系				
02201-4200-66.xml	大字宮田字山下	02201	青森市	任意座標系				
02201-4200-67.xml	大字駒込字月見野・字蛍沢	02201	青森市	任意座標系				
02201-4200-68.xml	大字桑原・公図	02201	青森市	任意座標系				
02201-4200-69.xml	大字古川字千刈	02201	青森市	任意座標系				
02201-4200-70.xml	大字戸崎字宮井	02201	青森市	任意座標系				
02201-4200-71.xml	大字戸門字見通・字山部	02201	青森市	任意座標系				
02201-4200-72.xml	大字戸門字土筆山	02201	青森市	任意座標系				
02201-4200-73.xml	大字後萢字外山	02201	青森市	任意座標系				
02201-4200-74.xml	大字幸畑・公図	02201	青森市	任意座標系				
02201-4200-75.xml	大字港町２・３丁目	02201	青森市	任意座標系				
02201-4200-76.xml	大字高田・公図	02201	青森市	任意座標系				
02201-4200-77.xml	大字合子沢字山崎	02201	青森市	任意座標系				
02201-4200-78.xml	大字合子沢字松森	02201	青森市	任意座標系				
02201-4200-79.xml	大字左堰字野田	02201	青森市	任意座標系				
02201-4200-80.xml	大字細越字栄山	02201	青森市	任意座標系				
02201-4200-81.xml	大字細越字外長沢	02201	青森市	任意座標系				
02201-4200-82.xml	大字細越字堅盤	02201	青森市	任意座標系				
02201-4200-83.xml	大字細越字内長沢	02201	青森市	任意座標系				
02201-4200-84.xml	大字細越字繁り	02201	青森市	任意座標系				
02201-4200-85.xml	大字四ツ石字前岳	02201	青森市	任意座標系				
02201-4200-86.xml	大字四ツ石字里見・字下川原	02201	青森市	任意座標系				
02201-4200-87.xml	大字小館・公図	02201	青森市	任意座標系				
02201-4200-88.xml	大字小館字亀山Ａ	02201	青森市	任意座標系				
02201-4200-89.xml	大字小橋字伊沢・字田川・字千鳥	02201	青森市	任意座標系				
02201-4200-90.xml	大字小畑沢・公図	02201	青森市	任意座標系				
02201-4200-91.xml	大字松森字福田・佃２丁目	02201	青森市	任意座標系				
02201-4200-92.xml	大字新城字山田Ｃ	02201	青森市	任意座標系				
02201-4200-93.xml	大字新城字山田Ｄ	02201	青森市	任意座標系				
02201-4200-94.xml	大字新城字山田Ｅ	02201	青森市	任意座標系				
02201-4200-95.xml	大字新城字山田Ｈ	02201	青森市	任意座標系				
02201-4200-96.xml	大字新城字山田Ｉ	02201	青森市	任意座標系				
02201-4200-97.xml	大字新城字山田Ｊ	02201	青森市	任意座標系				
02201-4200-98.xml	大字新城字山田Ｋ	02201	青森市	任意座標系				
02201-4200-99.xml	大字新城字山田Ｌ	02201	青森市	任意座標系				
02201-4200-100.xml	大字新城字平岡Ａ	02201	青森市	任意座標系				
02201-4200-101.xml	大字新城字平岡Ｃ	02201	青森市	任意座標系				
02201-4200-102.xml	大字新城字平岡Ｄ	02201	青森市	任意座標系				
02201-4200-103.xml	大字新城字平岡Ｅ	02201	青森市	任意座標系				
02201-4200-104.xml	大字新城字平岡Ｆ	02201	青森市	任意座標系				
02201-4200-105.xml	大字新城字平岡Ｇ	02201	青森市	任意座標系				
02201-4200-106.xml	大字新城字平岡Ｈ	02201	青森市	任意座標系				
02201-4200-107.xml	大字新城字平岡Ｉ	02201	青森市	任意座標系				
