ファイル名	地図名	市区町村コード	市区町村名	座標系	測地系判別	変換プログラム	変換プログラムバージョン	変換パラメータバージョン
03201-4000-1.xml	繋土地改良	03201	盛岡市	任意座標系				
03201-4000-2.xml	玉山村下田字牛転外	03201	盛岡市	任意座標系				
03201-4000-3.xml	繋尾入野・堂ヶ沢土地改良	03201	盛岡市	任意座標系				
03201-4000-4.xml	向中野土地改良Ａ	03201	盛岡市	任意座標系				
03201-4000-5.xml	向中野土地改良Ｂ	03201	盛岡市	任意座標系				
03201-4000-6.xml	向中野土地改良Ｃ	03201	盛岡市	任意座標系				
03201-4000-7.xml	黒川５～８地割土地改良	03201	盛岡市	任意座標系				
03201-4000-8.xml	昭和４４年度上厨川土地改良	03201	盛岡市	任意座標系				
03201-4000-9.xml	上鹿妻土地改良	03201	盛岡市	任意座標系				
03201-4000-10.xml	上堂３丁目区画整理	03201	盛岡市	任意座標系				
03201-4000-11.xml	新城八木田土地改良	03201	盛岡市	任意座標系				
03201-4000-12.xml	神子田第一土地区画整理事業	03201	盛岡市	任意座標系				
03201-4000-13.xml	盛岡市愛宕町	03201	盛岡市	任意座標系				
03201-4000-14.xml	盛岡市稲荷町	03201	盛岡市	任意座標系				
03201-4000-15.xml	盛岡市羽場１地割外Ｂ	03201	盛岡市	任意座標系				
03201-4000-16.xml	盛岡市永井１６地割外	03201	盛岡市	任意座標系				
03201-4000-17.xml	盛岡市永井１地割外	03201	盛岡市	任意座標系				
03201-4000-18.xml	盛岡市永井２・７地割外	03201	盛岡市	任意座標系				
03201-4000-19.xml	盛岡市永井２０地割	03201	盛岡市	任意座標系				
03201-4000-20.xml	盛岡市永井２２地割外Ａ	03201	盛岡市	任意座標系				
03201-4000-21.xml	盛岡市永井２２地割外Ｂ	03201	盛岡市	任意座標系				
03201-4000-22.xml	盛岡市乙部Ａ	03201	盛岡市	任意座標系				
03201-4000-23.xml	盛岡市永井２４地割外	03201	盛岡市	任意座標系				
03201-4000-24.xml	盛岡市永井２地割外	03201	盛岡市	任意座標系				
03201-4000-25.xml	盛岡市永井７地割外	03201	盛岡市	任意座標系				
03201-4000-26.xml	盛岡市乙部Ｂ	03201	盛岡市	任意座標系				
