ファイル名	地図名	市区町村コード	市区町村名	座標系	測地系判別	変換プログラム	変換プログラムバージョン	変換パラメータバージョン
04101-3700-1.xml	あけぼの	04101	仙台市青葉区	任意座標系				
04101-3700-2.xml	みやぎ台１・２・５丁目	04101	仙台市青葉区	任意座標系				
04101-3700-3.xml	みやぎ台１・３・４丁目	04101	仙台市青葉区	任意座標系				
04101-3700-4.xml	旭ヶ丘１丁目	04101	仙台市青葉区	任意座標系				
04101-3700-5.xml	旭ヶ丘Ｂ	04101	仙台市青葉区	任意座標系				
04101-3700-6.xml	芋沢Ａ	04101	仙台市青葉区	任意座標系				
04101-3700-7.xml	芋沢Ｂ	04101	仙台市青葉区	任意座標系				
04101-3700-8.xml	芋沢Ｅ	04101	仙台市青葉区	任意座標系				
04101-3700-9.xml	芋沢Ｆ	04101	仙台市青葉区	任意座標系				
04101-3700-10.xml	芋沢字一本木東・一本木・板橋・他	04101	仙台市青葉区	任意座標系				
04101-3700-11.xml	芋沢字奥武士東・小倉東・小倉・他	04101	仙台市青葉区	任意座標系				
04101-3700-12.xml	芋沢字横向山・黒森山・権現森山・他	04101	仙台市青葉区	任意座標系				
04101-3700-13.xml	芋沢字下窪・宅地・汁垂沢道上・他	04101	仙台市青葉区	任意座標系				
04101-3700-14.xml	芋沢字下原・水門・水門南・他	04101	仙台市青葉区	任意座標系				
04101-3700-15.xml	芋沢字下清水・下清水下・塩野沢・他	04101	仙台市青葉区	任意座標系				
04101-3700-16.xml	芋沢字権現森山	04101	仙台市青葉区	任意座標系				
04101-3700-17.xml	芋沢字柿崎南・蒲沢原・河窪・他	04101	仙台市青葉区	任意座標系				
04101-3700-18.xml	芋沢字駒込・氷取場・小坂・他	04101	仙台市青葉区	任意座標系				
04101-3700-19.xml	花京院	04101	仙台市青葉区	任意座標系				
04101-3700-20.xml	芋沢字権現森山・荒神・小坂	04101	仙台市青葉区	任意座標系				
04101-3700-21.xml	芋沢字高野原	04101	仙台市青葉区	任意座標系				
04101-3700-22.xml	芋沢字高野原・畑前北・横向山・権現森山	04101	仙台市青葉区	任意座標系				
04101-3700-23.xml	芋沢字黒森山	04101	仙台市青葉区	任意座標系				
04101-3700-24.xml	芋沢字小坂南・座当・沢田	04101	仙台市青葉区	任意座標系				
04101-3700-25.xml	芋沢字谷津沢・湯船沢・湯船沢東・他	04101	仙台市青葉区	任意座標系				
04101-3700-26.xml	芋沢字不動堂・不動下・不動下向・他	04101	仙台市青葉区	任意座標系				
04101-3700-27.xml	下愛子字西風蕃山	04101	仙台市青葉区	任意座標系				
04101-3700-28.xml	下愛子字毘沙門・峯岸前・本木前・他	04101	仙台市青葉区	任意座標系				
04101-3700-29.xml	貝ケ森３丁目	04101	仙台市青葉区	任意座標系				
04101-3700-30.xml	貝ヶ森Ａ	04101	仙台市青葉区	任意座標系				
04101-3700-31.xml	角五郎１・２丁目	04101	仙台市青葉区	任意座標系				
04101-3700-32.xml	五橋	04101	仙台市青葉区	任意座標系				
04101-3700-33.xml	宮城野区小田原	04101	仙台市青葉区	任意座標系				
04101-3700-34.xml	郷六字郷六山	04101	仙台市青葉区	任意座標系				
04101-3700-35.xml	錦ヶ丘・下愛子字峯岸前	04101	仙台市青葉区	任意座標系				
04101-3700-36.xml	錦町１・２丁目	04101	仙台市青葉区	任意座標系				
04101-3700-37.xml	広瀬町	04101	仙台市青葉区	任意座標系				
04101-3700-38.xml	荒巻・八幡・国見	04101	仙台市青葉区	任意座標系				
04101-3700-39.xml	荒巻字仁田谷地・国見６丁目	04101	仙台市青葉区	任意座標系				
04101-3700-40.xml	荒巻字青葉Ａ	04101	仙台市青葉区	任意座標系				
04101-3700-41.xml	荒巻字青葉Ｂ	04101	仙台市青葉区	任意座標系				
04101-3700-42.xml	荒巻字青葉Ｃ	04101	仙台市青葉区	任意座標系				
04101-3700-43.xml	荒巻中央	04101	仙台市青葉区	任意座標系				
04101-3700-44.xml	作並Ａ	04101	仙台市青葉区	任意座標系				
04101-3700-45.xml	川内	04101	仙台市青葉区	任意座標系				
04101-3700-46.xml	作並Ｂ	04101	仙台市青葉区	任意座標系				
04101-3700-47.xml	桜ヶ丘Ｂ	04101	仙台市青葉区	任意座標系				
04101-3700-48.xml	三条町Ｂ	04101	仙台市青葉区	任意座標系				
04101-3700-49.xml	子平町	04101	仙台市青葉区	任意座標系				
04101-3700-50.xml	志津川町十日町　地積測量図用	04101	仙台市青葉区	任意座標系				
04101-3700-51.xml	支倉町	04101	仙台市青葉区	任意座標系				
04101-3700-52.xml	小田原	04101	仙台市青葉区	任意座標系				
04101-3700-53.xml	小松島Ｂ	04101	仙台市青葉区	任意座標系				
04101-3700-54.xml	小田原８丁目	04101	仙台市青葉区	任意座標系				
04101-3700-55.xml	昭和町	04101	仙台市青葉区	任意座標系				
04101-3700-56.xml	上愛子字芦見	04101	仙台市青葉区	任意座標系				
04101-3700-57.xml	上愛子字芋郷・新宮前	04101	仙台市青葉区	任意座標系				
04101-3700-58.xml	上愛子大平	04101	仙台市青葉区	任意座標系				
04101-3700-59.xml	新坂町	04101	仙台市青葉区	任意座標系				
04101-3700-60.xml	水の森３丁目	04101	仙台市青葉区	任意座標系				
04101-3700-61.xml	西勝山	04101	仙台市青葉区	任意座標系				
04101-3700-62.xml	青葉区Ａ	04101	仙台市青葉区	任意座標系				
04101-3700-63.xml	青葉区・国見ヶ丘５丁目Ｂ	04101	仙台市青葉区	任意座標系				
04101-3700-64.xml	青葉区Ｂ	04101	仙台市青葉区	任意座標系				
04101-3700-65.xml	千代田	04101	仙台市青葉区	任意座標系				
04101-3700-66.xml	青葉区栗生２丁目・桜ヶ丘１丁目・星陵町	04101	仙台市青葉区	任意座標系				
04101-3700-67.xml	青葉区荒巻字青葉・芋沢字青野木・他Ａ	04101	仙台市青葉区	任意座標系				
04101-3700-68.xml	青葉区荒巻本沢１丁目・貝ヶ森６丁目・他	04101	仙台市青葉区	任意座標系				
04101-3700-69.xml	青葉区国見６丁目	04101	仙台市青葉区	任意座標系				
04101-3700-70.xml	青葉区作並字作並岳山	04101	仙台市青葉区	任意座標系				
04101-3700-71.xml	青葉区作並字山田南・数ノ沢・他	04101	仙台市青葉区	任意座標系				
