ファイル名	地図名	市区町村コード	市区町村名	座標系	測地系判別	変換プログラム	変換プログラムバージョン	変換パラメータバージョン
05201-4100-1.xml	１７年度秋田市旧土地台帳下北手	05201	秋田市	任意座標系				
05201-4100-2.xml	１７年度秋田市旧土地台帳下北手古野	05201	秋田市	任意座標系				
05201-4100-3.xml	１７年度秋田市旧土地台帳下北手大戸	05201	秋田市	任意座標系				
05201-4100-4.xml	１７年度秋田市旧土地台帳将軍野堰越	05201	秋田市	任意座標系				
05201-4100-5.xml	１７年度秋田市旧土地台帳新屋	05201	秋田市	任意座標系				
05201-4100-6.xml	１７年度秋田市旧土地台帳太平山谷	05201	秋田市	任意座標系				
05201-4100-7.xml	１７年度秋田市旧土地台帳太平八田	05201	秋田市	任意座標系				
05201-4100-8.xml	１７年度秋田市旧土地台帳土崎港Ａ	05201	秋田市	任意座標系				
05201-4100-9.xml	１７年度秋田市旧土地台帳土崎港Ｄ	05201	秋田市	任意座標系				
05201-4100-10.xml	１７年度秋田市旧土地台帳土崎港Ｅ	05201	秋田市	任意座標系				
05201-4100-11.xml	１７年度秋田市旧土地台帳土崎港Ｆ	05201	秋田市	任意座標系				
05201-4100-12.xml	１７年度秋田市旧土地台帳土崎港Ｊ	05201	秋田市	任意座標系				
05201-4100-13.xml	１７年度秋田市旧土地台帳土崎港Ｋ	05201	秋田市	任意座標系				
05201-4100-14.xml	１７年度秋田市旧土地台帳土崎港Ｌ	05201	秋田市	任意座標系				
05201-4100-15.xml	１７年度秋田市旧土地台帳土崎港Ｍ	05201	秋田市	任意座標系				
05201-4100-16.xml	１７年度秋田市旧土地台帳土崎港Ｎ	05201	秋田市	任意座標系				
05201-4100-17.xml	１７年度秋田市旧土地台帳土崎港Ｏ	05201	秋田市	任意座標系				
05201-4100-18.xml	１７年度秋田市旧土地台帳土崎港Ｐ	05201	秋田市	任意座標系				
05201-4100-19.xml	１７年度秋田市旧土地台帳土崎港Ｑ	05201	秋田市	任意座標系				
05201-4100-20.xml	１７年度秋田市旧土地台帳土崎港Ｒ	05201	秋田市	任意座標系				
05201-4100-21.xml	１７年度秋田市旧土地台帳飯島Ａ	05201	秋田市	任意座標系				
05201-4100-22.xml	１７年度秋田市旧土地台帳飯島Ｂ	05201	秋田市	任意座標系				
05201-4100-23.xml	１７年度秋田市旧土地台帳飯島Ｄ	05201	秋田市	任意座標系				
05201-4100-24.xml	旭南３丁目	05201	秋田市	任意座標系				
05201-4100-25.xml	１７年度秋田市旧土地台帳飯島Ｅ	05201	秋田市	任意座標系				
05201-4100-26.xml	１７年度秋田市旧土地台帳飯島Ｆ	05201	秋田市	任意座標系				
05201-4100-27.xml	１７年度秋田市旧土地台帳飯島Ｇ	05201	秋田市	任意座標系				
05201-4100-28.xml	１７年度秋田市旧土地台帳飯島Ｈ	05201	秋田市	任意座標系				
05201-4100-29.xml	１７年度秋田市旧土地台帳飯島Ｋ	05201	秋田市	任意座標系				
05201-4100-30.xml	１７年度秋田市旧土地台帳飯島Ｑ	05201	秋田市	任意座標系				
05201-4100-31.xml	１７年度秋田市旧土地台帳飯島Ｒ	05201	秋田市	任意座標系				
05201-4100-32.xml	１７年度秋田市旧土地台帳飯島Ｔ	05201	秋田市	任意座標系				
05201-4100-33.xml	１７年度秋田市旧土地台帳雄和左手子	05201	秋田市	任意座標系				
05201-4100-34.xml	茨島・卸町他	05201	秋田市	任意座標系				
05201-4100-35.xml	茨島１丁目・６丁目・７丁目	05201	秋田市	任意座標系				
05201-4100-36.xml	猿田Ｃ	05201	秋田市	任意座標系				
05201-4100-37.xml	猿田Ｅ	05201	秋田市	任意座標系				
05201-4100-38.xml	猿田Ｆ	05201	秋田市	任意座標系				
05201-4100-39.xml	横森１丁目・２丁目・５丁目・他	05201	秋田市	任意座標系				
