ファイル名	地図名	市区町村コード	市区町村名	座標系	測地系判別	変換プログラム	変換プログラムバージョン	変換パラメータバージョン
06201-3900-1.xml	あかねヶ丘・あこや町・あさひ町・旭が丘他	06201	山形市	任意座標系				
06201-3900-2.xml	あかねヶ丘１～３丁目（土地改良）	06201	山形市	任意座標系				
06201-3900-3.xml	あこや町１・３丁目	06201	山形市	任意座標系				
06201-3900-4.xml	あこや町１丁目	06201	山形市	任意座標系				
06201-3900-5.xml	あこや町１～３丁目（土地改良）	06201	山形市	任意座標系				
06201-3900-6.xml	あさひ町（土地改良）２	06201	山形市	任意座標系				
06201-3900-7.xml	すげさわの丘	06201	山形市	任意座標系				
06201-3900-8.xml	みのりが丘	06201	山形市	任意座標系				
06201-3900-9.xml	やよい一・二丁目・柳田	06201	山形市	任意座標系				
06201-3900-10.xml	黄金	06201	山形市	任意座標系				
06201-3900-11.xml	羽黒堂・浜崎・花岡	06201	山形市	任意座標系				
06201-3900-12.xml	栄原（土地改良）	06201	山形市	任意座標系				
06201-3900-13.xml	下山家	06201	山形市	任意座標系				
06201-3900-14.xml	下条町	06201	山形市	任意座標系				
06201-3900-15.xml	下条町１丁目・他	06201	山形市	任意座標系				
06201-3900-16.xml	下条町２・３丁目（土地改良）	06201	山形市	任意座標系				
06201-3900-17.xml	下反田	06201	山形市	任意座標系				
06201-3900-18.xml	下東山（土地改良）	06201	山形市	任意座標系				
06201-3900-19.xml	下東山１	06201	山形市	任意座標系				
06201-3900-20.xml	下東山１０	06201	山形市	任意座標系				
06201-3900-21.xml	下東山１１	06201	山形市	任意座標系				
06201-3900-22.xml	下東山１２	06201	山形市	任意座標系				
06201-3900-23.xml	下東山１３	06201	山形市	任意座標系				
06201-3900-24.xml	下東山１４	06201	山形市	任意座標系				
06201-3900-25.xml	下東山２	06201	山形市	任意座標系				
06201-3900-26.xml	下東山５	06201	山形市	任意座標系				
06201-3900-27.xml	下東山６	06201	山形市	任意座標系				
06201-3900-28.xml	下東山７	06201	山形市	任意座標系				
06201-3900-29.xml	下東山８	06201	山形市	任意座標系				
06201-3900-30.xml	下東山９	06201	山形市	任意座標系				
06201-3900-31.xml	下柳	06201	山形市	任意座標系				
06201-3900-32.xml	下椹沢・上椹沢	06201	山形市	任意座標系				
06201-3900-33.xml	花楯	06201	山形市	任意座標系				
06201-3900-34.xml	灰塚１	06201	山形市	任意座標系				
06201-3900-35.xml	灰塚２	06201	山形市	任意座標系				
06201-3900-36.xml	滑川・字ヒトロ	06201	山形市	任意座標系				
06201-3900-37.xml	滑川・字楯ノ下・他	06201	山形市	任意座標系				
06201-3900-38.xml	滑川・字小下沢・他	06201	山形市	任意座標系				
06201-3900-39.xml	滑川・字太郎沢・他	06201	山形市	任意座標系				
06201-3900-40.xml	滑川・字弁才天・他	06201	山形市	任意座標系				
06201-3900-41.xml	関沢１	06201	山形市	任意座標系				
06201-3900-42.xml	関沢２	06201	山形市	任意座標系				
06201-3900-43.xml	関沢３	06201	山形市	任意座標系				
06201-3900-44.xml	関沢４	06201	山形市	任意座標系				
06201-3900-45.xml	岩波Ｂ	06201	山形市	任意座標系				
06201-3900-46.xml	岩波Ｃ	06201	山形市	任意座標系				
06201-3900-47.xml	岩波Ｄ	06201	山形市	任意座標系				
06201-3900-48.xml	岩波Ｅ	06201	山形市	任意座標系				
06201-3900-49.xml	吉原・字穴田・他	06201	山形市	任意座標系				
06201-3900-50.xml	吉原１丁目	06201	山形市	任意座標系				
06201-3900-51.xml	吉原一丁目	06201	山形市	任意座標系				
06201-3900-52.xml	吉原南	06201	山形市	任意座標系				
06201-3900-53.xml	吉野宿	06201	山形市	任意座標系				
06201-3900-54.xml	久保田・下椹沢・上椹沢・小姓町・他	06201	山形市	任意座標系				
06201-3900-55.xml	久保田１～３丁目（土地改良）	06201	山形市	任意座標系				
06201-3900-56.xml	宮町	06201	山形市	任意座標系				
06201-3900-57.xml	宮町４・５丁目（土地改良）	06201	山形市	任意座標系				
06201-3900-58.xml	金石田	06201	山形市	任意座標系				
06201-3900-59.xml	見崎川原・境田町	06201	山形市	任意座標系				
06201-3900-60.xml	見崎川原（土地改良）	06201	山形市	任意座標系				
06201-3900-61.xml	元木１・２丁目（土地改良）	06201	山形市	任意座標系				
06201-3900-62.xml	五十鈴２・３丁目	06201	山形市	任意座標系				
06201-3900-63.xml	五日町	06201	山形市	任意座標系				
06201-3900-64.xml	五日町・鉄砲町・諏訪町・八日町・上町他	06201	山形市	任意座標系				
06201-3900-65.xml	五日町（土地改良）	06201	山形市	任意座標系				
06201-3900-66.xml	幸町（土地改良）	06201	山形市	任意座標系				
06201-3900-67.xml	江俣１～５丁目（土地改良）	06201	山形市	任意座標系				
06201-3900-68.xml	荒楯町１・２丁目（土地改良）	06201	山形市	任意座標系				
06201-3900-69.xml	行才	06201	山形市	任意座標系				
06201-3900-70.xml	香澄町	06201	山形市	任意座標系				
06201-3900-71.xml	香澄町・金石田・上反田・常明寺	06201	山形市	任意座標系				
06201-3900-72.xml	香澄町・双葉町	06201	山形市	任意座標系				
06201-3900-73.xml	香澄町１～３丁目（土地改良）	06201	山形市	任意座標系				
06201-3900-74.xml	高原町	06201	山形市	任意座標系				
