ファイル名	地図名	市区町村コード	市区町村名	座標系	測地系判別	変換プログラム	変換プログラムバージョン	変換パラメータバージョン
07201-3800-1.xml	伏拝	07201	福島市	任意座標系				
07201-3800-2.xml	岡嶋字赤沼　他	07201	福島市	任意座標系				
07201-3800-3.xml	岡嶋字大戌ヶ森　他	07201	福島市	任意座標系				
07201-3800-4.xml	岡島字鹿野・源氏山・高松下　他	07201	福島市	任意座標系				
07201-3800-5.xml	岡部字畑中・粕石・桧原内	07201	福島市	任意座標系				
07201-3800-6.xml	岡部字柳畑・台下・大壇　他	07201	福島市	任意座標系				
07201-3800-7.xml	鎌田地区（非１７条地図）	07201	福島市	任意座標系				
07201-3800-8.xml	山口字金山	07201	福島市	任意座標系				
07201-3800-9.xml	山口字行部	07201	福島市	任意座標系				
07201-3800-10.xml	山口字三蔵入	07201	福島市	任意座標系				
07201-3800-11.xml	山口字女形・白山・狢窪	07201	福島市	任意座標系				
07201-3800-12.xml	山口字大窪	07201	福島市	任意座標系				
07201-3800-13.xml	山口字中ノ内	07201	福島市	任意座標系				
07201-3800-14.xml	山口字入山	07201	福島市	任意座標系				
07201-3800-15.xml	山口字板山	07201	福島市	任意座標系				
07201-3800-16.xml	山口字明神・平内屋敷・丈六	07201	福島市	任意座標系				
07201-3800-17.xml	山口字柳沢	07201	福島市	任意座標系				
07201-3800-18.xml	山田字笹ヶ平・辰巳ヶ沢	07201	福島市	任意座標系				
07201-3800-19.xml	山田字赤仁井田　他	07201	福島市	任意座標系				
07201-3800-20.xml	山田字赤仁井田（１）	07201	福島市	任意座標系				
07201-3800-21.xml	山田字赤仁井田（２）	07201	福島市	任意座標系				
07201-3800-22.xml	山田字辰巳ヶ沢	07201	福島市	任意座標系				
07201-3800-23.xml	山田字地蔵脇	07201	福島市	任意座標系				
07201-3800-24.xml	山田字長者窪・長者山	07201	福島市	任意座標系				
07201-3800-25.xml	山田字唐沢・地蔵脇	07201	福島市	任意座標系				
07201-3800-26.xml	字芦池　他	07201	福島市	任意座標系				
07201-3800-27.xml	字長橋　他	07201	福島市	任意座標系				
07201-3800-28.xml	字房山　他	07201	福島市	任意座標系				
07201-3800-29.xml	小田字掛ノ下	07201	福島市	任意座標系				
07201-3800-30.xml	小田字宮畑前	07201	福島市	任意座標系				
07201-3800-31.xml	小田字金華山・正夫田　他	07201	福島市	任意座標系				
07201-3800-32.xml	小田字山ノ神	07201	福島市	任意座標系				
07201-3800-33.xml	小田字寺坂・三峯山	07201	福島市	任意座標系				
07201-3800-34.xml	小田字大久保・大久保向	07201	福島市	任意座標系				
07201-3800-35.xml	小田字大石	07201	福島市	任意座標系				
07201-3800-36.xml	小田字大畑山（２）	07201	福島市	任意座標系				
07201-3800-37.xml	小田字滝ノ入・仲ノ内平	07201	福島市	任意座標系				
07201-3800-38.xml	小田字仲ノ内平	07201	福島市	任意座標系				
07201-3800-39.xml	小田字仲代（２）	07201	福島市	任意座標系				
07201-3800-40.xml	小田字北内山	07201	福島市	任意座標系				
07201-3800-41.xml	小田字狼山（１）	07201	福島市	任意座標系				
07201-3800-42.xml	田沢Ａ	07201	福島市	任意座標系				
07201-3800-43.xml	松川町金沢地区工業団地	07201	福島市	任意座標系				
07201-3800-44.xml	松川町字青麻山・赤貝・赤貝森地区他	07201	福島市	任意座標系				
07201-3800-45.xml	松川町字大坂坊・鬼ケ沢地区他	07201	福島市	任意座標系				
07201-3800-46.xml	松川町字中町・中川原地区他	07201	福島市	任意座標系				
07201-3800-47.xml	松川町水原字下台・下台前地区他	07201	福島市	任意座標系				
07201-3800-48.xml	松川町水原字後藤橋山地区他	07201	福島市	任意座標系				
07201-3800-49.xml	松川町水原字山毛欅坂地区他	07201	福島市	任意座標系				
07201-3800-50.xml	松川町水原字上谷地・川原田地区他	07201	福島市	任意座標系				
