ファイル名	地図名	市区町村コード	市区町村名	座標系	測地系判別	変換プログラム	変換プログラムバージョン	変換パラメータバージョン
08201-0500-1.xml	栄町１丁目	08201	水戸市	任意座標系				
08201-0500-2.xml	下国井町Ａ	08201	水戸市	任意座標系				
08201-0500-3.xml	下野・鯉淵	08201	水戸市	公共座標9系	変換	TKY2JGD	1.3.77	2.0.6
08201-0500-4.xml	下野Ｂ	08201	水戸市	公共座標9系	変換	TKY2JGD	1.3.77	2.0.6
08201-0500-5.xml	下野Ｃ	08201	水戸市	公共座標9系	変換	TKY2JGD	1.3.77	2.0.6
08201-0500-6.xml	加倉井	08201	水戸市	任意座標系				
08201-0500-7.xml	河和田町	08201	水戸市	任意座標系				
08201-0500-8.xml	開江町Ｂ	08201	水戸市	任意座標系				
08201-0500-9.xml	萱場町	08201	水戸市	任意座標系				
08201-0500-10.xml	牛伏Ａ	08201	水戸市	任意座標系				
08201-0500-11.xml	牛伏Ｂ	08201	水戸市	任意座標系				
08201-0500-12.xml	見川町・小吹町	08201	水戸市	任意座標系				
08201-0500-13.xml	元吉田町Ａ	08201	水戸市	任意座標系				
08201-0500-14.xml	元吉田町Ｂ	08201	水戸市	任意座標系				
08201-0500-15.xml	元吉田町Ｄ	08201	水戸市	任意座標系				
08201-0500-16.xml	元吉田町Ｅ	08201	水戸市	任意座標系				
08201-0500-17.xml	元吉田町Ｆ	08201	水戸市	任意座標系				
08201-0500-18.xml	元吉田町Ｇ	08201	水戸市	任意座標系				
08201-0500-19.xml	元吉田町Ｈ	08201	水戸市	任意座標系				
08201-0500-20.xml	元吉田町Ｉ	08201	水戸市	任意座標系				
08201-0500-21.xml	元吉田町Ｊ	08201	水戸市	任意座標系				
08201-0500-22.xml	元山町	08201	水戸市	任意座標系				
08201-0500-23.xml	鯉淵Ｉ	08201	水戸市	任意座標系				
08201-0500-24.xml	高田Ｂ	08201	水戸市	公共座標9系	変換	TKY2JGD	1.3.77	2.0.6
08201-0500-25.xml	高田Ｃ	08201	水戸市	公共座標9系	変換	TKY2JGD	1.3.77	2.0.6
08201-0500-26.xml	高田Ｄ	08201	水戸市	任意座標系				
08201-0500-27.xml	高田Ｅ	08201	水戸市	任意座標系				
08201-0500-28.xml	黒磯Ａ	08201	水戸市	任意座標系				
08201-0500-29.xml	黒磯Ｂ	08201	水戸市	任意座標系				
08201-0500-30.xml	柵町１丁目	08201	水戸市	任意座標系				
08201-0500-31.xml	三湯Ｂ	08201	水戸市	任意座標系				
08201-0500-32.xml	三野輪	08201	水戸市	任意座標系				
08201-0500-33.xml	酒門町Ｃ	08201	水戸市	任意座標系				
08201-0500-34.xml	小吹町Ａ	08201	水戸市	任意座標系				
08201-0500-35.xml	小吹町Ｂ	08201	水戸市	任意座標系				
08201-0500-36.xml	小吹町Ｅ	08201	水戸市	任意座標系				
08201-0500-37.xml	城東１丁目Ｂ	08201	水戸市	任意座標系				
08201-0500-38.xml	常磐一丁目	08201	水戸市	任意座標系				
08201-0500-39.xml	常磐町	08201	水戸市	任意座標系				
08201-0500-40.xml	常磐二丁目	08201	水戸市	任意座標系				
08201-0500-41.xml	杉崎・中原	08201	水戸市	公共座標9系	変換	TKY2JGD	1.3.77	2.0.6
08201-0500-42.xml	杉崎・内原・中原	08201	水戸市	任意座標系				
08201-0500-43.xml	杉崎Ｂ	08201	水戸市	公共座標9系	変換	TKY2JGD	1.3.77	2.0.6
08201-0500-44.xml	杉崎Ｃ	08201	水戸市	任意座標系				
08201-0500-45.xml	杉崎Ｄ	08201	水戸市	任意座標系				
08201-0500-46.xml	杉崎Ｅ	08201	水戸市	任意座標系				
08201-0500-47.xml	青柳町Ｃ	08201	水戸市	任意座標系				
08201-0500-48.xml	千波町Ｂ	08201	水戸市	任意座標系				
08201-0500-49.xml	千波町Ｃ	08201	水戸市	任意座標系				
08201-0500-50.xml	千波町Ｅ	08201	水戸市	任意座標系				
08201-0500-51.xml	千波町Ｇ	08201	水戸市	任意座標系				
08201-0500-52.xml	泉町１～３丁目	08201	水戸市	任意座標系				
08201-0500-53.xml	大工町１丁目	08201	水戸市	任意座標系				
08201-0500-54.xml	大工町３丁目	08201	水戸市	任意座標系				
08201-0500-55.xml	大足Ｂ	08201	水戸市	任意座標系				
08201-0500-56.xml	大足Ｃ	08201	水戸市	任意座標系				
08201-0500-57.xml	大足Ｄ	08201	水戸市	任意座標系				
08201-0500-58.xml	大塚	08201	水戸市	任意座標系				
08201-0500-59.xml	筑地	08201	水戸市	任意座標系				
08201-0500-60.xml	中原・内原	08201	水戸市	任意座標系				
08201-0500-61.xml	中妻・有賀地区Ａ	08201	水戸市	任意座標系				
08201-0500-62.xml	中妻・有賀地区Ｂ	08201	水戸市	任意座標系				
08201-0500-63.xml	中大野	08201	水戸市	任意座標系				
08201-0500-64.xml	天王町	08201	水戸市	任意座標系				
08201-0500-65.xml	田谷町Ａ	08201	水戸市	任意座標系				
08201-0500-66.xml	田谷町Ｂ	08201	水戸市	任意座標系				
08201-0500-67.xml	田島Ｂ	08201	水戸市	任意座標系				
08201-0500-68.xml	田島Ｃ	08201	水戸市	任意座標系				
08201-0500-69.xml	田島Ｄ	08201	水戸市	任意座標系				
08201-0500-70.xml	田野町Ａ	08201	水戸市	任意座標系				
08201-0500-71.xml	東桜川	08201	水戸市	任意座標系				
08201-0500-72.xml	東赤塚	08201	水戸市	任意座標系				
08201-0500-73.xml	東台１丁目	08201	水戸市	任意座標系				
08201-0500-74.xml	東台２丁目Ｂ	08201	水戸市	任意座標系				
08201-0500-75.xml	東大野	08201	水戸市	任意座標系				
