ファイル名	地図名	市区町村コード	市区町村名	座標系	測地系判別	変換プログラム	変換プログラムバージョン	変換パラメータバージョン
09201-0600-1.xml	さつき１丁目・他	09201	宇都宮市	任意座標系				
09201-0600-2.xml	芦沼１	09201	宇都宮市	任意座標系				
09201-0600-3.xml	さつき２丁目	09201	宇都宮市	任意座標系				
09201-0600-4.xml	さつき２丁目・他	09201	宇都宮市	任意座標系				
09201-0600-5.xml	さつき３丁目・他	09201	宇都宮市	任意座標系				
09201-0600-6.xml	さるやま町	09201	宇都宮市	任意座標系				
09201-0600-7.xml	さるやま町Ａ	09201	宇都宮市	任意座標系				
09201-0600-8.xml	みどり野町	09201	宇都宮市	任意座標系				
09201-0600-9.xml	芦沼２	09201	宇都宮市	任意座標系				
09201-0600-10.xml	芦沼３	09201	宇都宮市	任意座標系				
09201-0600-11.xml	芦沼４	09201	宇都宮市	任意座標系				
09201-0600-12.xml	芦沼７	09201	宇都宮市	任意座標系				
09201-0600-13.xml	芦沼８	09201	宇都宮市	任意座標系				
09201-0600-14.xml	一の沢１・２丁目	09201	宇都宮市	任意座標系				
09201-0600-15.xml	一の沢１丁目	09201	宇都宮市	任意座標系				
09201-0600-16.xml	一の沢２丁目	09201	宇都宮市	任意座標系				
09201-0600-17.xml	一ノ沢町	09201	宇都宮市	任意座標系				
09201-0600-18.xml	一条１～４丁目	09201	宇都宮市	任意座標系				
09201-0600-19.xml	一条四丁目	09201	宇都宮市	任意座標系				
09201-0600-20.xml	一番町	09201	宇都宮市	任意座標系				
09201-0600-21.xml	栄町	09201	宇都宮市	任意座標系				
09201-0600-22.xml	宇都宮市下荒針町城山地区土地改良	09201	宇都宮市	任意座標系				
09201-0600-23.xml	羽牛田町－１	09201	宇都宮市	任意座標系				
09201-0600-24.xml	羽牛田町	09201	宇都宮市	任意座標系				
09201-0600-25.xml	駅前通り１～３丁目	09201	宇都宮市	任意座標系				
09201-0600-26.xml	越戸１丁目	09201	宇都宮市	任意座標系				
09201-0600-27.xml	越戸町	09201	宇都宮市	任意座標系				
09201-0600-28.xml	横山１丁目	09201	宇都宮市	任意座標系				
09201-0600-29.xml	横山２丁目	09201	宇都宮市	任意座標系				
09201-0600-30.xml	横山３丁目	09201	宇都宮市	任意座標系				
09201-0600-31.xml	横山町１	09201	宇都宮市	任意座標系				
09201-0600-32.xml	横山町２	09201	宇都宮市	任意座標系				
09201-0600-33.xml	横山町Ａ	09201	宇都宮市	任意座標系				
09201-0600-34.xml	横山町Ｂ	09201	宇都宮市	任意座標系				
09201-0600-35.xml	横山町Ｃ	09201	宇都宮市	任意座標系				
09201-0600-36.xml	屋板町	09201	宇都宮市	任意座標系				
09201-0600-37.xml	横山町Ｄ	09201	宇都宮市	任意座標系				
09201-0600-38.xml	横山町Ｅ	09201	宇都宮市	任意座標系				
09201-0600-39.xml	横田新町	09201	宇都宮市	任意座標系				
09201-0600-40.xml	屋板町４	09201	宇都宮市	任意座標系				
09201-0600-41.xml	下ケ橋	09201	宇都宮市	任意座標系				
09201-0600-42.xml	下ケ橋１	09201	宇都宮市	任意座標系				
09201-0600-43.xml	下ケ橋２	09201	宇都宮市	任意座標系				
09201-0600-44.xml	下ケ橋４	09201	宇都宮市	任意座標系				
09201-0600-45.xml	下ケ橋５	09201	宇都宮市	任意座標系				
