ファイル名	地図名	市区町村コード	市区町村名	座標系	測地系判別	変換プログラム	変換プログラムバージョン	変換パラメータバージョン
11101-0300-1.xml	ＪＲ－２（西区）	11101	さいたま市西区	任意座標系				
11101-0300-2.xml	宮前町	11101	さいたま市西区	任意座標系				
11101-0300-3.xml	高木	11101	さいたま市西区	任意座標系				
11101-0300-4.xml	指扇Ａ２	11101	さいたま市西区	任意座標系				
11101-0300-5.xml	指扇領別所	11101	さいたま市西区	任意座標系				
11101-0300-6.xml	昭和	11101	さいたま市西区	任意座標系				
11101-0300-7.xml	植田谷本村新田	11101	さいたま市西区	任意座標系				
11101-0300-8.xml	清河寺	11101	さいたま市西区	任意座標系				
11101-0300-9.xml	西新井	11101	さいたま市西区	任意座標系				
11101-0300-10.xml	西遊馬Ａ	11101	さいたま市西区	任意座標系				
11101-0300-11.xml	西遊馬Ｂ	11101	さいたま市西区	任意座標系				
11101-0300-12.xml	西遊馬Ｃ	11101	さいたま市西区	任意座標系				
11101-0300-13.xml	西遊馬Ｄ	11101	さいたま市西区	任意座標系				
11101-0300-14.xml	塚本	11101	さいたま市西区	任意座標系				
11101-0300-15.xml	塚本町１丁目	11101	さいたま市西区	任意座標系				
11101-0300-16.xml	塚本町２丁目	11101	さいたま市西区	任意座標系				
11101-0300-17.xml	塚本町３丁目	11101	さいたま市西区	任意座標系				
11101-0300-18.xml	島根Ａ	11101	さいたま市西区	任意座標系				
11101-0300-19.xml	島根Ｂ	11101	さいたま市西区	任意座標系				
11101-0300-20.xml	湯木町１丁目	11101	さいたま市西区	任意座標系				
11101-0300-21.xml	湯木町２丁目	11101	さいたま市西区	任意座標系				
11101-0300-22.xml	二ツ宮Ｂ	11101	さいたま市西区	任意座標系				
11101-0300-23.xml	二ツ宮Ｃ	11101	さいたま市西区	任意座標系				
11101-0300-24.xml	飯田	11101	さいたま市西区	任意座標系				
11101-0300-25.xml	飯田新田	11101	さいたま市西区	任意座標系				
11101-0300-26.xml	平成１５年度　飯田	11101	さいたま市西区	任意座標系				
11101-0300-27.xml	平方領領家	11101	さいたま市西区	任意座標系				
11101-0300-28.xml	宝来	11101	さいたま市西区	任意座標系				
11101-0300-29.xml	峰岸	11101	さいたま市西区	任意座標系				
11101-0300-30.xml	プラザ	11101	さいたま市西区	任意座標系				
11101-0300-31.xml	佐知川	11101	さいたま市西区	任意座標系				
11101-0300-32.xml	三橋５丁目	11101	さいたま市西区	任意座標系				
11101-0300-33.xml	三橋６丁目	11101	さいたま市西区	任意座標系				
11101-0300-34.xml	三条町	11101	さいたま市西区	任意座標系				
11101-0300-35.xml	指扇Ａ	11101	さいたま市西区	任意座標系				
11101-0300-36.xml	指扇Ｂ	11101	さいたま市西区	任意座標系				
11101-0300-37.xml	指扇領辻	11101	さいたま市西区	任意座標系				
11101-0300-38.xml	植田谷本	11101	さいたま市西区	任意座標系				
11101-0300-39.xml	水判土	11101	さいたま市西区	任意座標系				
11101-0300-40.xml	中釘	11101	さいたま市西区	任意座標系				
11101-0300-41.xml	中野林	11101	さいたま市西区	任意座標系				
11101-0300-42.xml	土屋	11101	さいたま市西区	任意座標系				
11101-0300-43.xml	内野本郷	11101	さいたま市西区	任意座標系				
11101-0300-44.xml	二ツ宮Ａ	11101	さいたま市西区	任意座標系				
11101-0300-45.xml	西遊馬Ｃ（方位修正後）	11101	さいたま市西区	任意座標系				
11101-0300-46.xml	30716_hosei_20121127101715	11101	さいたま市西区	公共座標9系	変換	TKY2JGD	1.3.77	2.0.6
11101-0300-47.xml	30730_hosei_20121127101748	11101	さいたま市西区	公共座標9系	変換	TKY2JGD	1.3.77	2.0.6
11101-0300-48.xml	41062_hosei_20121127102604	11101	さいたま市西区	公共座標9系	測量			
11101-0300-49.xml	11103_2017_0	11101	さいたま市西区	公共座標9系	測量			
11102-0300-1.xml	ＪＲ－１（北区）	11102	さいたま市北区	任意座標系				
11102-0300-2.xml	ＪＲ－２（北区）	11102	さいたま市北区	任意座標系				
11102-0300-3.xml	吉野町２丁目	11102	さいたま市北区	任意座標系				
11102-0300-4.xml	宮原町１丁目	11102	さいたま市北区	任意座標系				
11102-0300-5.xml	見沼１丁目	11102	さいたま市北区	任意座標系				
11102-0300-6.xml	見沼２丁目	11102	さいたま市北区	任意座標系				
11102-0300-7.xml	見沼３丁目	11102	さいたま市北区	任意座標系				
11102-0300-8.xml	砂町１丁目	11102	さいたま市北区	任意座標系				
11102-0300-9.xml	上加Ａ	11102	さいたま市北区	任意座標系				
11102-0300-10.xml	上加Ｂ	11102	さいたま市北区	任意座標系				
11102-0300-11.xml	植竹町２丁目	11102	さいたま市北区	任意座標系				
11102-0300-12.xml	大成町４丁目	11102	さいたま市北区	任意座標系				
11102-0300-13.xml	土呂町	11102	さいたま市北区	任意座標系				
11102-0300-14.xml	東大成町１丁目	11102	さいたま市北区	任意座標系				
11102-0300-15.xml	東大成町２丁目	11102	さいたま市北区	任意座標系				
11102-0300-16.xml	日進町１丁目	11102	さいたま市北区	任意座標系				
11102-0300-17.xml	別所町Ｂ	11102	さいたま市北区	任意座標系				
11102-0300-18.xml	盆栽町	11102	さいたま市北区	任意座標系				
11102-0300-19.xml	吉野町１丁目	11102	さいたま市北区	任意座標系				
11102-0300-20.xml	宮原町２丁目	11102	さいたま市北区	任意座標系				
11102-0300-21.xml	宮原町３丁目	11102	さいたま市北区	任意座標系				
11102-0300-22.xml	宮原町４丁目	11102	さいたま市北区	任意座標系				
11102-0300-23.xml	櫛引町２丁目	11102	さいたま市北区	任意座標系				
11102-0300-24.xml	今羽町	11102	さいたま市北区	任意座標系				
11102-0300-25.xml	植竹町１丁目	11102	さいたま市北区	任意座標系				
11102-0300-26.xml	土呂町１丁目	11102	さいたま市北区	任意座標系				
11102-0300-27.xml	土呂町２丁目	11102	さいたま市北区	任意座標系				
11102-0300-28.xml	奈良町	11102	さいたま市北区	任意座標系				
11102-0300-29.xml	日進町２丁目	11102	さいたま市北区	任意座標系				
11102-0300-30.xml	日進町３丁目	11102	さいたま市北区	任意座標系				
