ファイル名	地図名	市区町村コード	市区町村名	座標系	測地系判別	変換プログラム	変換プログラムバージョン	変換パラメータバージョン
13101-0100-1.xml	１番町・２番町・３番町	13101	千代田区	任意座標系				
13101-0100-2.xml	５番町	13101	千代田区	任意座標系				
13101-0100-3.xml	永田町・隼町	13101	千代田区	任意座標系				
13101-0100-4.xml	丸の内１～３丁目	13101	千代田区	任意座標系				
13101-0100-5.xml	九段北・九段南	13101	千代田区	任意座標系				
13101-0100-6.xml	麹町・紀尾井町・平河町	13101	千代田区	任意座標系				
13101-0100-7.xml	三崎町１～３丁目	13101	千代田区	任意座標系				
13101-0100-8.xml	四番町	13101	千代田区	任意座標系				
13101-0100-9.xml	大手町・神田錦町・一ツ橋	13101	千代田区	任意座標系				
13101-0100-10.xml	内幸町他	13101	千代田区	任意座標系				
13101-0100-11.xml	富士見１丁目	13101	千代田区	任意座標系				
13101-0100-12.xml	富士見２丁目	13101	千代田区	任意座標系				
13101-0100-13.xml	有楽町１丁目	13101	千代田区	任意座標系				
13101-0100-14.xml	有楽町２丁目Ａ	13101	千代田区	任意座標系				
13101-0100-15.xml	有楽町２丁目Ｂ	13101	千代田区	任意座標系				
13101-0100-16.xml	六番町	13101	千代田区	任意座標系				
13101-0100-17.xml	外神田他	13101	千代田区	任意座標系				
13101-0100-18.xml	岩本町他	13101	千代田区	任意座標系				
13101-0100-19.xml	神保町他	13101	千代田区	任意座標系				
13101-0100-20.xml	内神田他	13101	千代田区	任意座標系				
13101-0100-21.xml	平河町２丁目	13101	千代田区	任意座標系				
13101-0100-22.xml	和泉町他	13101	千代田区	任意座標系				
13101-0100-23.xml	10064_hosei_20121116083511	13101	千代田区	公共座標9系	変換	TKY2JGD	1.3.77	2.0.6
13101-0100-24.xml	10065_hosei_20121116083528	13101	千代田区	公共座標9系	変換	TKY2JGD	1.3.77	2.0.6
13101-0100-25.xml	10066_hosei_20121116083545	13101	千代田区	公共座標9系	変換	TKY2JGD	1.3.77	2.0.6
13101-0100-26.xml	10143_hosei_20121116083602	13101	千代田区	公共座標9系	測量			
13101-0100-27.xml	10231_hosei_20121116084110	13101	千代田区	公共座標9系	測量			
13101-0100-28.xml	10288_hosei_20140331163159	13101	千代田区	公共座標9系	測量			
13101-0100-29.xml	13101_2018_0	13101	千代田区	公共座標9系	測量			
13102-0100-1.xml	茅場町・八丁堀・湊	13102	中央区	任意座標系				
13102-0100-2.xml	京橋	13102	中央区	任意座標系				
13102-0100-3.xml	月島・佃	13102	中央区	任意座標系				
13102-0100-4.xml	勝どき	13102	中央区	任意座標系				
13102-0100-5.xml	新川	13102	中央区	任意座標系				
13102-0100-6.xml	晴海	13102	中央区	任意座標系				
13102-0100-7.xml	築地	13102	中央区	任意座標系				
13102-0100-8.xml	東日本橋他	13102	中央区	任意座標系				
13102-0100-9.xml	日本橋蛎殻町	13102	中央区	任意座標系				
13102-0100-10.xml	日本橋小舟町	13102	中央区	任意座標系				
13102-0100-11.xml	日本橋大伝馬町	13102	中央区	任意座標系				
13102-0100-12.xml	入船	13102	中央区	任意座標系				
13102-0100-13.xml	浜離宮庭園	13102	中央区	任意座標系				
13102-0100-14.xml	本石町他	13102	中央区	任意座標系				
13102-0100-15.xml	明石町	13102	中央区	任意座標系				
13102-0100-16.xml	銀座	13102	中央区	任意座標系				
13102-0100-17.xml	新富町	13102	中央区	任意座標系				
13102-0100-18.xml	人形町他	13102	中央区	任意座標系				
13102-0100-19.xml	日本橋	13102	中央区	任意座標系				
13102-0100-20.xml	富沢町他	13102	中央区	任意座標系				
13102-0100-21.xml	中央区八丁堀４丁目	13102	中央区	任意座標系				
13102-0100-22.xml	中央区晴海２丁目土地区画整理	13102	中央区	公共座標9系	測量			
13102-0100-23.xml	10044_hosei_20121116083437	13102	中央区	公共座標9系	変換	TKY2JGD	1.3.77	2.0.6
13102-0100-24.xml	10061_hosei_20121116083454	13102	中央区	公共座標9系	変換	TKY2JGD	1.3.77	2.0.6
13102-0100-25.xml	13102_2012_1	13102	中央区	公共座標9系	測量			
13102-0100-26.xml	31024_2015_0	13102	中央区	公共座標9系	測量			
13102-0100-27.xml	13102_2015_1	13102	中央区	公共座標9系	測量			
13102-0100-28.xml	佃１丁目修正後	13102	中央区	公共座標9系	測量			
13102-0100-29.xml	10000_2021_1	13102	中央区	公共座標9系	測量			
13103-0104-1.xml	愛宕１～２丁目	13103	港区	任意座標系				
13103-0104-2.xml	元赤坂１～２丁目	13103	港区	任意座標系				
13103-0104-3.xml	芝３・５丁目（区画整理）	13103	港区	任意座標系				
13103-0104-4.xml	芝大門１～２丁目	13103	港区	任意座標系				
13103-0104-5.xml	西新橋１～３丁目	13103	港区	任意座標系				
13103-0104-6.xml	浜松町１～２丁目	13103	港区	任意座標系				
13103-0104-7.xml	麻布狸穴町・永坂町	13103	港区	任意座標系				
13103-0104-8.xml	海岸１～３丁目	13103	港区	任意座標系				
13103-0104-9.xml	元麻布１～３丁目	13103	港区	任意座標系				
13103-0104-10.xml	虎ノ門１～５丁目	13103	港区	任意座標系				
13103-0104-11.xml	港南１～２丁目	13103	港区	任意座標系				
13103-0104-12.xml	港南３～５丁目	13103	港区	任意座標系				
13103-0104-13.xml	高輪１～４丁目	13103	港区	任意座標系				
13103-0104-14.xml	三田１～５丁目	13103	港区	任意座標系				
13103-0104-15.xml	芝１～５丁目	13103	港区	任意座標系				
13103-0104-16.xml	芝浦１～４丁目	13103	港区	任意座標系				
13103-0104-17.xml	芝公園１～４丁目	13103	港区	任意座標系				
13103-0104-18.xml	新橋１～６丁目	13103	港区	任意座標系				
13103-0104-19.xml	西麻布１～４丁目	13103	港区	任意座標系				
13103-0104-20.xml	赤坂１～６丁目	13103	港区	任意座標系				
13103-0104-21.xml	赤坂７～９丁目	13103	港区	任意座標系				
13103-0104-22.xml	東新橋１～２丁目	13103	港区	任意座標系				
13103-0104-23.xml	東麻布１～３丁目	13103	港区	任意座標系				
13103-0104-24.xml	南青山１～２丁目	13103	港区	任意座標系				
13103-0104-25.xml	南青山３～７丁目	13103	港区	任意座標系				
13103-0104-26.xml	南麻布１から５丁目	13103	港区	任意座標系				
13103-0104-27.xml	白金１～６丁目	13103	港区	任意座標系				
13103-0104-28.xml	白金台１～５丁目	13103	港区	任意座標系				
13103-0104-29.xml	北青山１～３丁目	13103	港区	任意座標系				
13103-0104-30.xml	麻布十番１～４丁目	13103	港区	任意座標系				
13103-0104-31.xml	麻布台１～３丁目	13103	港区	任意座標系				
13103-0104-32.xml	六本木１丁目（区画整理）	13103	港区	任意座標系				
13103-0104-33.xml	六本木１～７丁目	13103	港区	任意座標系				
13103-0104-34.xml	10026_hosei_20121017083529	13103	港区	公共座標9系	変換	TKY2JGD	1.3.77	2.0.6
13103-0104-35.xml	10029_hosei_20121017083546	13103	港区	公共座標9系	変換	TKY2JGD	1.3.77	2.0.6
13103-0104-36.xml	10044_hosei_20121017083603	13103	港区	公共座標9系	変換	TKY2JGD	1.3.77	2.0.6
13103-0104-37.xml	10068_hosei_20121017083651	13103	港区	公共座標9系	変換	TKY2JGD	1.3.77	2.0.6
13103-0104-38.xml	10071_hosei_20121017083708	13103	港区	公共座標9系	測量			
13103-0104-39.xml	10072_hosei_20121017083725	13103	港区	公共座標9系	測量			
13103-0104-40.xml	10073_hosei_20121017083758	13103	港区	公共座標9系	測量			
13103-0104-41.xml	10074_hosei_20121017083815	13103	港区	公共座標9系	測量			
13103-0104-42.xml	六本木４丁目（修正後）	13103	港区	任意座標系				
13103-0104-43.xml	港区虎ノ門五丁目・六本木一丁目地区	13103	港区	公共座標9系	測量			
13103-0104-44.xml	港区六本木一丁目地区	13103	港区	公共座標9系	測量			
13103-0104-45.xml	芝浦１丁目、３丁目	13103	港区	公共座標9系	測量			
13103-0104-46.xml	汐留土地区画整理事業	13103	港区	公共座標9系	測量			
13103-0104-47.xml	13103_2019_0	13103	港区	公共座標9系	測量			
13103-0104-48.xml	13103_2019_1	13103	港区	公共座標9系	測量			
13103-0104-49.xml	13103_2020_1	13103	港区	公共座標9系	測量			
13103-0104-50.xml	高輪修正後	13103	港区	公共座標9系	測量			
13104-0111-1.xml	歌舞伎町１・２丁目	13104	新宿区	任意座標系				
13104-0111-2.xml	原町１～３丁目・若松・河田・住吉・他	13104	新宿区	任意座標系				
13104-0111-3.xml	高田馬場・百人町・北新宿（区画整理）	13104	新宿区	任意座標系				
13104-0111-4.xml	四谷１～４丁目	13104	新宿区	任意座標系				
13104-0111-5.xml	四谷４丁目・富久・内藤（区画整理）	13104	新宿区	任意座標系				
13104-0111-6.xml	市谷（左内町・八幡町・仲之町・本村町）	13104	新宿区	任意座標系				
13104-0111-7.xml	新宿・歌舞伎町・富久町（区画整理）	13104	新宿区	任意座標系				
13104-0111-8.xml	神楽河岸・下宮比（区画整理）	13104	新宿区	任意座標系				
13104-0111-9.xml	神楽坂１～６丁目	13104	新宿区	任意座標系				
13104-0111-10.xml	西新宿・オペラシティ（区画整理）	13104	新宿区	任意座標系				
13104-0111-11.xml	西新宿（区画整理）	13104	新宿区	任意座標系				
13104-0111-12.xml	西早稲田１～３丁目・戸山１～３丁目	13104	新宿区	任意座標系				
13104-0111-13.xml	赤城下・赤城元・改代・水道・他	13104	新宿区	任意座標系				
13104-0111-14.xml	東五軒・西五軒・白銀・筑土八幡	13104	新宿区	任意座標系				
13104-0111-15.xml	百人町１～４丁目	13104	新宿区	任意座標系				
13104-0111-16.xml	富久町（区画整理）	13104	新宿区	任意座標系				
13104-0111-17.xml	北山吹・若宮・袋・北・他	13104	新宿区	任意座標系				
13104-0111-18.xml	愛住・荒木・片・坂・他	13104	新宿区	任意座標系				
13104-0111-19.xml	下落合１～４丁目	13104	新宿区	任意座標系				
13104-0111-20.xml	高田馬場１～４丁目	13104	新宿区	任意座標系				
13104-0111-21.xml	山吹・天神・東榎・榎・他	13104	新宿区	任意座標系				
13104-0111-22.xml	市谷（船河原町・鷹匠町・長延寺町・他）	13104	新宿区	任意座標系				
13104-0111-23.xml	市谷（柳町・山伏町・甲良町・他）	13104	新宿区	任意座標系				
13104-0111-24.xml	若葉１～３丁目・須賀町・左門町	13104	新宿区	任意座標系				
13104-0111-25.xml	上落合１～３丁目	13104	新宿区	任意座標系				
13104-0111-26.xml	新宿１～７丁目	13104	新宿区	任意座標系				
13104-0111-27.xml	西新宿２～８丁目	13104	新宿区	任意座標系				
13104-0111-28.xml	西落合１～４丁目	13104	新宿区	任意座標系				
13104-0111-29.xml	早稲田・戸塚・山吹・他（区画整理）	13104	新宿区	任意座標系				
