ファイル名	地図名	市区町村コード	市区町村名	座標系	測地系判別	変換プログラム	変換プログラムバージョン	変換パラメータバージョン
14101-0205-1.xml	KNG14301	14101	横浜市鶴見区	任意座標系				
14101-0205-2.xml	KNG14302	14101	横浜市鶴見区	任意座標系				
14101-0205-3.xml	KNG14304	14101	横浜市鶴見区	任意座標系				
14101-0205-4.xml	KNG14305	14101	横浜市鶴見区	任意座標系				
14101-0205-5.xml	KNG14306	14101	横浜市鶴見区	任意座標系				
14101-0205-6.xml	KNG14307	14101	横浜市鶴見区	任意座標系				
14101-0205-7.xml	KNG14308	14101	横浜市鶴見区	任意座標系				
14101-0205-8.xml	KNG14309	14101	横浜市鶴見区	任意座標系				
14101-0205-9.xml	KNG14310	14101	横浜市鶴見区	任意座標系				
14101-0205-10.xml	KNG14311	14101	横浜市鶴見区	任意座標系				
14101-0205-11.xml	KNG14317	14101	横浜市鶴見区	任意座標系				
14101-0205-12.xml	KNG14318	14101	横浜市鶴見区	任意座標系				
14101-0205-13.xml	KNG14319	14101	横浜市鶴見区	任意座標系				
14101-0205-14.xml	KNG14321	14101	横浜市鶴見区	任意座標系				
14101-0205-15.xml	KNG14322	14101	横浜市鶴見区	任意座標系				
14101-0205-16.xml	KNG14323	14101	横浜市鶴見区	任意座標系				
14101-0205-17.xml	KNG14324	14101	横浜市鶴見区	任意座標系				
14101-0205-18.xml	KNG14326	14101	横浜市鶴見区	任意座標系				
14101-0205-19.xml	KNG14330	14101	横浜市鶴見区	任意座標系				
14101-0205-20.xml	KNG14331	14101	横浜市鶴見区	任意座標系				
14101-0205-21.xml	KNG14332	14101	横浜市鶴見区	任意座標系				
14101-0205-22.xml	KNG14334	14101	横浜市鶴見区	任意座標系				
14101-0205-23.xml	KNG14335	14101	横浜市鶴見区	任意座標系				
14101-0205-24.xml	KNG14336	14101	横浜市鶴見区	任意座標系				
14101-0205-25.xml	KNG14337	14101	横浜市鶴見区	任意座標系				
14101-0205-26.xml	KNG14338	14101	横浜市鶴見区	任意座標系				
14101-0205-27.xml	KNG14339	14101	横浜市鶴見区	任意座標系				
14101-0205-28.xml	KNG14401	14101	横浜市鶴見区	任意座標系				
14101-0205-29.xml	KNG14402	14101	横浜市鶴見区	任意座標系				
14101-0205-30.xml	KNG14407	14101	横浜市鶴見区	任意座標系				
14101-0205-31.xml	KNG14410	14101	横浜市鶴見区	任意座標系				
14101-0205-32.xml	KNG14411	14101	横浜市鶴見区	任意座標系				
14101-0205-33.xml	KNG14412	14101	横浜市鶴見区	任意座標系				
14101-0205-34.xml	KNG14413	14101	横浜市鶴見区	任意座標系				
14101-0205-35.xml	KNG14414	14101	横浜市鶴見区	任意座標系				
14101-0205-36.xml	KNG14415	14101	横浜市鶴見区	任意座標系				
14101-0205-37.xml	KNG14416	14101	横浜市鶴見区	任意座標系				
14101-0205-38.xml	KNG14417	14101	横浜市鶴見区	任意座標系				
14101-0205-39.xml	KNG14418	14101	横浜市鶴見区	任意座標系				
14101-0205-40.xml	KNG14420	14101	横浜市鶴見区	任意座標系				
14101-0205-41.xml	KNG14421	14101	横浜市鶴見区	任意座標系				
14101-0205-42.xml	KNG14422	14101	横浜市鶴見区	任意座標系				
14101-0205-43.xml	KNG14425	14101	横浜市鶴見区	任意座標系				
14101-0205-44.xml	KNG14426	14101	横浜市鶴見区	任意座標系				
14101-0205-45.xml	KNG14428	14101	横浜市鶴見区	任意座標系				
14101-0205-46.xml	KNG14429	14101	横浜市鶴見区	任意座標系				
14101-0205-47.xml	KNG14432	14101	横浜市鶴見区	任意座標系				
14101-0205-48.xml	KNG14434	14101	横浜市鶴見区	任意座標系				
14101-0205-49.xml	KNG14436	14101	横浜市鶴見区	任意座標系				
14101-0205-50.xml	KNG14437	14101	横浜市鶴見区	任意座標系				
14101-0205-51.xml	KNG14440	14101	横浜市鶴見区	任意座標系				
14101-0205-52.xml	KNG14441	14101	横浜市鶴見区	任意座標系				
14101-0205-53.xml	KNG14442	14101	横浜市鶴見区	任意座標系				
14101-0205-54.xml	KNG14443	14101	横浜市鶴見区	任意座標系				
14101-0205-55.xml	KNG14501	14101	横浜市鶴見区	任意座標系				
14101-0205-56.xml	KNG14502	14101	横浜市鶴見区	任意座標系				
14101-0205-57.xml	KNG14503	14101	横浜市鶴見区	任意座標系				
14101-0205-58.xml	KNG14505	14101	横浜市鶴見区	任意座標系				
14101-0205-59.xml	KNG14508	14101	横浜市鶴見区	任意座標系				
14101-0205-60.xml	KNG14509	14101	横浜市鶴見区	任意座標系				
14101-0205-61.xml	KNG14303	14101	横浜市鶴見区	任意座標系				
14101-0205-62.xml	KNG14312	14101	横浜市鶴見区	任意座標系				
14101-0205-63.xml	KNG14313	14101	横浜市鶴見区	任意座標系				
14101-0205-64.xml	KNG14314	14101	横浜市鶴見区	任意座標系				
14101-0205-65.xml	KNG14315	14101	横浜市鶴見区	任意座標系				
14101-0205-66.xml	KNG14320	14101	横浜市鶴見区	任意座標系				
14101-0205-67.xml	KNG14325	14101	横浜市鶴見区	任意座標系				
14101-0205-68.xml	KNG14327	14101	横浜市鶴見区	任意座標系				
14101-0205-69.xml	KNG14328	14101	横浜市鶴見区	任意座標系				
14101-0205-70.xml	KNG14329	14101	横浜市鶴見区	任意座標系				
14101-0205-71.xml	KNG14333	14101	横浜市鶴見区	任意座標系				
14101-0205-72.xml	KNG14403	14101	横浜市鶴見区	任意座標系				
14101-0205-73.xml	KNG14404	14101	横浜市鶴見区	任意座標系				
14101-0205-74.xml	KNG14405	14101	横浜市鶴見区	任意座標系				
14101-0205-75.xml	KNG14406	14101	横浜市鶴見区	任意座標系				
14101-0205-76.xml	KNG14408	14101	横浜市鶴見区	任意座標系				
14101-0205-77.xml	KNG14409	14101	横浜市鶴見区	任意座標系				
14101-0205-78.xml	KNG14419	14101	横浜市鶴見区	任意座標系				
14101-0205-79.xml	KNG14423	14101	横浜市鶴見区	任意座標系				
14101-0205-80.xml	KNG14424	14101	横浜市鶴見区	任意座標系				
14101-0205-81.xml	KNG14427	14101	横浜市鶴見区	任意座標系				
14101-0205-82.xml	KNG14430	14101	横浜市鶴見区	任意座標系				
14101-0205-83.xml	KNG14431	14101	横浜市鶴見区	任意座標系				
14101-0205-84.xml	KNG14433	14101	横浜市鶴見区	任意座標系				
14101-0205-85.xml	KNG14435	14101	横浜市鶴見区	任意座標系				
