ファイル名	地図名	市区町村コード	市区町村名	座標系	測地系判別	変換プログラム	変換プログラムバージョン	変換パラメータバージョン
15101-1100-1.xml	１４太郎代	15101	新潟市北区	任意座標系				
15101-1100-2.xml	すみれ野１７Ａ０１	15101	新潟市北区	任意座標系				
15101-1100-3.xml	松栄町	15101	新潟市北区	任意座標系				
15101-1100-4.xml	松潟Ａ	15101	新潟市北区	任意座標系				
15101-1100-5.xml	松潟Ｂ	15101	新潟市北区	任意座標系				
15101-1100-6.xml	新崎Ａ	15101	新潟市北区	任意座標系				
15101-1100-7.xml	新崎Ｂ	15101	新潟市北区	任意座標系				
15101-1100-8.xml	神谷内	15101	新潟市北区	任意座標系				
15101-1100-9.xml	新崎１～３丁目	15101	新潟市北区	任意座標系				
15101-1100-10.xml	太夫浜・三軒屋町・新元島町・新崎	15101	新潟市北区	任意座標系				
15101-1100-11.xml	太夫浜Ｃ	15101	新潟市北区	任意座標系				
15101-1100-12.xml	太夫浜Ｄ	15101	新潟市北区	任意座標系				
15101-1100-13.xml	太夫浜Ｅ	15101	新潟市北区	任意座標系				
15101-1100-14.xml	太夫浜Ｆ	15101	新潟市北区	任意座標系				
15101-1100-15.xml	太夫浜Ｇ	15101	新潟市北区	任意座標系				
15101-1100-16.xml	太郎代１７Ａ０１	15101	新潟市北区	任意座標系				
15101-1100-17.xml	太郎代Ｂ	15101	新潟市北区	任意座標系				
15101-1100-18.xml	東栄町	15101	新潟市北区	任意座標系				
15101-1100-19.xml	島見町Ａ	15101	新潟市北区	任意座標系				
15101-1100-20.xml	島見町Ｂ	15101	新潟市北区	任意座標系				
15101-1100-21.xml	島見町Ｅ	15101	新潟市北区	任意座標系				
15101-1100-22.xml	名目所	15101	新潟市北区	任意座標系				
15101-1100-23.xml	名目所１～３丁目	15101	新潟市北区	任意座標系				
15101-1100-24.xml	（北）松浜町Ａ	15101	新潟市北区	任意座標系				
15101-1100-25.xml	（北）松浜町Ｃ	15101	新潟市北区	任意座標系				
15101-1100-26.xml	（北）松浜町Ｄ	15101	新潟市北区	任意座標系				
15101-1100-27.xml	（北）中蒲原郡横越町大字横越－１２	15101	新潟市北区	任意座標系				
