ファイル名	地図名	市区町村コード	市区町村名	座標系	測地系判別	変換プログラム	変換プログラムバージョン	変換パラメータバージョン
16201-2300-1.xml	羽根	16201	富山市	任意座標系				
16201-2300-2.xml	１１年度愛宕・曙町・新屋・有沢	16201	富山市	任意座標系				
16201-2300-3.xml	１１年度羽根Ａ	16201	富山市	任意座標系				
16201-2300-4.xml	１１年度羽根Ｂ	16201	富山市	任意座標系				
16201-2300-5.xml	１１年度永楽町	16201	富山市	任意座標系				
16201-2300-6.xml	１１年度奥井町・奥田町	16201	富山市	任意座標系				
16201-2300-7.xml	吉作	16201	富山市	任意座標系				
16201-2300-8.xml	１１年度横越	16201	富山市	任意座標系				
16201-2300-9.xml	１１年度下冨居２丁目	16201	富山市	任意座標系				
16201-2300-10.xml	１１年度開ヶ丘	16201	富山市	任意座標系				
16201-2300-11.xml	１１年度久方町	16201	富山市	任意座標系				
16201-2300-12.xml	１１年度宮園町・明輪町	16201	富山市	任意座標系				
16201-2300-13.xml	１１年度牛島・牛島本町１丁目・２丁目	16201	富山市	任意座標系				
16201-2300-14.xml	１１年度興人町	16201	富山市	任意座標系				
16201-2300-15.xml	１１年度金山新桜ヶ丘・金屋	16201	富山市	任意座標系				
16201-2300-16.xml	１１年度窪・窪新町・窪本町	16201	富山市	任意座標系				
16201-2300-17.xml	１１年度古川・四方北窪	16201	富山市	任意座標系				
16201-2300-18.xml	１１年度犬島５丁目・６丁目・７丁目	16201	富山市	任意座標系				
16201-2300-19.xml	１１年度犬島新町１，２丁目・打出・打出新	16201	富山市	任意座標系				
16201-2300-20.xml	１１年度古沢	16201	富山市	任意座標系				
16201-2300-21.xml	１１年度向新庄	16201	富山市	任意座標系				
16201-2300-22.xml	１１年度高園町・田尻・中間島・辻ヶ堂	16201	富山市	任意座標系				
16201-2300-23.xml	１１年度高島	16201	富山市	任意座標系				
16201-2300-24.xml	１１年度高畠町１・２丁目・千原崎・他	16201	富山市	任意座標系				
16201-2300-25.xml	１１年度今市	16201	富山市	任意座標系				
16201-2300-26.xml	１１年度山岸	16201	富山市	任意座標系				
16201-2300-27.xml	１１年度山本Ｂ	16201	富山市	任意座標系				
16201-2300-28.xml	１１年度山本新	16201	富山市	任意座標系				
16201-2300-29.xml	１１年度四ツ屋	16201	富山市	任意座標系				
16201-2300-30.xml	１１年度寺島・八幡	16201	富山市	任意座標系				
16201-2300-31.xml	１１年度松若町	16201	富山市	任意座標系				
16201-2300-32.xml	１１年度松木・宮尾	16201	富山市	任意座標系				
16201-2300-33.xml	１１年度上飯野	16201	富山市	任意座標系				
16201-2300-34.xml	１１年度上富居	16201	富山市	任意座標系				
16201-2300-35.xml	１１年度上野新	16201	富山市	任意座標系				
16201-2300-36.xml	１１年度新金代１丁目・２丁目	16201	富山市	任意座標系				
16201-2300-37.xml	１１年度新庄町	16201	富山市	任意座標系				
16201-2300-38.xml	１１年度針原中町	16201	富山市	任意座標系				
16201-2300-39.xml	１１年度針日	16201	富山市	任意座標系				
16201-2300-40.xml	１１年度水橋（舘町・平榎・町袋・柳寺）	16201	富山市	任意座標系				
16201-2300-41.xml	１１年度水橋小路Ａ	16201	富山市	任意座標系				
16201-2300-42.xml	１１年度水橋町Ａ	16201	富山市	任意座標系				
16201-2300-43.xml	１１年度水橋町Ｂ	16201	富山市	任意座標系				
16201-2300-44.xml	１１年度水橋町Ｃ	16201	富山市	任意座標系				
16201-2300-45.xml	１１年度水橋二ツ屋	16201	富山市	任意座標系				
16201-2300-46.xml	１１年度西押川	16201	富山市	任意座標系				
16201-2300-47.xml	１１年度西金屋	16201	富山市	任意座標系				
16201-2300-48.xml	１１年度西新庄	16201	富山市	任意座標系				
16201-2300-49.xml	１１年度石金・磯部・稲荷	16201	富山市	任意座標系				
16201-2300-50.xml	１１年度千代田町	16201	富山市	任意座標系				
16201-2300-51.xml	１１年度中島４・５丁目	16201	富山市	任意座標系				
16201-2300-52.xml	１１年度中沖・西公文名・西二俣	16201	富山市	任意座標系				
16201-2300-53.xml	１１年度中冨居	16201	富山市	任意座標系				
16201-2300-54.xml	１１年度町村Ｃ	16201	富山市	任意座標系				
16201-2300-55.xml	１１年度町袋Ａ	16201	富山市	任意座標系				
16201-2300-56.xml	１１年度町袋Ｂ	16201	富山市	任意座標系				
16201-2300-57.xml	１１年度長江	16201	富山市	任意座標系				
