ファイル名	地図名	市区町村コード	市区町村名	座標系	測地系判別	変換プログラム	変換プログラムバージョン	変換パラメータバージョン
18201-2100-1.xml	つくし野１丁目	18201	福井市	任意座標系				
18201-2100-2.xml	みのり１～４丁目	18201	福井市	任意座標系				
18201-2100-3.xml	みのり３丁目	18201	福井市	任意座標系				
18201-2100-4.xml	グリーンハイツ１丁目～１０丁目	18201	福井市	任意座標系				
18201-2100-5.xml	鮎川町Ａ	18201	福井市	任意座標系				
18201-2100-6.xml	鮎川町Ｂ	18201	福井市	任意座標系				
18201-2100-7.xml	鮎川町Ｃ	18201	福井市	任意座標系				
18201-2100-8.xml	鮎川町Ｄ	18201	福井市	任意座標系				
18201-2100-9.xml	鮎川町Ｅ	18201	福井市	任意座標系				
18201-2100-10.xml	鮎川町Ｆ	18201	福井市	任意座標系				
18201-2100-11.xml	鮎川町Ｇ	18201	福井市	任意座標系				
18201-2100-12.xml	安原町	18201	福井市	任意座標系				
18201-2100-13.xml	安原町Ｂ	18201	福井市	任意座標系				
18201-2100-14.xml	安竹町	18201	福井市	任意座標系				
18201-2100-15.xml	安田町	18201	福井市	任意座標系				
18201-2100-16.xml	安波賀中島町	18201	福井市	任意座標系				
18201-2100-17.xml	安波賀町Ａ	18201	福井市	任意座標系				
18201-2100-18.xml	安波賀町Ｂ	18201	福井市	任意座標系				
18201-2100-19.xml	安保町	18201	福井市	任意座標系				
18201-2100-20.xml	為寄町	18201	福井市	任意座標系				
18201-2100-21.xml	一王寺町	18201	福井市	任意座標系				
18201-2100-22.xml	一王寺町Ａ	18201	福井市	任意座標系				
18201-2100-23.xml	一王寺町Ｂ	18201	福井市	任意座標系				
18201-2100-24.xml	一本木町	18201	福井市	任意座標系				
18201-2100-25.xml	稲津町Ａ	18201	福井市	任意座標系				
18201-2100-26.xml	稲津町Ｂ	18201	福井市	任意座標系				
18201-2100-27.xml	稲津町Ｃ	18201	福井市	任意座標系				
18201-2100-28.xml	稲津町Ｄ	18201	福井市	任意座標系				
18201-2100-29.xml	印田町	18201	福井市	任意座標系				
18201-2100-30.xml	引目町（和）	18201	福井市	任意座標系				
18201-2100-31.xml	宇坂大谷Ａ	18201	福井市	任意座標系				
18201-2100-32.xml	宇坂大谷Ｂ	18201	福井市	任意座標系				
