ファイル名	地図名	市区町村コード	市区町村名	座標系	測地系判別	変換プログラム	変換プログラムバージョン	変換パラメータバージョン
19201-0900-1.xml	甲府市羽黒町	19201	甲府市	任意座標系				
19201-0900-2.xml	甲府市横根町	19201	甲府市	任意座標系				
19201-0900-3.xml	甲府市音羽町	19201	甲府市	任意座標系				
19201-0900-4.xml	甲府市下石田２丁目	19201	甲府市	任意座標系				
19201-0900-5.xml	甲府市下積翠寺町	19201	甲府市	任意座標系				
19201-0900-6.xml	甲府市下帯那町Ａ	19201	甲府市	任意座標系				
19201-0900-7.xml	甲府市下帯那町Ｄ	19201	甲府市	任意座標系				
19201-0900-8.xml	甲府市下鍛冶屋町	19201	甲府市	任意座標系				
19201-0900-9.xml	甲府市丸ノ内１～３丁目	19201	甲府市	任意座標系				
19201-0900-10.xml	青葉町	19201	甲府市	任意座標系				
19201-0900-11.xml	甲府市宮前町	19201	甲府市	任意座標系				
19201-0900-12.xml	甲府市元紺屋町	19201	甲府市	任意座標系				
19201-0900-13.xml	甲府市古府中町	19201	甲府市	任意座標系				
19201-0900-14.xml	甲府市御岳町Ａ	19201	甲府市	任意座標系				
19201-0900-15.xml	甲府市御岳町Ｂ	19201	甲府市	任意座標系				
19201-0900-16.xml	甲府市御岳町Ｃ	19201	甲府市	任意座標系				
19201-0900-17.xml	甲府市御岳町Ｄ	19201	甲府市	任意座標系				
19201-0900-18.xml	甲府市貢川本町	19201	甲府市	任意座標系				
19201-0900-19.xml	甲府市高成町Ａ	19201	甲府市	任意座標系				
19201-0900-20.xml	甲府市高成町Ｂ	19201	甲府市	任意座標系				
19201-0900-21.xml	甲府市高成町Ｃ	19201	甲府市	任意座標系				
19201-0900-22.xml	甲府市高町	19201	甲府市	任意座標系				
19201-0900-23.xml	甲府市黒平町Ａ	19201	甲府市	任意座標系				
19201-0900-24.xml	甲府市黒平町Ｂ	19201	甲府市	任意座標系				
19201-0900-25.xml	甲府市桜井町	19201	甲府市	任意座標系				
19201-0900-26.xml	甲府市酒折町	19201	甲府市	任意座標系				
19201-0900-27.xml	甲府市小曲町Ｂ	19201	甲府市	任意座標系				
19201-0900-28.xml	甲府市小瀬町	19201	甲府市	任意座標系				
19201-0900-29.xml	甲府市上石田２～４丁目	19201	甲府市	任意座標系				
19201-0900-30.xml	甲府市上積翠寺町Ａ	19201	甲府市	任意座標系				
19201-0900-31.xml	甲府市上積翠寺町Ｂ	19201	甲府市	任意座標系				
19201-0900-32.xml	甲府市上帯那町１／５０００Ａ	19201	甲府市	任意座標系				
19201-0900-33.xml	甲府市上帯那町１／５０００Ｂ	19201	甲府市	任意座標系				
19201-0900-34.xml	甲府市上帯那町Ａ	19201	甲府市	任意座標系				
19201-0900-35.xml	甲府市上帯那町Ｂ	19201	甲府市	任意座標系				
19201-0900-36.xml	甲府市上帯那町Ｃ	19201	甲府市	任意座標系				
19201-0900-37.xml	甲府市上帯那町Ｄ	19201	甲府市	任意座標系				
19201-0900-38.xml	甲府市上帯那町奥仙丈	19201	甲府市	任意座標系				
19201-0900-39.xml	甲府市川窪町Ａ	19201	甲府市	任意座標系				
19201-0900-40.xml	甲府市川窪町Ｂ	19201	甲府市	任意座標系				
19201-0900-41.xml	甲府市川窪町Ｃ	19201	甲府市	任意座標系				
19201-0900-42.xml	甲府市善光寺町	19201	甲府市	任意座標系				
19201-0900-43.xml	甲府市草鹿沢町Ａ	19201	甲府市	任意座標系				
19201-0900-44.xml	甲府市草鹿沢町Ｂ	19201	甲府市	任意座標系				
19201-0900-45.xml	甲府市大里町・宮原町・高室町	19201	甲府市	任意座標系				
19201-0900-46.xml	甲府市大和町	19201	甲府市	任意座標系				
19201-0900-47.xml	甲府市竹日向町Ａ	19201	甲府市	任意座標系				
19201-0900-48.xml	甲府市竹日向町Ｂ	19201	甲府市	任意座標系				
19201-0900-49.xml	甲府市中央１～５丁目	19201	甲府市	任意座標系				
19201-0900-50.xml	甲府天神町	19201	甲府市	任意座標系				
19201-0900-51.xml	甲府市塚原町	19201	甲府市	任意座標系				
19201-0900-52.xml	甲府市塔岩町	19201	甲府市	任意座標系				
19201-0900-53.xml	甲府市湯村１～３丁目	19201	甲府市	任意座標系				
19201-0900-54.xml	甲府市徳行２丁目	19201	甲府市	任意座標系				
19201-0900-55.xml	甲府市武田１～４丁目	19201	甲府市	任意座標系				
19201-0900-56.xml	甲府市平瀬町Ｂ	19201	甲府市	任意座標系				
19201-0900-57.xml	甲府市平瀬町Ｃ	19201	甲府市	任意座標系				
19201-0900-58.xml	甲府市北新１・２丁目	19201	甲府市	任意座標系				
19201-0900-59.xml	甲府市緑が丘１・２丁目	19201	甲府市	任意座標系				
19201-0900-60.xml	甲府市和田町	19201	甲府市	任意座標系				
19201-0900-61.xml	荒川二丁目	19201	甲府市	任意座標系				
19201-0900-62.xml	北新１丁目	19201	甲府市	任意座標系				
19201-0900-63.xml	緑が丘二丁目	19201	甲府市	公共座標8系	測量			
19201-0900-64.xml	甲府市屋形１～３丁目	19201	甲府市	任意座標系				
19201-0900-65.xml	甲府市下帯那町Ｂ	19201	甲府市	任意座標系				
19201-0900-66.xml	甲府市下帯那町Ｃ	19201	甲府市	任意座標系				
19201-0900-67.xml	甲府市山宮町Ｂ	19201	甲府市	任意座標系				
19201-0900-68.xml	甲府市住吉１・２・５丁目	19201	甲府市	任意座標系				
19201-0900-69.xml	甲府市小松町	19201	甲府市	任意座標系				
19201-0900-70.xml	甲府市千塚１～５丁目	19201	甲府市	任意座標系				
19201-0900-71.xml	甲府市東光寺町	19201	甲府市	任意座標系				
19201-0900-72.xml	甲府市美咲１・２丁目	19201	甲府市	任意座標系				
19201-0900-73.xml	甲府市富士見１・２丁目	19201	甲府市	任意座標系				
19201-0900-74.xml	甲府市平瀬町Ａ	19201	甲府市	任意座標系				
19201-0900-75.xml	甲府市宝１・２丁目	19201	甲府市	任意座標系				
19201-0900-76.xml	甲府市北口１～３丁目	19201	甲府市	任意座標系				
19201-0900-77.xml	愛宕町	19201	甲府市	任意座標系				
19201-0900-78.xml	岩窪町	19201	甲府市	任意座標系				
19201-0900-79.xml	古関１（和紙）	19201	甲府市	任意座標系				
19201-0900-80.xml	古関２（和紙）	19201	甲府市	任意座標系				
19201-0900-81.xml	古関３（和紙）	19201	甲府市	任意座標系				
19201-0900-82.xml	古関４（和紙）	19201	甲府市	任意座標系				
19201-0900-83.xml	相生一丁目	19201	甲府市	任意座標系				
19201-0900-84.xml	相生二丁目	19201	甲府市	任意座標系				
19201-0900-85.xml	大手一丁目	19201	甲府市	任意座標系				
19201-0900-86.xml	猪狩町１	19201	甲府市	任意座標系				
19201-0900-87.xml	猪狩町２	19201	甲府市	任意座標系				
19201-0900-88.xml	朝日一丁目	19201	甲府市	任意座標系				
19201-0900-89.xml	朝日三丁目	19201	甲府市	任意座標系				
19201-0900-90.xml	朝日二丁目	19201	甲府市	任意座標系				
19201-0900-91.xml	梯Ａ（和紙）	19201	甲府市	任意座標系				
19201-0900-92.xml	甲府市和田町（字村ノ内の一部）	19201	甲府市	任意座標系				
19201-0900-93.xml	10063_hosei_20121127084128	19201	甲府市	公共座標8系	変換	TKY2JGD	1.3.77	2.0.6
19201-0900-94.xml	10067_hosei_20121127084145	19201	甲府市	公共座標8系	変換	TKY2JGD	1.3.77	2.0.6
19201-0900-95.xml	10074_hosei_20121127084202	19201	甲府市	公共座標8系	変換	TKY2JGD	1.3.77	2.0.6
19201-0900-96.xml	10109_hosei_20121127084320	19201	甲府市	公共座標8系	変換	TKY2JGD	1.3.77	2.0.6
19201-0900-97.xml	10129_hosei_20121127084538	19201	甲府市	公共座標8系	変換	TKY2JGD	1.3.77	2.0.6
19201-0900-98.xml	10130_hosei_20121127084656	19201	甲府市	公共座標8系	変換	TKY2JGD	1.3.77	2.0.6
19201-0900-99.xml	10131_hosei_20121127084713	19201	甲府市	公共座標8系	変換	TKY2JGD	1.3.77	2.0.6
19201-0900-100.xml	10132_hosei_20121127084730	19201	甲府市	公共座標8系	変換	TKY2JGD	1.3.77	2.0.6
19201-0900-101.xml	10134_hosei_20121127084948	19201	甲府市	公共座標8系	変換	TKY2JGD	1.3.77	2.0.6
19201-0900-102.xml	10135_hosei_20121127085106	19201	甲府市	公共座標8系	変換	TKY2JGD	1.3.77	2.0.6
19201-0900-103.xml	10138_hosei_20121127085325	19201	甲府市	公共座標8系	変換	TKY2JGD	1.3.77	2.0.6
19201-0900-104.xml	10141_hosei_20121127085342	19201	甲府市	公共座標8系	変換	TKY2JGD	1.3.77	2.0.6
19201-0900-105.xml	10143_hosei_20121127085459	19201	甲府市	公共座標8系	変換	TKY2JGD	1.3.77	2.0.6
19201-0900-106.xml	10144_hosei_20121127085718	19201	甲府市	公共座標8系	変換	TKY2JGD	1.3.77	2.0.6
19201-0900-107.xml	10158_hosei_20121127090445	19201	甲府市	公共座標8系	測量			
19201-0900-108.xml	10164_hosei_20121127091128	19201	甲府市	公共座標8系	変換	TKY2JGD	1.3.77	2.0.6
19201-0900-109.xml	10230_hosei_20121127095001	19201	甲府市	公共座標8系	測量			
19201-0900-110.xml	10269_hosei_20121127100446	19201	甲府市	公共座標8系	測量			
19201-0900-111.xml	10315_hosei_20121127102625	19201	甲府市	公共座標8系	変換	TKY2JGD	1.3.77	2.0.6
19201-0900-112.xml	10329_hosei_20121127104754	19201	甲府市	公共座標8系	測量			
19201-0900-113.xml	10345_hosei_20121127112516	19201	甲府市	公共座標8系	変換	TKY2JGD	1.3.77	2.0.6
19201-0900-114.xml	10346_hosei_20121127112937	19201	甲府市	公共座標8系	変換	TKY2JGD	1.3.77	2.0.6
19201-0900-115.xml	10347_hosei_20121127113324	19201	甲府市	公共座標8系	変換	TKY2JGD	1.3.77	2.0.6
19201-0900-116.xml	10349_hosei_20121127113839	19201	甲府市	公共座標8系	変換	TKY2JGD	1.3.77	2.0.6
19201-0900-117.xml	10350_hosei_20121127114411	19201	甲府市	公共座標8系	変換	TKY2JGD	1.3.77	2.0.6
19201-0900-118.xml	10351_hosei_20121127115151	19201	甲府市	公共座標8系	変換	TKY2JGD	1.3.77	2.0.6
19201-0900-119.xml	10352_hosei_20121127115552	19201	甲府市	公共座標8系	変換	TKY2JGD	1.3.77	2.0.6
19201-0900-120.xml	10353_hosei_20121127115744	19201	甲府市	公共座標8系	変換	TKY2JGD	1.3.77	2.0.6
19201-0900-121.xml	10354_hosei_20121127120204	19201	甲府市	公共座標8系	変換	TKY2JGD	1.3.77	2.0.6
19201-0900-122.xml	10362_hosei_20121127120422	19201	甲府市	公共座標8系	変換	TKY2JGD	1.3.77	2.0.6
19201-0900-123.xml	10363_hosei_20121127120815	19201	甲府市	公共座標8系	変換	TKY2JGD	1.3.77	2.0.6
19201-0900-124.xml	10364_hosei_20121127121106	19201	甲府市	公共座標8系	変換	TKY2JGD	1.3.77	2.0.6
19201-0900-125.xml	10365_hosei_20121127121258	19201	甲府市	公共座標8系	変換	TKY2JGD	1.3.77	2.0.6
19201-0900-126.xml	10366_hosei_20121127121507	19201	甲府市	公共座標8系	変換	TKY2JGD	1.3.77	2.0.6
19201-0900-127.xml	10367_hosei_20121127121716	19201	甲府市	公共座標8系	変換	TKY2JGD	1.3.77	2.0.6
19201-0900-128.xml	10371_hosei_20121127122208	19201	甲府市	公共座標8系	変換	TKY2JGD	1.3.77	2.0.6
19201-0900-129.xml	10396_hosei_20121127133639	19201	甲府市	公共座標8系	測量			
19201-0900-130.xml	10450_hosei_20121127143032	19201	甲府市	公共座標8系	測量			
19201-0900-131.xml	10460_hosei_20121127143049	19201	甲府市	公共座標8系	測量			
19201-0900-132.xml	10461_hosei_20121127143106	19201	甲府市	公共座標8系	測量			
19201-0900-133.xml	10464_hosei_20121127143358	19201	甲府市	公共座標8系	測量			
19201-0900-134.xml	10465_hosei_20121127143516	19201	甲府市	公共座標8系	測量			
19201-0900-135.xml	10473_hosei_20121127143835	19201	甲府市	公共座標8系	変換	1.3.77	TKY2JGD.par	2.0.6
19201-0900-136.xml	10487_hosei_20121127145553	19201	甲府市	公共座標8系	変換	1.3.77	TKY2JGD.par	2.0.6
19201-0900-137.xml	10488_hosei_20121127150013	19201	甲府市	公共座標8系	変換	1.3.77	TKY2JGD.par	2.0.6
19201-0900-138.xml	10489_hosei_20121127150533	19201	甲府市	公共座標8系	変換	1.3.77	TKY2JGD.par	2.0.6
19201-0900-139.xml	10491_hosei_20121127151814	19201	甲府市	公共座標8系	変換	1.3.77	TKY2JGD.par	2.0.6
19201-0900-140.xml	10493_hosei_20121127153659	19201	甲府市	公共座標8系	変換	1.3.77	TKY2JGD.par	2.0.6
19201-0900-141.xml	10495_hosei_20121127154438	19201	甲府市	公共座標8系	変換	1.3.77	TKY2JGD.par	2.0.6
19201-0900-142.xml	10566_hosei_20121129093221	19201	甲府市	公共座標8系	変換	1.3.77	TKY2JGD.par	2.0.6
19201-0900-143.xml	10601_hosei_20121129102359	19201	甲府市	公共座標8系	測量			
19201-0900-144.xml	10602_hosei_20121129102432	19201	甲府市	公共座標8系	測量			
19201-0900-145.xml	10603_hosei_20121129102553	19201	甲府市	公共座標8系	測量			
19201-0900-146.xml	10604_hosei_20121129102657	19201	甲府市	公共座標8系	測量			
19201-0900-147.xml	10609_hosei_20121129103427	19201	甲府市	公共座標8系	測量			
19201-0900-148.xml	10610_hosei_20121129103500	19201	甲府市	公共座標8系	測量			
19201-0900-149.xml	10622_hosei_20121129104025	19201	甲府市	公共座標8系	測量			
19201-0900-150.xml	10627_hosei_20121129104204	19201	甲府市	公共座標8系	測量			
19201-0900-151.xml	甲府市東光寺、城東、愛宕町ほかの一部	19201	甲府市	公共座標8系	測量			
19201-0900-152.xml	甲府市伊勢１丁目ほか法務局作成地図	19201	甲府市	公共座標8系	測量			
19201-0900-153.xml	甲府市丸の内１・２丁目ほか地区	19201	甲府市	公共座標8系	測量			
19201-0900-154.xml	甲府市中央３・５丁目、城東１～４丁目地区	19201	甲府市	公共座標8系	測量			
19201-0900-155.xml	甲府市小曲町附属地図	19201	甲府市	任意座標系				
19201-0900-156.xml	甲府市若松町・青沼１丁目・青沼２丁目地区	19201	甲府市	公共座標8系	測量			
19201-0900-157.xml	甲府市宝２丁目・丸の内３丁目ほか地区	19201	甲府市	公共座標8系	測量			
19201-0900-158.xml	甲府市中央１丁目・相生２丁目ほか地区	19201	甲府市	公共座標8系	測量			
19201-0900-159.xml	甲府市朝気１丁目国土調査	19201	甲府市	公共座標8系	測量			
19201-0900-160.xml	甲府市朝気２丁目国土調査	19201	甲府市	公共座標8系	測量			
19201-0900-161.xml	甲府市青沼２・３丁目国土調査	19201	甲府市	公共座標8系	測量			
19201-0900-162.xml	甲府市右左口町土地改良	19201	甲府市	公共座標8系	測量			
19201-0900-163.xml	伊勢３４住吉２地図作成	19201	甲府市	公共座標8系	測量			
19201-0900-164.xml	甲府市青沼３丁目地区国土調査	19201	甲府市	公共座標8系	測量			
19201-0900-165.xml	甲府市朝気３丁目地区	19201	甲府市	公共座標8系	測量			
19201-0900-166.xml	甲府市南口町国土調査	19201	甲府市	公共座標8系	測量			
19201-0900-167.xml	甲府市湯田１丁目国土調査	19201	甲府市	公共座標8系	測量			
19201-0900-168.xml	甲府市太田町地区	19201	甲府市	公共座標8系	測量			
19201-0900-169.xml	19201_2017_0	19201	甲府市	公共座標8系	測量			
19201-0900-170.xml	甲府市湯田２丁目地区国土調査	19201	甲府市	公共座標8系	測量			
19201-0900-171.xml	甲府市住吉１丁目地区国土調査	19201	甲府市	公共座標8系	測量			
19201-0900-172.xml	甲府市幸町第１地区国土調査	19201	甲府市	公共座標8系	測量			
19201-0900-173.xml	地図作成（西田地区）	19201	甲府市	公共座標8系	測量			
19201-0900-174.xml	甲府市羽黒町・山宮町・湯村三丁目工区	19201	甲府市	公共座標8系	測量			
19201-0900-175.xml	19201_2019_1	19201	甲府市	公共座標8系	測量			
19201-0900-176.xml	19201_2019_1	19201	甲府市	公共座標8系	測量			
19201-0900-177.xml	19201_2019_1	19201	甲府市	公共座標8系	測量			
19201-0900-178.xml	山宮町修正後	19201	甲府市	公共座標8系	測量			
19201-0900-179.xml	塚原町修正後	19201	甲府市	公共座標8系	測量			
19201-0900-180.xml	19201_2020_1	19201	甲府市	公共座標8系	測量			
19201-0900-181.xml	19201_2019_1	19201	甲府市	公共座標8系	測量			
19202-0917-1.xml	下吉田	19202	富士吉田市	任意座標系				
19202-0917-2.xml	小明見	19202	富士吉田市	任意座標系				
19202-0917-3.xml	小明見Ｂ	19202	富士吉田市	任意座標系				
19202-0917-4.xml	小明見Ｃ	19202	富士吉田市	任意座標系				
19202-0917-5.xml	小明見Ｄ	19202	富士吉田市	任意座標系				
19202-0917-6.xml	松山Ａ	19202	富士吉田市	任意座標系				
19202-0917-7.xml	新倉	19202	富士吉田市	任意座標系				
19202-0917-8.xml	松山Ｂ	19202	富士吉田市	任意座標系				
19202-0917-9.xml	松山Ｃ	19202	富士吉田市	任意座標系				
19202-0917-10.xml	上吉田Ａ	19202	富士吉田市	任意座標系				
19202-0917-11.xml	上吉田Ｂ	19202	富士吉田市	任意座標系				
19202-0917-12.xml	上吉田Ｃ	19202	富士吉田市	任意座標系				
19202-0917-13.xml	上吉田Ｄ	19202	富士吉田市	任意座標系				
19202-0917-14.xml	上吉田Ｅ	19202	富士吉田市	任意座標系				
19202-0917-15.xml	上吉田Ｆ	19202	富士吉田市	任意座標系				
19202-0917-16.xml	新屋Ａ	19202	富士吉田市	任意座標系				
19202-0917-17.xml	上吉田Ｇ	19202	富士吉田市	任意座標系				
19202-0917-18.xml	上吉田Ｉ	19202	富士吉田市	任意座標系				
19202-0917-19.xml	上吉田Ｋ	19202	富士吉田市	任意座標系				
19202-0917-20.xml	上暮地Ａ	19202	富士吉田市	任意座標系				
19202-0917-21.xml	上暮地Ｂ	19202	富士吉田市	任意座標系				
19202-0917-22.xml	上暮地Ｃ	19202	富士吉田市	任意座標系				
19202-0917-23.xml	上暮地Ｅ	19202	富士吉田市	任意座標系				
19202-0917-24.xml	新屋Ｂ	19202	富士吉田市	任意座標系				
19202-0917-25.xml	新倉・他	19202	富士吉田市	任意座標系				
19202-0917-26.xml	大明見Ｃ	19202	富士吉田市	任意座標系				
19202-0917-27.xml	下吉田・他	19202	富士吉田市	任意座標系				
19202-0917-28.xml	小明見Ａ	19202	富士吉田市	任意座標系				
19202-0917-29.xml	新屋Ｃ	19202	富士吉田市	任意座標系				
19202-0917-30.xml	上吉田・松山・他	19202	富士吉田市	任意座標系				
19202-0917-31.xml	上吉田Ｈ	19202	富士吉田市	任意座標系				
19202-0917-32.xml	上吉田Ｊ	19202	富士吉田市	任意座標系				
19202-0917-33.xml	上暮地Ｄ	19202	富士吉田市	任意座標系				
19202-0917-34.xml	大明見Ａ	19202	富士吉田市	任意座標系				
19202-0917-35.xml	大明見Ｂ	19202	富士吉田市	任意座標系				
19202-0917-36.xml	19202_22_1	19202	富士吉田市	公共座標8系	測量			
19202-0917-37.xml	10073_hosei_20121217132246	19202	富士吉田市	公共座標8系	変換	1.3.77	TKY2JGD.par	2.0.6
19202-0917-38.xml	10181_hosei_20121217132857	19202	富士吉田市	公共座標8系	変換	1.3.77	TKY2JGD.par	2.0.6
19202-0917-39.xml	10187_hosei_20121217133306	19202	富士吉田市	公共座標8系	変換	1.3.77	TKY2JGD.par	2.0.6
19202-0917-40.xml	10194_hosei_20121217133504	19202	富士吉田市	公共座標8系	変換	1.3.77	TKY2JGD.par	2.0.6
19202-0917-41.xml	10195_hosei_20121217133626	19202	富士吉田市	公共座標8系	変換	1.3.77	TKY2JGD.par	2.0.6
19202-0917-42.xml	10196_hosei_20121217133643	19202	富士吉田市	公共座標8系	変換	1.3.77	TKY2JGD.par	2.0.6
19202-0917-43.xml	10200_hosei_20121217133944	19202	富士吉田市	公共座標8系	変換	1.3.77	TKY2JGD.par	2.0.6
19202-0917-44.xml	10206_hosei_20121217134409	19202	富士吉田市	公共座標8系	変換	1.3.77	TKY2JGD.par	2.0.6
19202-0917-45.xml	10210_hosei_20121217134607	19202	富士吉田市	公共座標8系	変換	1.3.77	TKY2JGD.par	2.0.6
19202-0917-46.xml	10219_hosei_20121217134944	19202	富士吉田市	公共座標8系	変換	1.3.77	TKY2JGD.par	2.0.5
19202-0917-47.xml	10220_hosei_20121217135001	19202	富士吉田市	公共座標8系	変換	1.3.77	TKY2JGD.par	2.0.5
19202-0917-48.xml	10247_hosei_20121217140924	19202	富士吉田市	公共座標8系	変換	1.3.77	TKY2JGD.par	2.0.6
19202-0917-49.xml	10262_hosei_20121217141300	19202	富士吉田市	公共座標8系	変換	1.3.77	TKY2JGD.par	2.0.6
19202-0917-50.xml	10264_hosei_20121217141535	19202	富士吉田市	公共座標8系	変換	1.3.77	TKY2JGD.par	2.0.6
19202-0917-51.xml	10267_hosei_20121217141810	19202	富士吉田市	公共座標8系	変換	1.3.77	TKY2JGD.par	2.0.6
19202-0917-52.xml	10268_hosei_20121217141827	19202	富士吉田市	公共座標8系	変換	1.3.77	TKY2JGD.par	2.0.5
19202-0917-53.xml	10269_hosei_20121217141844	19202	富士吉田市	公共座標8系	変換	1.3.79	TKY2JGD.par	2.1.1
