ファイル名	地図名	市区町村コード	市区町村名	座標系	測地系判別	変換プログラム	変換プログラムバージョン	変換パラメータバージョン
20201-1000-1.xml	Aookura01	20201	長野市	任意座標系				
20201-1000-2.xml	Aookura02	20201	長野市	任意座標系				
20201-1000-3.xml	Asoyama01	20201	長野市	任意座標系				
20201-1000-4.xml	Asoyama02	20201	長野市	任意座標系				
20201-1000-5.xml	Atochihara01	20201	長野市	任意座標系				
20201-1000-6.xml	Atochihara02	20201	長野市	任意座標系				
20201-1000-7.xml	Atochihara03	20201	長野市	任意座標系				
20201-1000-8.xml	Atoyooka01	20201	長野市	任意座標系				
20201-1000-9.xml	Atoyooka02	20201	長野市	任意座標系				
20201-1000-10.xml	Atoyooka03	20201	長野市	任意座標系				
20201-1000-11.xml	Atoyooka04	20201	長野市	任意座標系				
20201-1000-12.xml	Atoyooka05	20201	長野市	任意座標系				
20201-1000-13.xml	Atoyooka06	20201	長野市	任意座標系				
20201-1000-14.xml	Atoyooka08	20201	長野市	任意座標系				
20201-1000-15.xml	Atoyooka09	20201	長野市	任意座標系				
20201-1000-16.xml	Atoyooka10	20201	長野市	任意座標系				
20201-1000-17.xml	Atoyooka11	20201	長野市	任意座標系				
20201-1000-18.xml	Atoyooka12	20201	長野市	任意座標系				
20201-1000-19.xml	Atoyooka13	20201	長野市	任意座標系				
20201-1000-20.xml	Atoyooka14	20201	長野市	任意座標系				
20201-1000-21.xml	Atoyooka15	20201	長野市	任意座標系				
20201-1000-22.xml	Atoyooka16	20201	長野市	任意座標系				
20201-1000-23.xml	Boazahoyasu01	20201	長野市	任意座標系				
20201-1000-24.xml	Boazakinasa01	20201	長野市	任意座標系				
20201-1000-25.xml	Boazakinasa02	20201	長野市	任意座標系				
20201-1000-26.xml	Boazakinasa03	20201	長野市	任意座標系				
20201-1000-27.xml	Boazakinasa04	20201	長野市	任意座標系				
20201-1000-28.xml	Boazakinasa05	20201	長野市	任意座標系				
20201-1000-29.xml	Boazakinasa06	20201	長野市	任意座標系				
20201-1000-30.xml	Boazatogakusi01	20201	長野市	任意座標系				
20201-1000-31.xml	Boazatogakusi02	20201	長野市	任意座標系				
20201-1000-32.xml	Bsinkou_yasuniwa01	20201	長野市	任意座標系				
20201-1000-33.xml	Bsinkou_yasuniwa02	20201	長野市	任意座標系				
20201-1000-34.xml	CZK4togakusi19A01	20201	長野市	任意座標系				
20201-1000-35.xml	CZL2oookakou19A02	20201	長野市	任意座標系				
20201-1000-36.xml	Hitiba02	20201	長野市	任意座標系				
20201-1000-37.xml	CZL4miyamasa19A02	20201	長野市	任意座標系				
20201-1000-38.xml	Ckanaida01	20201	長野市	任意座標系				
20201-1000-39.xml	Ckatusenba_1_01	20201	長野市	任意座標系				
20201-1000-40.xml	Ckatusenba_2_01	20201	長野市	任意座標系				
20201-1000-41.xml	Ckatusenba_3_01	20201	長野市	任意座標系				
20201-1000-42.xml	Coazaoomati01	20201	長野市	任意座標系				
20201-1000-43.xml	Csatojima01	20201	長野市	任意座標系				
20201-1000-44.xml	Gtanaka01	20201	長野市	任意座標系				
20201-1000-45.xml	Gmasimamati_kawai01	20201	長野市	任意座標系				
20201-1000-46.xml	Goazaakanuma02	20201	長野市	任意座標系				
20201-1000-47.xml	Goazaakanuma03	20201	長野市	任意座標系				
20201-1000-48.xml	Goazahikage01	20201	長野市	任意座標系				
20201-1000-49.xml	Goazahikage02	20201	長野市	任意座標系				
20201-1000-50.xml	Goazahikage03	20201	長野市	任意座標系				
20201-1000-51.xml	Goazahikage04	20201	長野市	任意座標系				
20201-1000-52.xml	Goazahoyasu01	20201	長野市	任意座標系				
20201-1000-53.xml	Goazahoyasu02	20201	長野市	任意座標系				
20201-1000-54.xml	Goazakinasa01	20201	長野市	任意座標系				
20201-1000-55.xml	Goazakinasa03	20201	長野市	任意座標系				
20201-1000-56.xml	Goazakinasa04	20201	長野市	任意座標系				
20201-1000-57.xml	Goazakinasa05	20201	長野市	任意座標系				
20201-1000-58.xml	Goazakinasa06	20201	長野市	任意座標系				
20201-1000-59.xml	Goazakinasa07	20201	長野市	任意座標系				
