ファイル名	地図名	市区町村コード	市区町村名	座標系	測地系判別	変換プログラム	変換プログラムバージョン	変換パラメータバージョン
21201-2000-1.xml	あ・茜町	21201	岐阜市	任意座標系				
21201-2000-2.xml	あ・茜部字井戸池・外大門・県東・更屋・他	21201	岐阜市	任意座標系				
21201-2000-3.xml	あ・茜部新所	21201	岐阜市	任意座標系				
21201-2000-4.xml	あ・茜部神清寺	21201	岐阜市	任意座標系				
21201-2000-5.xml	あ・茜部大川	21201	岐阜市	任意座標系				
21201-2000-6.xml	あ・茜部辰新	21201	岐阜市	任意座標系				
21201-2000-7.xml	あ・茜部中島	21201	岐阜市	任意座標系				
21201-2000-8.xml	粟野台	21201	岐阜市	任意座標系				
21201-2000-9.xml	あ・茜部野瀬	21201	岐阜市	任意座標系				
21201-2000-10.xml	あ・粟野　Ａ	21201	岐阜市	任意座標系				
21201-2000-11.xml	あ・粟野　Ｃ	21201	岐阜市	任意座標系				
21201-2000-12.xml	あ・粟野　Ｄ	21201	岐阜市	任意座標系				
21201-2000-13.xml	あ・安食　Ｂ	21201	岐阜市	任意座標系				
21201-2000-14.xml	あ・安食字荒毛・三内前・川通・竹田	21201	岐阜市	任意座標系				
21201-2000-15.xml	あ・安食字三内前・竜巣前	21201	岐阜市	任意座標系				
21201-2000-16.xml	あ・安食字川通	21201	岐阜市	任意座標系				
21201-2000-17.xml	あ・安宅町	21201	岐阜市	任意座標系				
21201-2000-18.xml	あ・安良田町	21201	岐阜市	任意座標系				
21201-2000-19.xml	あ・芥見　Ａ	21201	岐阜市	任意座標系				
21201-2000-20.xml	あ・芥見　Ｂ	21201	岐阜市	任意座標系				
21201-2000-21.xml	あ・芥見影山	21201	岐阜市	任意座標系				
21201-2000-22.xml	あ・芥見海戸山	21201	岐阜市	任意座標系				
21201-2000-23.xml	あ・芥見嵯峨	21201	岐阜市	任意座標系				
21201-2000-24.xml	あ・芥見清水	21201	岐阜市	任意座標系				
21201-2000-25.xml	あ・芥見大退	21201	岐阜市	任意座標系				
21201-2000-26.xml	あ・芥見大退１・２丁目・芥見東山・他	21201	岐阜市	任意座標系				
21201-2000-27.xml	あ・芥見大般若	21201	岐阜市	任意座標系				
21201-2000-28.xml	あ・芥見中野畑	21201	岐阜市	任意座標系				
21201-2000-29.xml	あ・芥見町屋	21201	岐阜市	任意座標系				
21201-2000-30.xml	あ・芥見堀田	21201	岐阜市	任意座標系				
21201-2000-31.xml	あ・芥見野畑	21201	岐阜市	任意座標系				
21201-2000-32.xml	あ・間之町	21201	岐阜市	任意座標系				
21201-2000-33.xml	あ・秋沢　Ｂ	21201	岐阜市	任意座標系				
21201-2000-34.xml	あ・秋沢　Ｃ	21201	岐阜市	任意座標系				
21201-2000-35.xml	あ・秋沢字カド・井水洞・亀洞・宮ヶ洞・他	21201	岐阜市	任意座標系				
21201-2000-36.xml	あ・曙町	21201	岐阜市	任意座標系				
21201-2000-37.xml	あ・秋津町・朝日町	21201	岐阜市	任意座標系				
