ファイル名	地図名	市区町村コード	市区町村名	座標系	測地系判別	変換プログラム	変換プログラムバージョン	変換パラメータバージョン
22101-0800-1.xml	安倍口新田	22101	静岡市葵区	任意座標系				
22101-0800-2.xml	井川Ａ	22101	静岡市葵区	任意座標系				
22101-0800-3.xml	井川Ｂ	22101	静岡市葵区	任意座標系				
22101-0800-4.xml	井川Ｃ	22101	静岡市葵区	任意座標系				
22101-0800-5.xml	井川Ｄ	22101	静岡市葵区	任意座標系				
22101-0800-6.xml	井川Ｅ	22101	静岡市葵区	任意座標系				
22101-0800-7.xml	井川Ｆ	22101	静岡市葵区	任意座標系				
22101-0800-8.xml	井川Ｇ	22101	静岡市葵区	任意座標系				
22101-0800-9.xml	井川Ｈ	22101	静岡市葵区	任意座標系				
22101-0800-10.xml	井川Ｉ	22101	静岡市葵区	任意座標系				
22101-0800-11.xml	井川Ｊ	22101	静岡市葵区	任意座標系				
22101-0800-12.xml	一番町	22101	静岡市葵区	任意座標系				
22101-0800-13.xml	下	22101	静岡市葵区	任意座標系				
22101-0800-14.xml	羽鳥Ｅ	22101	静岡市葵区	任意座標系				
22101-0800-15.xml	羽鳥Ｆ	22101	静岡市葵区	任意座標系				
22101-0800-16.xml	羽鳥Ｇ	22101	静岡市葵区	任意座標系				
22101-0800-17.xml	栄町・伝馬町・御幸町	22101	静岡市葵区	任意座標系				
22101-0800-18.xml	奥池ヶ谷Ａ	22101	静岡市葵区	任意座標系				
22101-0800-19.xml	横山Ａ	22101	静岡市葵区	任意座標系				
22101-0800-20.xml	奥池ヶ谷Ｂ	22101	静岡市葵区	任意座標系				
22101-0800-21.xml	横山Ｂ	22101	静岡市葵区	任意座標系				
22101-0800-22.xml	横山Ｃ	22101	静岡市葵区	任意座標系				
22101-0800-23.xml	横山Ｄ	22101	静岡市葵区	任意座標系				
22101-0800-24.xml	横山Ｅ	22101	静岡市葵区	任意座標系				
22101-0800-25.xml	横沢Ａ	22101	静岡市葵区	任意座標系				
22101-0800-26.xml	横沢Ｂ	22101	静岡市葵区	任意座標系				
22101-0800-27.xml	横沢Ｃ	22101	静岡市葵区	任意座標系				
22101-0800-28.xml	横沢Ｄ	22101	静岡市葵区	任意座標系				
22101-0800-29.xml	横沢Ｅ	22101	静岡市葵区	任意座標系				
22101-0800-30.xml	横沢Ｆ	22101	静岡市葵区	任意座標系				
22101-0800-31.xml	横田町	22101	静岡市葵区	任意座標系				
22101-0800-32.xml	横内町Ａ	22101	静岡市葵区	任意座標系				
22101-0800-33.xml	横内町Ｂ	22101	静岡市葵区	任意座標系				
22101-0800-34.xml	音羽町	22101	静岡市葵区	任意座標系				
22101-0800-35.xml	仮－岳美	22101	静岡市葵区	任意座標系				
22101-0800-36.xml	仮－丸山町	22101	静岡市葵区	任意座標系				
22101-0800-37.xml	仮－吉野町	22101	静岡市葵区	任意座標系				
22101-0800-38.xml	仮－沓谷	22101	静岡市葵区	任意座標系				
22101-0800-39.xml	仮－古庄１丁目	22101	静岡市葵区	任意座標系				
22101-0800-40.xml	仮－東	22101	静岡市葵区	任意座標系				
22101-0800-41.xml	仮－古庄６丁目・川合１丁目	22101	静岡市葵区	任意座標系				
22101-0800-42.xml	仮－芝原	22101	静岡市葵区	任意座標系				
22101-0800-43.xml	仮－春日２丁目	22101	静岡市葵区	任意座標系				
22101-0800-44.xml	仮－新伝馬３丁目	22101	静岡市葵区	任意座標系				
22101-0800-45.xml	仮－千代田	22101	静岡市葵区	任意座標系				
22101-0800-46.xml	仮－浅間町２丁目	22101	静岡市葵区	任意座標系				
22101-0800-47.xml	仮－東千代田３丁目	22101	静岡市葵区	任意座標系				
22101-0800-48.xml	仮－北安東４丁目	22101	静岡市葵区	任意座標系				
22101-0800-49.xml	仮－弥勒２丁目	22101	静岡市葵区	任意座標系				
22101-0800-50.xml	仮－柚木町	22101	静岡市葵区	任意座標系				
22101-0800-51.xml	仮－与一１丁目	22101	静岡市葵区	任意座標系				
22101-0800-52.xml	仮－竜南１丁目	22101	静岡市葵区	任意座標系				
22101-0800-53.xml	加藤島　他２	22101	静岡市葵区	任意座標系				
22101-0800-54.xml	柿島Ａ	22101	静岡市葵区	任意座標系				
22101-0800-55.xml	柿島Ｂ	22101	静岡市葵区	任意座標系				
22101-0800-56.xml	柿島Ｃ	22101	静岡市葵区	任意座標系				
22101-0800-57.xml	柿島Ｄ	22101	静岡市葵区	任意座標系				
22101-0800-58.xml	柿島Ｅ	22101	静岡市葵区	任意座標系				
22101-0800-59.xml	柿島Ｆ	22101	静岡市葵区	任意座標系				
22101-0800-60.xml	岳美	22101	静岡市葵区	任意座標系				
22101-0800-61.xml	岳美１丁目	22101	静岡市葵区	任意座標系				
22101-0800-62.xml	観山	22101	静岡市葵区	任意座標系				
22101-0800-63.xml	丸山町	22101	静岡市葵区	任意座標系				
22101-0800-64.xml	岩崎Ａ	22101	静岡市葵区	任意座標系				
22101-0800-65.xml	岩崎Ｂ	22101	静岡市葵区	任意座標系				
22101-0800-66.xml	岩崎Ｃ	22101	静岡市葵区	任意座標系				
22101-0800-67.xml	岩崎Ｄ	22101	静岡市葵区	任意座標系				
22101-0800-68.xml	吉津字山ノ根・中原通・他	22101	静岡市葵区	任意座標系				
22101-0800-69.xml	宮ヶ崎町	22101	静岡市葵区	任意座標系				
22101-0800-70.xml	宮前町Ａ	22101	静岡市葵区	任意座標系				
22101-0800-71.xml	宮前町Ｂ	22101	静岡市葵区	任意座標系				
22101-0800-72.xml	牛妻Ｃ	22101	静岡市葵区	任意座標系				
22101-0800-73.xml	牛妻Ｅ	22101	静岡市葵区	任意座標系				
22101-0800-74.xml	牛妻Ｆ	22101	静岡市葵区	任意座標系				
22101-0800-75.xml	牛田・天神前	22101	静岡市葵区	任意座標系				
22101-0800-76.xml	郷島Ａ	22101	静岡市葵区	任意座標系				
22101-0800-77.xml	郷島Ｂ	22101	静岡市葵区	任意座標系				
22101-0800-78.xml	郷島Ｅ	22101	静岡市葵区	任意座標系				
22101-0800-79.xml	駒形通１～３丁目・桜木町・双葉町・吉野町	22101	静岡市葵区	任意座標系				
22101-0800-80.xml	沓谷・上土１丁目	22101	静岡市葵区	任意座標系				
22101-0800-81.xml	桂山Ｂ	22101	静岡市葵区	任意座標系				
22101-0800-82.xml	建穂	22101	静岡市葵区	任意座標系				
22101-0800-83.xml	建穂１・２丁目・羽鳥・建穂	22101	静岡市葵区	任意座標系				
22101-0800-84.xml	研屋町	22101	静岡市葵区	任意座標系				
22101-0800-85.xml	口坂本Ａ	22101	静岡市葵区	任意座標系				
22101-0800-86.xml	口坂本Ｂ	22101	静岡市葵区	任意座標系				
22101-0800-87.xml	口坂本Ｃ	22101	静岡市葵区	任意座標系				
22101-0800-88.xml	口坂本Ｄ	22101	静岡市葵区	任意座標系				
22101-0800-89.xml	口坂本Ｆ	22101	静岡市葵区	任意座標系				
22101-0800-90.xml	口仙俣Ａ	22101	静岡市葵区	任意座標系				
22101-0800-91.xml	口仙俣Ｂ	22101	静岡市葵区	任意座標系				
22101-0800-92.xml	幸町・大工町・通車町	22101	静岡市葵区	任意座標系				
22101-0800-93.xml	黒俣Ａ	22101	静岡市葵区	任意座標系				
22101-0800-94.xml	黒俣Ｂ	22101	静岡市葵区	任意座標系				
22101-0800-95.xml	黒俣Ｃ	22101	静岡市葵区	任意座標系				
22101-0800-96.xml	黒俣Ｄ	22101	静岡市葵区	任意座標系				
22101-0800-97.xml	黒俣Ｅ	22101	静岡市葵区	任意座標系				
22101-0800-98.xml	黒俣Ｇ	22101	静岡市葵区	任意座標系				
22101-0800-99.xml	黒俣Ｈ	22101	静岡市葵区	任意座標系				
22101-0800-100.xml	黒俣Ｉ	22101	静岡市葵区	任意座標系				
22101-0800-101.xml	黒俣Ｊ	22101	静岡市葵区	任意座標系				
22101-0800-102.xml	黒俣Ｋ	22101	静岡市葵区	任意座標系				
22101-0800-103.xml	黒俣Ｌ	22101	静岡市葵区	任意座標系				
22101-0800-104.xml	黒俣Ｍ	22101	静岡市葵区	任意座標系				
22101-0800-105.xml	黒俣Ｎ	22101	静岡市葵区	任意座標系				
22101-0800-106.xml	黒俣Ｐ	22101	静岡市葵区	任意座標系				
22101-0800-107.xml	黒俣Ｑ	22101	静岡市葵区	任意座標系				
22101-0800-108.xml	黒俣Ｒ	22101	静岡市葵区	任意座標系				
22101-0800-109.xml	黒俣Ｓ	22101	静岡市葵区	任意座標系				
22101-0800-110.xml	黒俣Ｔ	22101	静岡市葵区	任意座標系				
22101-0800-111.xml	黒俣Ｕ	22101	静岡市葵区	任意座標系				
22101-0800-112.xml	黒俣Ｗ	22101	静岡市葵区	任意座標系				
22101-0800-113.xml	腰越Ａ	22101	静岡市葵区	任意座標系				
22101-0800-114.xml	腰越Ｂ	22101	静岡市葵区	任意座標系				
22101-0800-115.xml	腰越Ｃ	22101	静岡市葵区	任意座標系				
22101-0800-116.xml	紺屋町・呉服町・両替町	22101	静岡市葵区	任意座標系				
22101-0800-117.xml	坂ノ上Ａ	22101	静岡市葵区	任意座標系				
22101-0800-118.xml	材木町・駒形通４～６丁目	22101	静岡市葵区	任意座標系				
22101-0800-119.xml	坂ノ上Ｂ	22101	静岡市葵区	任意座標系				
22101-0800-120.xml	坂ノ上Ｃ	22101	静岡市葵区	任意座標系				
22101-0800-121.xml	坂ノ上Ｅ	22101	静岡市葵区	任意座標系				
22101-0800-122.xml	坂ノ上Ｆ	22101	静岡市葵区	任意座標系				
22101-0800-123.xml	坂本Ａ	22101	静岡市葵区	任意座標系				
