ファイル名	地図名	市区町村コード	市区町村名	座標系	測地系判別	変換プログラム	変換プログラムバージョン	変換パラメータバージョン
23101-1800-1.xml	SHW14001	23101	名古屋市千種区	任意座標系				
23101-1800-2.xml	SHW14002	23101	名古屋市千種区	任意座標系				
23101-1800-3.xml	SHW14003	23101	名古屋市千種区	任意座標系				
23101-1800-4.xml	SHW14004	23101	名古屋市千種区	任意座標系				
23101-1800-5.xml	SHW14005	23101	名古屋市千種区	任意座標系				
23101-1800-6.xml	SHW14007	23101	名古屋市千種区	任意座標系				
23101-1800-7.xml	SHW14008	23101	名古屋市千種区	任意座標系				
23101-1800-8.xml	SHW14009	23101	名古屋市千種区	任意座標系				
23101-1800-9.xml	SHW14010	23101	名古屋市千種区	任意座標系				
23101-1800-10.xml	SHW14011	23101	名古屋市千種区	任意座標系				
23101-1800-11.xml	SHW14012	23101	名古屋市千種区	任意座標系				
23101-1800-12.xml	SHW14013	23101	名古屋市千種区	任意座標系				
23101-1800-13.xml	SHW14014	23101	名古屋市千種区	任意座標系				
23101-1800-14.xml	SHW14016	23101	名古屋市千種区	任意座標系				
23101-1800-15.xml	SHW14018	23101	名古屋市千種区	任意座標系				
23101-1800-16.xml	SHW14019	23101	名古屋市千種区	任意座標系				
23101-1800-17.xml	SHW14020	23101	名古屋市千種区	任意座標系				
23101-1800-18.xml	SHW14021	23101	名古屋市千種区	任意座標系				
23101-1800-19.xml	SHW14022	23101	名古屋市千種区	任意座標系				
23101-1800-20.xml	SHW14023	23101	名古屋市千種区	任意座標系				
23101-1800-21.xml	SHW14024	23101	名古屋市千種区	任意座標系				
23101-1800-22.xml	SHW14026	23101	名古屋市千種区	任意座標系				
23101-1800-23.xml	SHW14027	23101	名古屋市千種区	任意座標系				
23101-1800-24.xml	SHW14028	23101	名古屋市千種区	任意座標系				
23101-1800-25.xml	SHW14029	23101	名古屋市千種区	任意座標系				
23101-1800-26.xml	SHW14030	23101	名古屋市千種区	任意座標系				
23101-1800-27.xml	SHW14031	23101	名古屋市千種区	任意座標系				
23101-1800-28.xml	SHW14032	23101	名古屋市千種区	任意座標系				
23101-1800-29.xml	SHW14034	23101	名古屋市千種区	任意座標系				
23101-1800-30.xml	SHW14035	23101	名古屋市千種区	任意座標系				
23101-1800-31.xml	SHW14036	23101	名古屋市千種区	任意座標系				
23101-1800-32.xml	SHW14037	23101	名古屋市千種区	任意座標系				
23101-1800-33.xml	SHW14038	23101	名古屋市千種区	任意座標系				
23101-1800-34.xml	SHW14039	23101	名古屋市千種区	任意座標系				
23101-1800-35.xml	SHW14041	23101	名古屋市千種区	任意座標系				
23101-1800-36.xml	SHW14043	23101	名古屋市千種区	任意座標系				
23101-1800-37.xml	SHW14045	23101	名古屋市千種区	任意座標系				
23101-1800-38.xml	SHW14046	23101	名古屋市千種区	任意座標系				
23101-1800-39.xml	SHW14047	23101	名古屋市千種区	任意座標系				
23101-1800-40.xml	SHW14048	23101	名古屋市千種区	任意座標系				
23101-1800-41.xml	SHW14049	23101	名古屋市千種区	任意座標系				
23101-1800-42.xml	SHW14050	23101	名古屋市千種区	任意座標系				
23101-1800-43.xml	SHW14051	23101	名古屋市千種区	任意座標系				
23101-1800-44.xml	SHW14053	23101	名古屋市千種区	任意座標系				
23101-1800-45.xml	SHW14054	23101	名古屋市千種区	任意座標系				
23101-1800-46.xml	SHW14055	23101	名古屋市千種区	任意座標系				
23101-1800-47.xml	SHW14056	23101	名古屋市千種区	任意座標系				
23101-1800-48.xml	SHW14060	23101	名古屋市千種区	任意座標系				
23101-1800-49.xml	SHW14061	23101	名古屋市千種区	任意座標系				
