ファイル名	地図名	市区町村コード	市区町村名	座標系	測地系判別	変換プログラム	変換プログラムバージョン	変換パラメータバージョン
24201-1900-1.xml	Ｈ．１０．３．１８第７４３０号土改	24201	津市	公共座標6系	変換	TKY2JGD	1.3.77	2.0.6
24201-1900-2.xml	Ｈ．１２．３．２２第６９２０号土改Ａ	24201	津市	公共座標6系	変換	TKY2JGD	1.3.77	2.0.6
24201-1900-3.xml	粟加	24201	津市	任意座標系				
24201-1900-4.xml	Ｈ．１２．３．２２第６９２０号土改Ｂ	24201	津市	公共座標6系	変換	TKY2JGD	1.3.77	2.0.6
24201-1900-5.xml	Ｈ．１３．４．２０第９０８０号	24201	津市	公共座標6系	変換	TKY2JGD	1.3.77	2.0.6
24201-1900-6.xml	Ｈ．１３．４．２０第９０８１号土改	24201	津市	公共座標6系	変換	TKY2JGD	1.3.77	2.0.6
24201-1900-7.xml	Ｈ．２．９．２１第３０４１０号土改	24201	津市	公共座標6系	変換	TKY2JGD	1.3.77	2.0.6
24201-1900-8.xml	Ｈ．３．３．２７第２９０９号土改	24201	津市	公共座標6系	変換	TKY2JGD	1.3.77	2.0.6
24201-1900-9.xml	Ｈ．３．５．１８第１５７２６号土改Ｂ	24201	津市	公共座標6系	変換	TKY2JGD	1.3.77	2.0.6
24201-1900-10.xml	Ｈ．３．８．２１第６５５０号土改	24201	津市	公共座標6系	変換	TKY2JGD	1.3.77	2.0.6
24201-1900-11.xml	Ｈ．５．１２．２７第３４１６７号Ａ	24201	津市	公共座標6系	変換	TKY2JGD	1.3.77	2.0.6
24201-1900-12.xml	Ｈ．５．１２．２７第３４１６７号Ｂ	24201	津市	公共座標6系	変換	TKY2JGD	1.3.77	2.0.6
24201-1900-13.xml	Ｈ．５．３．１０第２１２１号土改	24201	津市	公共座標6系	変換	TKY2JGD	1.3.77	2.0.6
24201-1900-14.xml	Ｈ．５．４．２０第１０８６７号土改	24201	津市	公共座標6系	変換	TKY2JGD	1.3.77	2.0.6
24201-1900-15.xml	Ｈ．６．３．２８第３１８５号	24201	津市	公共座標6系	変換	TKY2JGD	1.3.77	2.0.6
24201-1900-16.xml	Ｈ．７．２．２２第１７００号土改	24201	津市	公共座標6系	変換	TKY2JGD	1.3.77	2.0.6
24201-1900-17.xml	Ｈ．７．４．１７第１０９６３号土改	24201	津市	公共座標6系	変換	TKY2JGD	1.3.77	2.0.6
24201-1900-18.xml	Ｈ．８．３．２７第２８００号土改	24201	津市	公共座標6系	変換	TKY2JGD	1.3.77	2.0.6
24201-1900-19.xml	Ｈ．８．４．２３第１３０２１号土改	24201	津市	公共座標6系	変換	TKY2JGD	1.3.77	2.0.6
24201-1900-20.xml	あのつ台１・２丁目	24201	津市	任意座標系				
24201-1900-21.xml	Ｈ．８．５．２０第１５３８２号土改	24201	津市	公共座標6系	変換	TKY2JGD	1.3.77	2.0.6
24201-1900-22.xml	Ｈ．９．３．３１第１０１９２号土改	24201	津市	公共座標6系	変換	TKY2JGD	1.3.77	2.0.6
24201-1900-23.xml	Ｈ．９．３．３１第１０１９２号土改Ａ	24201	津市	公共座標6系	変換	TKY2JGD	1.3.77	2.0.6
24201-1900-24.xml	Ｈ．９．３．３１第１０１９２号土改Ｂ	24201	津市	公共座標6系	変換	TKY2JGD	1.3.77	2.0.6
24201-1900-25.xml	Ｈ．９．４．２１第１２４３２号土改	24201	津市	公共座標6系	変換	TKY2JGD	1.3.77	2.0.6
24201-1900-26.xml	Ｈ．元．５．１５第１４８７０号土改	24201	津市	公共座標6系	変換	TKY2JGD	1.3.77	2.0.6
24201-1900-27.xml	あのつ台１丁目	24201	津市	任意座標系				
24201-1900-28.xml	Ｈ．元．８．２４第２４９３０号土改	24201	津市	公共座標6系	変換	TKY2JGD	1.3.77	2.0.6
24201-1900-29.xml	Ｈ１．３．２３第８６３８号土改	24201	津市	公共座標6系	変換	TKY2JGD	1.3.77	2.0.6
24201-1900-30.xml	Ｈ１．７．２０第２１６６８号土改	24201	津市	公共座標6系	変換	TKY2JGD	1.3.77	2.0.6
24201-1900-31.xml	Ｈ１０．３．３１第９０５０号土改	24201	津市	公共座標6系	変換	TKY2JGD	1.3.77	2.0.6
24201-1900-32.xml	Ｈ２．３．２７第１０５７６号土改	24201	津市	公共座標6系	変換	TKY2JGD	1.3.77	2.0.6
24201-1900-33.xml	Ｈ２．３．２７第１０５７７号土改	24201	津市	公共座標6系	変換	TKY2JGD	1.3.77	2.0.6
24201-1900-34.xml	Ｈ２．４．１０第１１８６７号土改	24201	津市	公共座標6系	変換	TKY2JGD	1.3.77	2.0.6
24201-1900-35.xml	Ｈ２．５．９第１５３８４号土改	24201	津市	公共座標6系	変換	TKY2JGD	1.3.77	2.0.6
24201-1900-36.xml	Ｈ２．６．１６第１９９００号土改	24201	津市	公共座標6系	変換	TKY2JGD	1.3.77	2.0.6
24201-1900-37.xml	安東町Ａ	24201	津市	任意座標系				
24201-1900-38.xml	Ｈ２．７．１１第２２５００号土改	24201	津市	公共座標6系	変換	TKY2JGD	1.3.77	2.0.6
24201-1900-39.xml	Ｈ３．３．３０第１０８７８号土改	24201	津市	公共座標6系	変換	TKY2JGD	1.3.77	2.0.6
24201-1900-40.xml	Ｈ３．５．１８第１５７２６号土改Ａ	24201	津市	公共座標6系	変換	TKY2JGD	1.3.77	2.0.6
24201-1900-41.xml	Ｈ４．３．３０第９５９６号土改	24201	津市	公共座標6系	変換	TKY2JGD	1.3.77	2.0.6
24201-1900-42.xml	Ｈ５．１１．２５第３０６５４号	24201	津市	公共座標6系	変換	TKY2JGD	1.3.77	2.0.6
24201-1900-43.xml	Ｈ５．２．４第３２００号土改	24201	津市	公共座標6系	変換	TKY2JGD	1.3.77	2.0.6
24201-1900-44.xml	Ｈ５．５．２５第１３９１６号土改	24201	津市	公共座標6系	変換	TKY2JGD	1.3.77	2.0.6
24201-1900-45.xml	Ｈ６．１２．２８第３８１７５号土改	24201	津市	公共座標6系	変換	TKY2JGD	1.3.77	2.0.6
24201-1900-46.xml	Ｈ６．５．１０第１５０６２号土改Ａ	24201	津市	公共座標6系	変換	TKY2JGD	1.3.77	2.0.6
24201-1900-47.xml	Ｈ６．５．１０第１５０６２号土改Ｂ	24201	津市	公共座標6系	変換	TKY2JGD	1.3.77	2.0.6
24201-1900-48.xml	Ｈ７．３．８第６６６３号土改	24201	津市	公共座標6系	変換	TKY2JGD	1.3.77	2.0.6
24201-1900-49.xml	Ｈ７．５．１７第１３８６５号土改	24201	津市	公共座標6系	変換	TKY2JGD	1.3.77	2.0.6
24201-1900-50.xml	Ｈ７．６．２１第１６８４９号土改	24201	津市	公共座標6系	変換	TKY2JGD	1.3.77	2.0.6
24201-1900-51.xml	Ｈ７．６．６第１５６４０号土改	24201	津市	公共座標6系	変換	TKY2JGD	1.3.77	2.0.6
24201-1900-52.xml	Ｈ７．６．８第１５８２０号土改	24201	津市	公共座標6系	変換	TKY2JGD	1.3.77	2.0.6
24201-1900-53.xml	Ｈ８．１０．９第２８３６０号土改	24201	津市	公共座標6系	変換	TKY2JGD	1.3.77	2.0.6
24201-1900-54.xml	Ｈ８．４．３０第１３７２６号土改	24201	津市	公共座標6系	変換	TKY2JGD	1.3.77	2.0.6
24201-1900-55.xml	Ｈ９．３．３１第１０３３９号土改	24201	津市	公共座標6系	変換	TKY2JGD	1.3.77	2.0.6
