ファイル名	地図名	市区町村コード	市区町村名	座標系	測地系判別	変換プログラム	変換プログラムバージョン	変換パラメータバージョン
25201-1600-1.xml	12-17-3	25201	大津市	任意座標系				
25201-1600-2.xml	におの浜，由美浜	25201	大津市	任意座標系				
25201-1600-3.xml	逢坂一丁目・大谷町・追分町	25201	大津市	任意座標系				
25201-1600-4.xml	伊香立下在地町	25201	大津市	公共座標6系	変換	TKY2JGD	1.3.77	2.0.6
25201-1600-5.xml	伊香立下在地町Ａ	25201	大津市	任意座標系				
25201-1600-6.xml	伊香立下在地町Ｂ	25201	大津市	任意座標系				
25201-1600-7.xml	伊香立下龍華町字下下谷，金田	25201	大津市	公共座標6系	変換	TKY2JGD	1.3.77	2.0.6
25201-1600-8.xml	伊香立下龍華町字菅井，田中，柳谷	25201	大津市	公共座標6系	変換	TKY2JGD	1.3.77	2.0.6
25201-1600-9.xml	伊香立下龍華町字猪ノ木谷	25201	大津市	任意座標系				
25201-1600-10.xml	伊香立向在地町Ａ	25201	大津市	公共座標6系	変換	TKY2JGD	1.3.77	2.0.6
25201-1600-11.xml	伊香立向在地町Ｂ	25201	大津市	公共座標6系	変換	TKY2JGD	1.3.77	2.0.6
25201-1600-12.xml	伊香立向在地町字本谷・堂ノ下・川原・他	25201	大津市	任意座標系				
25201-1600-13.xml	伊香立上在地町	25201	大津市	公共座標6系	変換	TKY2JGD	1.3.77	2.0.6
25201-1600-14.xml	伊香立上在地町（準地図）	25201	大津市	任意座標系				
25201-1600-15.xml	荒川	25201	大津市	公共座標6系	変換	TKY2JGD	1.3.77	2.0.6
25201-1600-16.xml	伊香立上龍華町字奥出，七毛，井根ノ上他	25201	大津市	公共座標6系	変換	TKY2JGD	1.3.77	2.0.6
25201-1600-17.xml	伊香立生津町Ａ	25201	大津市	公共座標6系	変換	TKY2JGD	1.3.77	2.0.6
25201-1600-18.xml	伊香立生津町Ｂ	25201	大津市	公共座標6系	変換	TKY2JGD	1.3.77	2.0.6
25201-1600-19.xml	伊香立生津町Ｃ	25201	大津市	公共座標6系	変換	TKY2JGD	1.3.77	2.0.6
25201-1600-20.xml	伊香立生津町字奥ノ尾・畑山・他	25201	大津市	任意座標系				
25201-1600-21.xml	伊香立生津町字上野・岡出・他	25201	大津市	任意座標系				
25201-1600-22.xml	衣川Ａ	25201	大津市	任意座標系				
25201-1600-23.xml	伊香立途中町Ａ	25201	大津市	任意座標系				
25201-1600-24.xml	伊香立途中町Ｂ	25201	大津市	任意座標系				
25201-1600-25.xml	伊香立南庄町・仰木	25201	大津市	公共座標6系	変換	TKY2JGD	1.3.77	2.0.6
25201-1600-26.xml	伊香立南庄町・真野大野２丁目	25201	大津市	任意座標系				
25201-1600-27.xml	伊香立南庄町字宮ノ尾・金追田・大コバ・他	25201	大津市	任意座標系				
25201-1600-28.xml	伊香立南庄町字田中・前出・惣林・山守・他	25201	大津市	任意座標系				
25201-1600-29.xml	伊香立北在地町	25201	大津市	公共座標6系	変換	TKY2JGD	1.3.77	2.0.6
25201-1600-30.xml	一里山６丁目字新林６８ー１２ー２	25201	大津市	任意座標系				
25201-1600-31.xml	稲津２丁目字大畠・他	25201	大津市	任意座標系				
25201-1600-32.xml	羽栗１～３丁目・上田上常町・他	25201	大津市	任意座標系				
25201-1600-33.xml	園城寺町	25201	大津市	任意座標系				
25201-1600-34.xml	園山3、2丁目字高木、西出	25201	大津市	任意座標系				
25201-1600-35.xml	園山3丁目	25201	大津市	任意座標系				
25201-1600-36.xml	園城寺町，御陵町，大門通，尾花川町他Ａ	25201	大津市	任意座標系				
25201-1600-37.xml	葛川坂下町	25201	大津市	任意座標系				
25201-1600-38.xml	園城寺町，御陵町，大門通，尾花川町他Ｂ	25201	大津市	任意座標系				
25201-1600-39.xml	葛川細川町字合野・北出・城岡・荒谷・他	25201	大津市	任意座標系				
25201-1600-40.xml	葛川中村町字北コロ・カリ山・他	25201	大津市	任意座標系				
25201-1600-41.xml	葛川町居町字朧谷・北出・ヲボレ・北山・他	25201	大津市	任意座標系				
25201-1600-42.xml	葛川梅ノ木町	25201	大津市	任意座標系				
25201-1600-43.xml	葛川梅ノ木町字奥山	25201	大津市	任意座標系				
25201-1600-44.xml	葛川坊村町字シャラノ上・北山・坂ノ尻・他	25201	大津市	任意座標系				
25201-1600-45.xml	葛川木戸口町	25201	大津市	任意座標系				
25201-1600-46.xml	仰木１丁目	25201	大津市	公共座標6系	変換	TKY2JGD	1.3.77	2.0.6
25201-1600-47.xml	仰木２丁目地区	25201	大津市	公共座標6系	測量			
25201-1600-48.xml	仰木３丁目	25201	大津市	公共座標6系	変換	TKY2JGD	1.3.77	2.0.6
25201-1600-49.xml	仰木Ｂ	25201	大津市	任意座標系				
25201-1600-50.xml	仰木Ｄ	25201	大津市	任意座標系				
