ファイル名	地図名	市区町村コード	市区町村名	座標系	測地系判別	変換プログラム	変換プログラムバージョン	変換パラメータバージョン
27102-1203-1.xml	内代町１丁目～４丁目	27102	大阪市都島区	任意座標系				
27102-1203-2.xml	毛馬町１丁目・５丁目	27102	大阪市都島区	任意座標系				
27102-1203-3.xml	毛馬町２～４丁目・大東町１～３丁目	27102	大阪市都島区	任意座標系				
27102-1203-4.xml	友渕町１丁目～３丁目・中野町５丁目	27102	大阪市都島区	任意座標系				
27102-1203-5.xml	高倉町１～３丁目・御幸町１・２丁目	27102	大阪市都島区	任意座標系				
27102-1203-6.xml	善源寺町１・２丁目・都島本通１丁目	27102	大阪市都島区	任意座標系				
27102-1203-7.xml	中野町１～４丁目・都島南通１・２丁目	27102	大阪市都島区	任意座標系				
27102-1203-8.xml	都島北通１・２丁目・都島中通１丁目・他	27102	大阪市都島区	任意座標系				
27102-1203-9.xml	東野田町４・５丁目・都島南通２丁目	27102	大阪市都島区	任意座標系				
27102-1203-10.xml	網島町・東野田町１丁目～２丁目・他	27102	大阪市都島区	任意座標系				
27102-1203-11.xml	網島町・片町１丁目～３丁目	27102	大阪市都島区	任意座標系				
27102-1203-12.xml	東野田町	27102	大阪市都島区	公共座標6系	測量			
27103-1203-1.xml	玉川１～４丁目	27103	大阪市福島区	任意座標系				
27103-1203-2.xml	鷺洲１～６丁目	27103	大阪市福島区	任意座標系				
27103-1203-3.xml	福島１～４丁目	27103	大阪市福島区	任意座標系				
27103-1203-4.xml	福島５～８丁目	27103	大阪市福島区	任意座標系				
27103-1203-5.xml	海老江１～８丁目	27103	大阪市福島区	任意座標系				
27103-1203-6.xml	吉野１～５丁目	27103	大阪市福島区	任意座標系				
27103-1203-7.xml	大開１～４丁目	27103	大阪市福島区	任意座標系				
27103-1203-8.xml	野田１～６丁目	27103	大阪市福島区	任意座標系				
27103-1203-9.xml	海老江修正後	27103	大阪市福島区	公共座標6系	測量			
27103-1203-10.xml	27100_2021_1	27103	大阪市福島区	公共座標6系	測量			
27104-1203-1.xml	此花区西部臨海地区Ａ	27104	大阪市此花区	公共座標6系	測量			
27104-1203-2.xml	此花区西部臨海地区Ｂ	27104	大阪市此花区	公共座標6系	測量			
27104-1203-3.xml	此花区西部臨海地区Ｃ	27104	大阪市此花区	公共座標6系	測量			
27104-1203-4.xml	此花区西部臨海地区Ｄ	27104	大阪市此花区	公共座標6系	測量			
27104-1203-5.xml	此花区西部臨海地区Ｅ	27104	大阪市此花区	公共座標6系	測量			
27104-1203-6.xml	此花区西部臨海地区Ｆ	27104	大阪市此花区	公共座標6系	測量			
27104-1203-7.xml	此花区西部臨海地区Ｇ	27104	大阪市此花区	公共座標6系	測量			
27104-1203-8.xml	此花区西部臨海地区Ｈ	27104	大阪市此花区	公共座標6系	測量			
27104-1203-9.xml	島屋１～６丁目	27104	大阪市此花区	任意座標系				
27104-1203-10.xml	酉島・常吉	27104	大阪市此花区	任意座標系				
27104-1203-11.xml	梅町・北港・桜島	27104	大阪市此花区	任意座標系				
27104-1203-12.xml	夢洲東１丁目	27104	大阪市此花区	任意座標系				
27104-1203-13.xml	高見１～３丁目	27104	大阪市此花区	任意座標系				
27104-1203-14.xml	春日出北・酉島	27104	大阪市此花区	任意座標系				
27104-1203-15.xml	春日出中・春日出南	27104	大阪市此花区	任意座標系				
27104-1203-16.xml	西九条１～７丁目	27104	大阪市此花区	任意座標系				
27104-1203-17.xml	朝日・梅香・四貫島	27104	大阪市此花区	任意座標系				
27104-1203-18.xml	伝法１～６丁目	27104	大阪市此花区	任意座標系				
27104-1203-19.xml	大阪市此花区舞洲地区	27104	大阪市此花区	公共座標6系	測量			
27106-1203-1.xml	境川１・２丁目	27106	大阪市西区	任意座標系				
27106-1203-2.xml	阿波座・立売堀・靱本町・西本町	27106	大阪市西区	任意座標系				
27106-1203-3.xml	安治川・九条南	27106	大阪市西区	任意座標系				
27106-1203-4.xml	九条・本田	27106	大阪市西区	任意座標系				
27106-1203-5.xml	江戸堀・京町堀・土佐堀	27106	大阪市西区	任意座標系				
27106-1203-6.xml	江之子島・川口	27106	大阪市西区	任意座標系				
27106-1203-7.xml	新町１～４丁目	27106	大阪市西区	任意座標系				
27106-1203-8.xml	千代崎１～３丁目	27106	大阪市西区	任意座標系				
27106-1203-9.xml	北堀江・南堀江	27106	大阪市西区	任意座標系				
27107-1203-1.xml	市岡・福崎	27107	大阪市港区	任意座標系				
27107-1203-2.xml	市岡・海岸通・築港・福崎	27107	大阪市港区	任意座標系				
27107-1203-3.xml	市岡元町・波除	27107	大阪市港区	任意座標系				
27107-1203-4.xml	石田・波除・弁天	27107	大阪市港区	任意座標系				
27107-1203-5.xml	南市岡	27107	大阪市港区	任意座標系				
27107-1203-6.xml	大阪市港区Ａ地区	27107	大阪市港区	公共座標6系	測量			
27107-1203-7.xml	大阪市港区Ｂ地区	27107	大阪市港区	公共座標6系	測量			
27107-1203-8.xml	大阪市港区Ｃ地区	27107	大阪市港区	公共座標6系	測量			
27107-1203-9.xml	大阪市港区港地区	27107	大阪市港区	公共座標6系	測量			
27108-1203-1.xml	三軒屋西・泉尾の一部	27108	大阪市大正区	任意座標系				
27108-1203-2.xml	小林東・平尾・千島・泉尾の一部	27108	大阪市大正区	任意座標系				
27108-1203-3.xml	船町・南恩加島	27108	大阪市大正区	任意座標系				
27108-1203-4.xml	泉尾・三軒屋東の一部	27108	大阪市大正区	任意座標系				
27108-1203-5.xml	大正区鶴町２、３丁目（埋立地公図）	27108	大阪市大正区	公共座標6系	変換	TKY2JGD	1.3.77	2.1.1
27108-1203-6.xml	三軒屋東・三軒屋西の一部	27108	大阪市大正区	任意座標系				
27108-1203-7.xml	北恩加島・北村・小林西・南恩加島	27108	大阪市大正区	任意座標系				
27108-1203-8.xml	大阪市大正区大正工区	27108	大阪市大正区	公共座標6系	測量			
27109-1206-1.xml	烏ヶ辻１・２丁目・真法院町・他	27109	大阪市天王寺区	任意座標系				
27109-1206-2.xml	下寺町・逢阪・伶人町・茶臼山町	27109	大阪市天王寺区	任意座標系				
27109-1206-3.xml	国分町	27109	大阪市天王寺区	任意座標系				
27109-1206-4.xml	上本町９丁目	27109	大阪市天王寺区	任意座標系				
27109-1206-5.xml	生玉町・夕陽丘町	27109	大阪市天王寺区	任意座標系				
27109-1206-6.xml	石ヶ辻町・上之宮町・上本町６丁目・外	27109	大阪市天王寺区	任意座標系				
27109-1206-7.xml	堀越町	27109	大阪市天王寺区	任意座標系				
27109-1206-8.xml	悲田院町・南河堀町	27109	大阪市天王寺区	任意座標系				
27109-1206-9.xml	北河堀町・大道１丁目・堀越町	27109	大阪市天王寺区	任意座標系				
27109-1206-10.xml	北山町Ａ	27109	大阪市天王寺区	任意座標系				
27109-1206-11.xml	北山町Ｂ	27109	大阪市天王寺区	任意座標系				
27109-1206-12.xml	夕陽丘町	27109	大阪市天王寺区	任意座標系				
