ファイル名	地図名	市区町村コード	市区町村名	座標系	測地系判別	変換プログラム	変換プログラムバージョン	変換パラメータバージョン
28101-1413-1.xml	渦森台・鴨子ケ原	28101	神戸市東灘区	任意座標系				
28101-1413-2.xml	岡本	28101	神戸市東灘区	任意座標系				
28101-1413-3.xml	岡本・岡本町田辺・岡本町岡本・本山北町	28101	神戸市東灘区	任意座標系				
28101-1413-4.xml	岡本６丁目、本山町岡本	28101	神戸市東灘区	任意座標系				
28101-1413-5.xml	魚崎南町	28101	神戸市東灘区	任意座標系				
28101-1413-6.xml	魚崎浜町	28101	神戸市東灘区	任意座標系				
28101-1413-7.xml	御影山手・御影町郡家・御影町御影	28101	神戸市東灘区	任意座標系				
28101-1413-8.xml	御影西平野・御影山手	28101	神戸市東灘区	任意座標系				
28101-1413-9.xml	御影石町	28101	神戸市東灘区	任意座標系				
28101-1413-10.xml	御影中町・御影石町・御影町郡家他	28101	神戸市東灘区	任意座標系				
28101-1413-11.xml	御影中町・御影本町・御影町御影	28101	神戸市東灘区	任意座標系				
28101-1413-12.xml	住吉台	28101	神戸市東灘区	任意座標系				
28101-1413-13.xml	御影町西平野	28101	神戸市東灘区	任意座標系				
28101-1413-14.xml	住吉宮町	28101	神戸市東灘区	公共座標5系	変換	TKY2JGD	1.3.77	2.0.6
28101-1413-15.xml	住吉山手・住吉台	28101	神戸市東灘区	任意座標系				
28101-1413-16.xml	住吉山手・住吉町・住吉本町・御影山手他	28101	神戸市東灘区	任意座標系				
28101-1413-17.xml	住吉南町・魚崎西町・魚崎町魚崎	28101	神戸市東灘区	任意座標系				
28101-1413-18.xml	住吉浜町	28101	神戸市東灘区	任意座標系				
28101-1413-19.xml	森南町・本山中町・本庄町	28101	神戸市東灘区	任意座標系				
28101-1413-20.xml	森南町（数値）１７Ａ０１	28101	神戸市東灘区	公共座標5系	変換	TKY2JGD	1.3.79	2.1.1
28101-1413-21.xml	深江浜町	28101	神戸市東灘区	任意座標系				
28101-1413-22.xml	西岡本	28101	神戸市東灘区	任意座標系				
28101-1413-23.xml	西岡本・本山町岡本・本山町野寄	28101	神戸市東灘区	任意座標系				
28101-1413-24.xml	青木・深江南町	28101	神戸市東灘区	任意座標系				
28101-1413-25.xml	青木・深江本町・本庄町深江	28101	神戸市東灘区	任意座標系				
28101-1413-26.xml	北青木	28101	神戸市東灘区	任意座標系				
28101-1413-27.xml	北青木・本山南町・甲南町・田中町他	28101	神戸市東灘区	任意座標系				
28101-1413-28.xml	本山町岡本・田中町・岡本	28101	神戸市東灘区	任意座標系				
28101-1413-29.xml	本山町森・本山町岡本・森北町	28101	神戸市東灘区	任意座標系				
28101-1413-30.xml	本山町田中・甲南町	28101	神戸市東灘区	任意座標系				
28101-1413-31.xml	本山町野寄・西岡本	28101	神戸市東灘区	任意座標系				
28101-1413-32.xml	本山北町・本山町中野・本山町北畑他	28101	神戸市東灘区	任意座標系				
28101-1413-33.xml	本山北町・本山町北畑・本山町田辺他	28101	神戸市東灘区	任意座標系				
28101-1413-34.xml	本庄町青木・本庄町西青木・本庄町深江他	28101	神戸市東灘区	任意座標系				
28101-1413-35.xml	鴨子ケ原・住吉町・御影山手	28101	神戸市東灘区	任意座標系				
28101-1413-36.xml	魚崎北町・魚崎中町・魚崎町魚崎他	28101	神戸市東灘区	任意座標系				
28101-1413-37.xml	御影塚町	28101	神戸市東灘区	任意座標系				
28101-1413-38.xml	向洋町東・向洋町西・向洋町中	28101	神戸市東灘区	公共座標5系	変換	TKY2JGD	1.3.77	2.0.6
28101-1413-39.xml	住吉宮町・住吉東町	28101	神戸市東灘区	任意座標系				
28101-1413-40.xml	住吉町・住吉東町・住吉本町・住吉宮町他	28101	神戸市東灘区	任意座標系				
28101-1413-41.xml	森南第１・２地区（数値）	28101	神戸市東灘区	公共座標5系	変換	TKY2JGD	1.3.77	2.0.6
28101-1413-42.xml	森北町・本山北町・本山町森・甲南台	28101	神戸市東灘区	任意座標系				
28101-1413-43.xml	深江北町・本山南町・本庄町	28101	神戸市東灘区	任意座標系				
28101-1413-44.xml	田中町・甲南町・本山町野寄	28101	神戸市東灘区	任意座標系				
28101-1413-45.xml	本山町森・本山町小路・本山町北畑他	28101	神戸市東灘区	任意座標系				
28101-1413-46.xml	本山町森・本山町野寄・本山町岡本・岡本他	28101	神戸市東灘区	任意座標系				
28101-1413-47.xml	本山町田辺・岡本町岡本・岡本	28101	神戸市東灘区	任意座標系				
28101-1413-48.xml	東灘山手地区土地区画整理事業	28101	神戸市東灘区	公共座標5系	変換	1.3.77	TKY2JGD.par	2.1.1
28101-1413-49.xml	東灘区御影町御影外	28101	神戸市東灘区	任意座標系				
28101-1413-50.xml	御影塚町	28101	神戸市東灘区	公共座標5系	測量			
28101-1413-51.xml	御影塚町	28101	神戸市東灘区	公共座標5系	測量			
28101-1413-52.xml	御影塚町	28101	神戸市東灘区	公共座標5系	測量			
28101-1413-53.xml	深江浜町	28101	神戸市東灘区	公共座標5系	測量			
28101-1413-54.xml	御影塚町	28101	神戸市東灘区	公共座標5系	測量			
28101-1413-55.xml	御影塚町	28101	神戸市東灘区	公共座標5系	測量			
28101-1413-56.xml	御影塚町	28101	神戸市東灘区	公共座標5系	測量			
28101-1413-57.xml	御影塚町	28101	神戸市東灘区	公共座標5系	測量			
28101-1413-58.xml	御影塚町	28101	神戸市東灘区	公共座標5系	測量			
28101-1413-59.xml	御影塚町	28101	神戸市東灘区	公共座標5系	測量			
28101-1413-60.xml	御影塚町	28101	神戸市東灘区	公共座標5系	測量			
28101-1413-61.xml	御影塚町	28101	神戸市東灘区	公共座標5系	測量			
28101-1413-62.xml	御影塚町	28101	神戸市東灘区	公共座標5系	測量			
28101-1413-63.xml	御影塚町	28101	神戸市東灘区	公共座標5系	測量			
28101-1413-64.xml	御影塚町	28101	神戸市東灘区	公共座標5系	測量			
