ファイル名	地図名	市区町村コード	市区町村名	座標系	測地系判別	変換プログラム	変換プログラムバージョン	変換パラメータバージョン
29201-1500-1.xml	AWS1myougatyou20A01	29201	奈良市	公共座標6系	測量			
29201-1500-2.xml	AWS1oguratyou20A01	29201	奈良市	公共座標6系	測量			
29201-1500-3.xml	AWS1oguratyou20A02	29201	奈良市	公共座標6系	測量			
29201-1500-4.xml	BWA1sanjyouhonm20A01	29201	奈良市	公共座標6系	測量			
29201-1500-5.xml	BWP1nakatomigao20A01	29201	奈良市	公共座標6系	測量			
29201-1500-6.xml	BWP1oguratyou20A01	29201	奈良市	公共座標6系	測量			
29201-1500-7.xml	BWP1oogityou20A01	29201	奈良市	公共座標6系	測量			
29201-1500-8.xml	BWP1oogityou20A02	29201	奈良市	公共座標6系	測量			
29201-1500-9.xml	BWP1oogityou20A03	29201	奈良市	公共座標6系	測量			
29201-1500-10.xml	BXF2harigabessy20A01	29201	奈良市	任意座標系				
29201-1500-11.xml	BXF2iutyou20A01	29201	奈良市	任意座標系				
29201-1500-12.xml	BXF2iutyou20A02	29201	奈良市	任意座標系				
29201-1500-13.xml	BXF2tugehayamat20A01	29201	奈良市	任意座標系				
29201-1500-14.xml	BXF2tugehayamat20A02	29201	奈良市	任意座標系				
29201-1500-15.xml	BXF2tugekobusig20A01	29201	奈良市	任意座標系				
29201-1500-16.xml	BXF2tugekobusig20A02	29201	奈良市	任意座標系				
29201-1500-17.xml	BYA1harigabessy20A01	29201	奈良市	公共座標6系	変換	TKY2JGD	1.3.79	2.1.1
29201-1500-18.xml	BYA1harityou20A01	29201	奈良市	公共座標6系	変換	TKY2JGD	1.3.79	2.1.1
29201-1500-19.xml	BYA1harityou20A02	29201	奈良市	公共座標6系	変換	TKY2JGD	1.3.79	2.1.1
29201-1500-20.xml	BYA1harityou20A03	29201	奈良市	公共座標6系	変換	TKY2JGD	1.3.79	2.1.1
29201-1500-21.xml	BYA1iutyou20A01	29201	奈良市	公共座標6系	変換	TKY2JGD	1.3.79	2.1.1
29201-1500-22.xml	BYA1iutyou20A02	29201	奈良市	公共座標6系	変換	TKY2JGD	1.3.79	2.1.1
29201-1500-23.xml	BYA1iutyou20A03	29201	奈良市	公共座標6系	変換	TKY2JGD	1.3.79	2.1.1
29201-1500-24.xml	BYA1kamihukawat20A01	29201	奈良市	公共座標6系	変換	TKY2JGD	1.3.79	2.1.1
29201-1500-25.xml	BYA1kamihukawat20A02	29201	奈良市	公共座標6系	変換	TKY2JGD	1.3.79	2.1.1
29201-1500-26.xml	BYA1kamihukawat20A03	29201	奈良市	公共座標6系	変換	TKY2JGD	1.3.79	2.1.1
29201-1500-27.xml	BYA1kamihukawat20A04	29201	奈良市	公共座標6系	変換	TKY2JGD	1.3.79	2.1.1
29201-1500-28.xml	BYA1kamihukawat20A05	29201	奈良市	公共座標6系	変換	TKY2JGD	1.3.79	2.1.1
29201-1500-29.xml	BYA1oguratyou20A01	29201	奈良市	公共座標6系	変換	TKY2JGD	1.3.79	2.1.1
29201-1500-30.xml	BYA1oogityou20A01	29201	奈良市	公共座標6系	変換	TKY2JGD	1.3.79	2.1.1
29201-1500-31.xml	BYA1ooyagyuutyo20A01	29201	奈良市	公共座標6系	変換	TKY2JGD	1.3.79	2.1.1
29201-1500-32.xml	BYA1raikouzityo20A01	29201	奈良市	公共座標6系	変換	TKY2JGD	1.3.79	2.1.1
29201-1500-33.xml	BYA1raikouzityo20A02	29201	奈良市	公共座標6系	変換	TKY2JGD	1.3.79	2.1.1
29201-1500-34.xml	BYA1raikouzityo20A03	29201	奈良市	公共座標6系	変換	TKY2JGD	1.3.79	2.1.1
29201-1500-35.xml	BYA1simohukawat20A01	29201	奈良市	公共座標6系	変換	TKY2JGD	1.3.79	2.1.1
29201-1500-36.xml	BYA1simohukawat20A02	29201	奈良市	公共座標6系	変換	TKY2JGD	1.3.79	2.1.1
29201-1500-37.xml	BYA1simohukawat20A03	29201	奈良市	公共座標6系	変換	TKY2JGD	1.3.79	2.1.1
29201-1500-38.xml	BYA1simohukawat20A04	29201	奈良市	公共座標6系	変換	TKY2JGD	1.3.79	2.1.1
29201-1500-39.xml	BYA1simohukawat20A05	29201	奈良市	公共座標6系	変換	TKY2JGD	1.3.79	2.1.1
