ファイル名	地図名	市区町村コード	市区町村名	座標系	測地系判別	変換プログラム	変換プログラムバージョン	変換パラメータバージョン
30201-1700-1.xml	２００２年１０月調査地籍図井戸	30201	和歌山市	公共座標6系	測量			
30201-1700-2.xml	２００２年１０月調査地籍図吉原	30201	和歌山市	公共座標6系	測量			
30201-1700-3.xml	２００２年１０月調査地籍図江南	30201	和歌山市	公共座標6系	測量			
30201-1700-4.xml	つつじが丘	30201	和歌山市	任意座標系				
30201-1700-5.xml	２００２年１０月調査地籍図相坂	30201	和歌山市	公共座標6系	測量			
30201-1700-6.xml	２００２年１０月調査地籍図馬場	30201	和歌山市	公共座標6系	測量			
30201-1700-7.xml	２００３年１０月調査地籍図	30201	和歌山市	公共座標6系	測量			
30201-1700-8.xml	芦原地区１（１７条）	30201	和歌山市	公共座標6系	変換	TKY2JGD	1.3.77	2.0.6
30201-1700-9.xml	芦原地区２（１７条）	30201	和歌山市	公共座標6系	変換	TKY2JGD	1.3.77	2.0.6
30201-1700-10.xml	芦原地区３（１７条）	30201	和歌山市	公共座標6系	変換	TKY2JGD	1.3.77	2.0.6
30201-1700-11.xml	芦原地区４（１７条）	30201	和歌山市	公共座標6系	変換	TKY2JGD	1.3.77	2.0.6
30201-1700-12.xml	芦原地区５（１７条）	30201	和歌山市	公共座標6系	変換	TKY2JGD	1.3.77	2.0.6
30201-1700-13.xml	井戸（打田）	30201	和歌山市	公共座標6系	変換	TKY2JGD	1.3.77	2.0.6
30201-1700-14.xml	井戸地区１９９９年調査	30201	和歌山市	公共座標6系	変換	TKY2JGD	1.3.77	2.0.6
30201-1700-15.xml	永穂	30201	和歌山市	任意座標系				
30201-1700-16.xml	榎原・松江北	30201	和歌山市	任意座標系				
30201-1700-17.xml	園部Ｂ	30201	和歌山市	任意座標系				
30201-1700-18.xml	紀三井寺・内原・毛見	30201	和歌山市	公共座標6系	変換	TKY2JGD	1.3.77	2.0.6
30201-1700-19.xml	紀三井寺・毛見Ａ	30201	和歌山市	公共座標6系	変換	TKY2JGD	1.3.77	2.0.6
30201-1700-20.xml	紀三井寺・毛見Ｂ	30201	和歌山市	公共座標6系	変換	TKY2JGD	1.3.77	2.0.6
30201-1700-21.xml	紀三井寺Ｃ	30201	和歌山市	公共座標6系	変換	TKY2JGD	1.3.77	2.0.6
30201-1700-22.xml	桑山（西塩付・東塩付・北牛手）	30201	和歌山市	公共座標6系	変換	TKY2JGD	1.3.77	2.0.6
30201-1700-23.xml	桑山地区１９９９年調査	30201	和歌山市	公共座標6系	変換	TKY2JGD	1.3.77	2.0.6
30201-1700-24.xml	広瀬地区１（１７条）	30201	和歌山市	公共座標6系	変換	TKY2JGD	1.3.77	2.0.6
