ファイル名	地図名	市区町村コード	市区町村名	座標系	測地系判別	変換プログラム	変換プログラムバージョン	変換パラメータバージョン
31201-2700-1.xml	安蔵Ａ	31201	鳥取市	公共座標5系	変換	TKY2JGD	1.3.77	2.0.6
31201-2700-2.xml	安蔵Ｂ	31201	鳥取市	公共座標5系	変換	TKY2JGD	1.3.77	2.0.6
31201-2700-3.xml	安長１２Ａ	31201	鳥取市	任意座標系				
31201-2700-4.xml	安長１２Ｂ	31201	鳥取市	任意座標系				
31201-2700-5.xml	稲常Ａ	31201	鳥取市	任意座標系				
31201-2700-6.xml	稲常Ｂ	31201	鳥取市	任意座標系				
31201-2700-7.xml	稲常Ｃ	31201	鳥取市	任意座標系				
31201-2700-8.xml	稲葉丘３丁目	31201	鳥取市	任意座標系				
31201-2700-9.xml	雨滝字中ノ田・他	31201	鳥取市	任意座標系				
31201-2700-10.xml	雨瀧字鎌渕・町頭・ジヤ山・佛谷・他	31201	鳥取市	任意座標系				
31201-2700-11.xml	雨瀧字岩藤・小丸山・糀屋・朝鳥尾・他	31201	鳥取市	任意座標系				
31201-2700-12.xml	雨瀧字左ノ谷口・ガブ谷口・塚ノ向・他	31201	鳥取市	任意座標系				
31201-2700-13.xml	卯垣１１Ａ	31201	鳥取市	公共座標5系	変換	TKY2JGD	1.3.77	2.0.6
31201-2700-14.xml	雨瀧字浄禅山・汗ノ谷・薮谷口・シンバ・他	31201	鳥取市	任意座標系				
31201-2700-15.xml	雨瀧字数田・小ブケ・以後・古雨瀧・他	31201	鳥取市	任意座標系				
31201-2700-16.xml	卯垣１１Ｂ	31201	鳥取市	公共座標5系	変換	TKY2JGD	1.3.77	2.0.6
31201-2700-17.xml	雨瀧字保木・小杉谷・乳母ヶ坂・下モ谷・他	31201	鳥取市	任意座標系				
31201-2700-18.xml	卯垣１１Ｃ	31201	鳥取市	公共座標5系	変換	TKY2JGD	1.3.77	2.0.6
31201-2700-19.xml	卯垣１１Ｄ	31201	鳥取市	公共座標5系	変換	TKY2JGD	1.3.77	2.0.6
31201-2700-20.xml	卯垣１１Ｅ	31201	鳥取市	公共座標5系	変換	TKY2JGD	1.3.77	2.0.6
31201-2700-21.xml	卯垣１１Ｆ	31201	鳥取市	公共座標5系	変換	TKY2JGD	1.3.77	2.0.6
31201-2700-22.xml	卯垣１１Ｇ	31201	鳥取市	任意座標系				
31201-2700-23.xml	卯垣１１Ｈ	31201	鳥取市	任意座標系				
31201-2700-24.xml	卯垣１１Ｉ	31201	鳥取市	任意座標系				
31201-2700-25.xml	卯垣１１Ｊ	31201	鳥取市	任意座標系				
31201-2700-26.xml	卯垣１１Ｋ	31201	鳥取市	任意座標系				
31201-2700-27.xml	卯垣１１Ｌ	31201	鳥取市	任意座標系				
31201-2700-28.xml	卯垣１１Ｍ	31201	鳥取市	任意座標系				
31201-2700-29.xml	曳田Ａ	31201	鳥取市	任意座標系				
31201-2700-30.xml	曳田Ｂ	31201	鳥取市	任意座標系				
31201-2700-31.xml	曳田Ｃ	31201	鳥取市	任意座標系				
31201-2700-32.xml	曳田Ｄ	31201	鳥取市	任意座標系				
31201-2700-33.xml	曳田Ｅ	31201	鳥取市	任意座標系				
31201-2700-34.xml	曳田Ｆ	31201	鳥取市	任意座標系				
31201-2700-35.xml	栄町Ｂ	31201	鳥取市	任意座標系				
31201-2700-36.xml	永楽温泉町	31201	鳥取市	任意座標系				
31201-2700-37.xml	越路Ｂ	31201	鳥取市	任意座標系				
31201-2700-38.xml	越路Ｃ	31201	鳥取市	任意座標系				
31201-2700-39.xml	越路Ｄ	31201	鳥取市	任意座標系				
31201-2700-40.xml	円護寺	31201	鳥取市	公共座標5系	変換	TKY2JGD	1.3.77	2.0.6
31201-2700-41.xml	円護寺（１／１０００）	31201	鳥取市	任意座標系				
31201-2700-42.xml	円護寺Ｂ	31201	鳥取市	任意座標系				
31201-2700-43.xml	円護寺Ｃ	31201	鳥取市	公共座標5系	変換	TKY2JGD	1.3.77	2.0.6
31201-2700-44.xml	円護寺字継子奥・五反田・地蔵之元・他	31201	鳥取市	任意座標系				
31201-2700-45.xml	円護寺字瀧谷北側・瀧谷東側・谷山・他	31201	鳥取市	任意座標系				
31201-2700-46.xml	円護寺字妙見谷川東・吉寺・他	31201	鳥取市	任意座標系				
31201-2700-47.xml	円通寺　１／３０００	31201	鳥取市	任意座標系				
31201-2700-48.xml	円通寺　１／６００（１）	31201	鳥取市	任意座標系				
31201-2700-49.xml	円通寺　１／６００（２）	31201	鳥取市	任意座標系				
31201-2700-50.xml	円通寺１１Ａ	31201	鳥取市	任意座標系				
31201-2700-51.xml	円通寺１２Ａ	31201	鳥取市	公共座標5系	変換	TKY2JGD	1.3.77	2.0.6
31201-2700-52.xml	奥沢見１４Ｃ０１	31201	鳥取市	任意座標系				
31201-2700-53.xml	奥沢見１４Ｃ０２	31201	鳥取市	任意座標系				
31201-2700-54.xml	横枕１２Ａ	31201	鳥取市	公共座標5系	変換	TKY2JGD	1.3.77	2.0.6
31201-2700-55.xml	横枕１２Ｂ	31201	鳥取市	任意座標系				
31201-2700-56.xml	横枕１２Ｃ	31201	鳥取市	任意座標系				
31201-2700-57.xml	横枕１２Ｄ	31201	鳥取市	任意座標系				
31201-2700-58.xml	岡益Ｃ	31201	鳥取市	任意座標系				
31201-2700-59.xml	岡木１４Ｃ０１	31201	鳥取市	公共座標5系	変換	TKY2JGD	1.3.79	2.1.1
31201-2700-60.xml	屋住	31201	鳥取市	公共座標5系	変換	TKY2JGD	1.3.77	2.0.6
31201-2700-61.xml	桶屋町	31201	鳥取市	任意座標系				
31201-2700-62.xml	下光元	31201	鳥取市	公共座標5系	変換	TKY2JGD	1.3.77	2.0.6
31201-2700-63.xml	下光元、上光	31201	鳥取市	公共座標5系	変換	TKY2JGD	1.3.77	2.0.6
31201-2700-64.xml	下砂見１２Ｂ	31201	鳥取市	公共座標5系	変換	TKY2JGD	1.3.77	2.0.6
31201-2700-65.xml	下砂見Ａ	31201	鳥取市	公共座標5系	変換	TKY2JGD	1.3.77	2.0.6
31201-2700-66.xml	下砂見Ｂ	31201	鳥取市	任意座標系				
31201-2700-67.xml	下砂見Ｃ	31201	鳥取市	任意座標系				
31201-2700-68.xml	下坂本、二本木	31201	鳥取市	公共座標5系	変換	TKY2JGD	1.3.77	2.0.6
31201-2700-69.xml	下段１１Ａ	31201	鳥取市	公共座標5系	変換	TKY2JGD	1.3.77	2.0.6
31201-2700-70.xml	下段１１Ｂ	31201	鳥取市	公共座標5系	変換	TKY2JGD	1.3.77	2.0.6
31201-2700-71.xml	下段Ａ	31201	鳥取市	任意座標系				
31201-2700-72.xml	下段Ｂ	31201	鳥取市	任意座標系				
31201-2700-73.xml	下味野１１Ａ	31201	鳥取市	公共座標5系	変換	TKY2JGD	1.3.77	2.0.6
31201-2700-74.xml	下味野Ａ	31201	鳥取市	任意座標系				
31201-2700-75.xml	下味野Ｂ	31201	鳥取市	任意座標系				
31201-2700-76.xml	下木原１４Ｃ０１	31201	鳥取市	公共座標5系	変換	TKY2JGD	1.3.79	2.1.1
31201-2700-77.xml	家奥	31201	鳥取市	公共座標5系	変換	TKY2JGD	1.3.77	2.0.6
31201-2700-78.xml	河原	31201	鳥取市	任意座標系				
31201-2700-79.xml	河原町１９９６年度１／５００	31201	鳥取市	公共座標5系	変換	TKY2JGD	1.3.77	2.0.6
31201-2700-80.xml	河原町１９９７年度１／５００	31201	鳥取市	公共座標5系	変換	TKY2JGD	1.3.77	2.0.6
31201-2700-81.xml	河原町郷原の一部	31201	鳥取市	公共座標5系	測量			
31201-2700-82.xml	河原町神馬地区（数値）	31201	鳥取市	公共座標5系	変換	TKY2JGD	1.3.77	2.0.6
31201-2700-83.xml	河原町大字釜口	31201	鳥取市	公共座標5系	変換	TKY2JGD	1.3.77	2.0.6
31201-2700-84.xml	河原町大字弓河内	31201	鳥取市	公共座標5系	変換	TKY2JGD	1.3.77	2.0.6
31201-2700-85.xml	河原町大字牛戸	31201	鳥取市	公共座標5系	変換	TKY2JGD	1.3.77	2.0.6
31201-2700-86.xml	河原町大字郷原Ａ	31201	鳥取市	公共座標5系	変換	TKY2JGD	1.3.77	2.0.6
31201-2700-87.xml	河原町大字郷原Ｂ	31201	鳥取市	公共座標5系	変換	TKY2JGD	1.3.77	2.0.6
31201-2700-88.xml	河原町大字郷原Ｃ	31201	鳥取市	任意座標系				
31201-2700-89.xml	河原町大字高福	31201	鳥取市	公共座標5系	変換	TKY2JGD	1.3.77	2.0.6
31201-2700-90.xml	河原町大字今在家	31201	鳥取市	公共座標5系	変換	TKY2JGD	1.3.77	2.0.6
31201-2700-91.xml	河原町大字佐貫Ａ	31201	鳥取市	公共座標5系	変換	TKY2JGD	1.3.77	2.0.6
31201-2700-92.xml	河原町大字小倉	31201	鳥取市	公共座標5系	変換	TKY2JGD	1.3.77	2.0.6
31201-2700-93.xml	河原町大字佐貫Ｂ	31201	鳥取市	公共座標5系	変換	TKY2JGD	1.3.77	2.0.6
31201-2700-94.xml	河原町大字佐貫Ｃ	31201	鳥取市	公共座標5系	変換	TKY2JGD	1.3.77	2.0.6
31201-2700-95.xml	河原町大字佐貫Ｄ	31201	鳥取市	任意座標系				
31201-2700-96.xml	河原町大字三谷Ａ	31201	鳥取市	公共座標5系	変換	TKY2JGD	1.3.77	2.0.6
31201-2700-97.xml	河原町大字三谷Ｂ	31201	鳥取市	公共座標5系	変換	TKY2JGD	1.3.77	2.0.6
