ファイル名	地図名	市区町村コード	市区町村名	座標系	測地系判別	変換プログラム	変換プログラムバージョン	変換パラメータバージョン
32201-2800-1.xml	伊志見・佐々布	32201	松江市	公共座標3系	変換	TKY2JGD	1.3.77	2.0.6
32201-2800-2.xml	伊志見（１／１０００）	32201	松江市	公共座標3系	変換	TKY2JGD	1.3.77	2.0.6
32201-2800-3.xml	伊志見（１／５００）土改	32201	松江市	公共座標3系	変換	TKY2JGD	1.3.77	2.0.6
32201-2800-4.xml	伊志見１３Ａ	32201	松江市	任意座標系				
32201-2800-5.xml	伊志見１３Ｂ	32201	松江市	任意座標系				
32201-2800-6.xml	意宇町１３Ａ	32201	松江市	公共座標3系	変換	TKY2JGD	1.3.77	2.0.6
32201-2800-7.xml	雲津１１Ａ	32201	松江市	公共座標3系	変換	TKY2JGD	1.3.77	2.0.6
32201-2800-8.xml	横浜町	32201	松江市	任意座標系				
32201-2800-9.xml	加賀Ｉ	32201	松江市	公共座標3系	変換	TKY2JGD	1.3.77	2.0.6
32201-2800-10.xml	下宇部尾１１Ａ	32201	松江市	公共座標3系	変換	TKY2JGD	1.3.77	2.0.6
32201-2800-11.xml	下宇部尾１１Ｂ	32201	松江市	公共座標3系	変換	TKY2JGD	1.3.77	2.0.6
32201-2800-12.xml	加賀（１／５００）	32201	松江市	公共座標3系	変換	TKY2JGD	1.3.77	2.0.6
32201-2800-13.xml	加賀１３Ａ	32201	松江市	公共座標3系	変換	TKY2JGD	1.3.77	2.0.6
32201-2800-14.xml	加賀１３Ｂ	32201	松江市	公共座標3系	変換	TKY2JGD	1.3.77	2.0.6
32201-2800-15.xml	加賀Ｊ	32201	松江市	公共座標3系	変換	TKY2JGD	1.3.77	2.0.6
32201-2800-16.xml	加賀Ｋ	32201	松江市	公共座標3系	変換	TKY2JGD	1.3.77	2.0.6
32201-2800-17.xml	加賀Ｌ	32201	松江市	公共座標3系	変換	TKY2JGD	1.3.77	2.0.6
