ファイル名	地図名	市区町村コード	市区町村名	座標系	測地系判別	変換プログラム	変換プログラムバージョン	変換パラメータバージョン
33101-2600-1.xml	宇垣１５Ｂ０１	33101	岡山市北区	任意座標系				
33101-2600-2.xml	下牧Ａ	33101	岡山市北区	任意座標系				
33101-2600-3.xml	下神目１５Ｂ０１	33101	岡山市北区	任意座標系				
33101-2600-4.xml	下神目１５Ｂ０２	33101	岡山市北区	任意座標系				
33101-2600-5.xml	下神目１５Ｂ０３	33101	岡山市北区	任意座標系				
33101-2600-6.xml	下田１５Ｂ０１	33101	岡山市北区	任意座標系				
33101-2600-7.xml	角石畝１４Ｂ０１	33101	岡山市北区	公共座標5系	変換	TKY2JGD	1.3.79	2.1.1
33101-2600-8.xml	角石畝１４Ｂ０２	33101	岡山市北区	公共座標5系	変換	TKY2JGD	1.3.79	2.1.1
33101-2600-9.xml	角石畝１４Ｂ０３	33101	岡山市北区	公共座標5系	変換	TKY2JGD	1.3.79	2.1.1
33101-2600-10.xml	角石畝１４Ｂ０４	33101	岡山市北区	公共座標5系	変換	TKY2JGD	1.3.79	2.1.1
33101-2600-11.xml	角石畝１４Ｂ０５	33101	岡山市北区	公共座標5系	変換	TKY2JGD	1.3.79	2.1.1
33101-2600-12.xml	角石畝１８Ａ０１	33101	岡山市北区	公共座標5系	測量			
33101-2600-13.xml	角石畝１８Ａ０２	33101	岡山市北区	公共座標5系	測量			
33101-2600-14.xml	角石谷１５Ａ０１	33101	岡山市北区	公共座標5系	変換	TKY2JGD	1.3.79	2.1.1
33101-2600-15.xml	角石谷１５Ａ０２	33101	岡山市北区	任意座標系				
33101-2600-16.xml	角石谷１８Ａ０１	33101	岡山市北区	公共座標5系	測量			
33101-2600-17.xml	角石谷１８Ａ０２	33101	岡山市北区	公共座標5系	測量			
33101-2600-18.xml	角石谷１８Ａ０３	33101	岡山市北区	任意座標系				
33101-2600-19.xml	学南町１１Ａ	33101	岡山市北区	任意座標系				
33101-2600-20.xml	学南町１１Ｂ	33101	岡山市北区	任意座標系				
33101-2600-21.xml	学南町１１Ｄ	33101	岡山市北区	任意座標系				
33101-2600-22.xml	丸の内１１Ａ	33101	岡山市北区	任意座標系				
33101-2600-23.xml	丸の内１３Ｂ	33101	岡山市北区	任意座標系				
33101-2600-24.xml	吉田１５Ａ０１	33101	岡山市北区	任意座標系				
33101-2600-25.xml	吉尾１５Ｂ０２	33101	岡山市北区	任意座標系				
33101-2600-26.xml	弓之町１３Ｂ	33101	岡山市北区	任意座標系				
33101-2600-27.xml	京橋町１１Ａ	33101	岡山市北区	公共座標5系	変換	TKY2JGD	1.3.77	2.0.6
33101-2600-28.xml	玉柏１１Ａ	33101	岡山市北区	任意座標系				
33101-2600-29.xml	金山寺Ａ	33101	岡山市北区	任意座標系				
33101-2600-30.xml	金山寺Ｂ	33101	岡山市北区	任意座標系				
33101-2600-31.xml	建部上１４Ｄ０１	33101	岡山市北区	任意座標系				
33101-2600-32.xml	原１３Ａ	33101	岡山市北区	任意座標系				
33101-2600-33.xml	原Ａ	33101	岡山市北区	公共座標5系	変換	TKY2JGD	1.3.77	2.0.6
33101-2600-34.xml	原Ｂ	33101	岡山市北区	公共座標5系	変換	TKY2JGD	1.3.77	2.0.6
33101-2600-35.xml	後楽園１１Ａ	33101	岡山市北区	任意座標系				
33101-2600-36.xml	御津伊田１８Ａ０１	33101	岡山市北区	公共座標5系	測量			
33101-2600-37.xml	御津伊田１８Ａ０２	33101	岡山市北区	公共座標5系	測量			
33101-2600-38.xml	御津川高１８Ａ０１	33101	岡山市北区	任意座標系				
33101-2600-39.xml	御津草生１８Ａ０１	33101	岡山市北区	任意座標系				
33101-2600-40.xml	御津中畑１８Ａ０１	33101	岡山市北区	公共座標5系	測量			
33101-2600-41.xml	御津中畑１８Ａ０２	33101	岡山市北区	公共座標5系	測量			
33101-2600-42.xml	御津中牧１８Ａ０１	33101	岡山市北区	公共座標5系	測量			
