ファイル名	地図名	市区町村コード	市区町村名	座標系	測地系判別	変換プログラム	変換プログラムバージョン	変換パラメータバージョン
35201-2504-1.xml	あるかぽーと１４Ａ０１	35201	下関市	任意座標系				
35201-2504-2.xml	あるかぽーと１４Ａ０２	35201	下関市	任意座標系				
35201-2504-3.xml	みもすそ川町１３Ｃ０２	35201	下関市	任意座標系				
35201-2504-4.xml	ゆめタウン１２Ａ	35201	下関市	公共座標3系	変換	TKY2JGD	1.3.77	2.0.6
35201-2504-5.xml	みもすそ川町１３Ｃ０３	35201	下関市	任意座標系				
35201-2504-6.xml	みもすそ川町１３Ｃ０４	35201	下関市	任意座標系				
35201-2504-7.xml	ゆめタウン１２Ｂ	35201	下関市	公共座標3系	変換	TKY2JGD	1.3.77	2.0.6
35201-2504-8.xml	阿川・滝部地区確定図１９８４年１０月調査	35201	下関市	公共座標3系	変換	TKY2JGD	1.3.77	2.0.6
35201-2504-9.xml	阿川・滝部地区確定図１９９０年１１月調査	35201	下関市	公共座標3系	変換	TKY2JGD	1.3.77	2.0.6
35201-2504-10.xml	阿内Ａ	35201	下関市	公共座標3系	変換	TKY2JGD	1.3.77	2.0.6
35201-2504-11.xml	阿川地区１９９４年３月調査１／１０００	35201	下関市	公共座標3系	変換	TKY2JGD	1.3.77	2.0.6
35201-2504-12.xml	阿川地区１９９４年３月調査１／５００	35201	下関市	公共座標3系	変換	TKY2JGD	1.3.77	2.0.6
35201-2504-13.xml	阿川地区１９９５年３月調査１／１０００	35201	下関市	公共座標3系	変換	TKY2JGD	1.3.77	2.0.6
35201-2504-14.xml	阿川地区１９９６年３月調査１／１０００	35201	下関市	公共座標3系	変換	TKY2JGD	1.3.77	2.0.6
35201-2504-15.xml	阿川地区確定図１９９９年７月調査	35201	下関市	公共座標3系	変換	TKY2JGD	1.3.77	2.0.6
35201-2504-16.xml	阿川地区確定図２００３年１０月調査	35201	下関市	公共座標3系	測量			
35201-2504-17.xml	阿川地区確定図２００３年１月調査	35201	下関市	公共座標3系	測量			
35201-2504-18.xml	阿川地区確定図２００４年１０月調査	35201	下関市	公共座標3系	測量			
35201-2504-19.xml	阿川地区確定図２００４年９月調査	35201	下関市	公共座標3系	測量			
35201-2504-20.xml	阿川地区確定図２００５年６月調査	35201	下関市	公共座標3系	測量			
35201-2504-21.xml	阿弥陀寺町１４Ａ０１	35201	下関市	任意座標系				
35201-2504-22.xml	阿弥陀寺町１４Ａ０２	35201	下関市	任意座標系				
35201-2504-23.xml	阿弥陀寺町１４Ａ０３	35201	下関市	任意座標系				
35201-2504-24.xml	宇賀Ａ	35201	下関市	公共座標3系	変換	TKY2JGD	1.3.77	2.0.6
35201-2504-25.xml	綾羅木新町１３Ｃ０２	35201	下関市	任意座標系				
35201-2504-26.xml	綾羅木南町１３Ａ	35201	下関市	公共座標3系	変換	TKY2JGD	1.3.77	2.0.6
35201-2504-27.xml	綾羅木南町１３Ｃ０１	35201	下関市	任意座標系				
35201-2504-28.xml	綾羅木本町１３Ａ	35201	下関市	公共座標3系	変換	TKY2JGD	1.3.77	2.0.6
35201-2504-29.xml	粟野・阿川１９９３年３月調査１／１０００	35201	下関市	公共座標3系	変換	TKY2JGD	1.3.77	2.0.6
35201-2504-30.xml	粟野地区１９８７年１月調査１／１０００	35201	下関市	公共座標3系	変換	TKY2JGD	1.3.77	2.0.6
35201-2504-31.xml	粟野地区１９８８年１月調査１／１０００	35201	下関市	公共座標3系	変換	TKY2JGD	1.3.77	2.0.6
35201-2504-32.xml	安岡駅前１３Ａ	35201	下関市	任意座標系				
35201-2504-33.xml	粟野地区１９８８年１月調査１／５０００	35201	下関市	公共座標3系	変換	TKY2JGD	1.3.77	2.0.6
35201-2504-34.xml	粟野地区１９８９年１月調査１／１０００	35201	下関市	公共座標3系	変換	TKY2JGD	1.3.77	2.0.6
35201-2504-35.xml	粟野地区１９８９年１月調査１／５０００	35201	下関市	公共座標3系	変換	TKY2JGD	1.3.77	2.0.6
35201-2504-36.xml	粟野地区１９９０年２月調査１／１０００Ａ	35201	下関市	公共座標3系	変換	TKY2JGD	1.3.77	2.0.6
35201-2504-37.xml	粟野地区１９９０年２月調査１／１０００Ｂ	35201	下関市	公共座標3系	変換	TKY2JGD	1.3.77	2.0.6
35201-2504-38.xml	粟野地区１９９１年３月調査１／１０００	35201	下関市	公共座標3系	変換	TKY2JGD	1.3.77	2.0.6
35201-2504-39.xml	粟野地区１９９２年３月調査１／１０００	35201	下関市	公共座標3系	変換	TKY2JGD	1.3.77	2.0.6
35201-2504-40.xml	粟野地区確定図１９９１年５月調査	35201	下関市	公共座標3系	変換	TKY2JGD	1.3.77	2.0.6
35201-2504-41.xml	粟野地区確定図１９９６年２月調査	35201	下関市	公共座標3系	変換	TKY2JGD	1.3.77	2.0.6
35201-2504-42.xml	粟野地区確定図２００３年１１月調査Ａ	35201	下関市	公共座標3系	測量			
35201-2504-43.xml	粟野地区確定図２００３年１１月調査Ｂ	35201	下関市	公共座標3系	測量			
35201-2504-44.xml	粟野地区確定図２００４年１１月調査	35201	下関市	公共座標3系	測量			
35201-2504-45.xml	粟野地区確定図２００４年１２月調査	35201	下関市	公共座標3系	測量			
35201-2504-46.xml	粟野地区確定図２００４年６月調査	35201	下関市	公共座標3系	測量			
35201-2504-47.xml	安岡町１１Ａ	35201	下関市	公共座標3系	変換	TKY2JGD	1.3.77	2.0.6
35201-2504-48.xml	粟野地区確定図２００５年１月調査	35201	下関市	公共座標3系	測量			
35201-2504-49.xml	粟野地区確定図２００５年７月調査	35201	下関市	公共座標3系	測量			
35201-2504-50.xml	安岡町１１Ｃ	35201	下関市	公共座標3系	変換	TKY2JGD	1.3.77	2.0.6
35201-2504-51.xml	安岡町１１Ｄ	35201	下関市	公共座標3系	変換	TKY2JGD	1.3.77	2.0.6
35201-2504-52.xml	安岡町１３Ａ	35201	下関市	任意座標系				
35201-2504-53.xml	安岡町１３Ｂ	35201	下関市	任意座標系				
35201-2504-54.xml	安岡本町１３Ａ	35201	下関市	任意座標系				
35201-2504-55.xml	伊倉東町１３Ｃ０１	35201	下関市	任意座標系				
35201-2504-56.xml	伊倉東町１３Ｃ０２	35201	下関市	任意座標系				
35201-2504-57.xml	伊倉本町１３Ｃ０１	35201	下関市	任意座標系				
35201-2504-58.xml	伊倉本町１３Ｃ０２	35201	下関市	任意座標系				
35201-2504-59.xml	一の宮卸本町１３Ａ	35201	下関市	公共座標3系	変換	TKY2JGD	1.3.77	2.0.6
35201-2504-60.xml	一の宮卸本町１３Ｃ０１	35201	下関市	任意座標系				
35201-2504-61.xml	一の宮卸本町１３Ｃ０２	35201	下関市	任意座標系				
35201-2504-62.xml	一の宮卸本町１４作成Ａ	35201	下関市	任意座標系				
35201-2504-63.xml	一の宮学園町１３Ａ	35201	下関市	公共座標3系	変換	TKY2JGD	1.3.77	2.0.6
35201-2504-64.xml	一の宮学園町１３Ｂ	35201	下関市	公共座標3系	変換	TKY2JGD	1.3.77	2.0.6
35201-2504-65.xml	一の宮学園町１３Ｃ０２	35201	下関市	任意座標系				
35201-2504-66.xml	一の宮学園町１４作成	35201	下関市	任意座標系				
