ファイル名	地図名	市区町村コード	市区町村名	座標系	測地系判別	変換プログラム	変換プログラムバージョン	変換パラメータバージョン
37201-4700-1.xml	茜町・西町Ａ	37201	高松市	任意座標系				
37201-4700-2.xml	茜町・西町Ｃ	37201	高松市	任意座標系				
37201-4700-3.xml	庵治町（２００４年１月調査）	37201	高松市	公共座標4系	測量			
37201-4700-4.xml	庵治町Ｃ	37201	高松市	任意座標系				
37201-4700-5.xml	井口町	37201	高松市	任意座標系				
37201-4700-6.xml	庵治町Ｆ	37201	高松市	任意座標系				
37201-4700-7.xml	庵治町Ｈ	37201	高松市	任意座標系				
37201-4700-8.xml	庵治町数値	37201	高松市	任意座標系				
37201-4700-9.xml	塩屋町	37201	高松市	任意座標系				
37201-4700-10.xml	塩上町１丁目～３丁目・観光通１丁目	37201	高松市	任意座標系				
37201-4700-11.xml	屋島西町	37201	高松市	公共座標4系	変換	TKY2JGD	1.3.77	2.0.6
37201-4700-12.xml	屋島西町Ａ	37201	高松市	任意座標系				
37201-4700-13.xml	屋島中町	37201	高松市	公共座標4系	変換	TKY2JGD	1.3.77	2.0.6
37201-4700-14.xml	屋島東町	37201	高松市	公共座標4系	変換	TKY2JGD	1.3.77	2.0.6
37201-4700-15.xml	屋島東町Ａ	37201	高松市	任意座標系				
37201-4700-16.xml	瓦町１丁目・２丁目	37201	高松市	任意座標系				
37201-4700-17.xml	花ノ宮町１丁目・２丁目・３丁目	37201	高松市	任意座標系				
37201-4700-18.xml	寒川　和紙	37201	高松市	任意座標系				
37201-4700-19.xml	観音寺和紙	37201	高松市	任意座標系				
37201-4700-20.xml	観光町	37201	高松市	任意座標系				
37201-4700-21.xml	観光通１丁目・２丁目	37201	高松市	任意座標系				
37201-4700-22.xml	丸の内	37201	高松市	任意座標系				
37201-4700-23.xml	亀岡町	37201	高松市	任意座標系				
37201-4700-24.xml	亀水町Ａ	37201	高松市	公共座標4系	変換	TKY2JGD	1.3.77	2.0.6
