ファイル名	地図名	市区町村コード	市区町村名	座標系	測地系判別	変換プログラム	変換プログラムバージョン	変換パラメータバージョン
38201-5000-1.xml	402-1	38201	松山市	任意座標系				
38201-5000-2.xml	愛光町１２Ａ	38201	松山市	任意座標系				
38201-5000-3.xml	安岡Ａ	38201	松山市	公共座標4系	変換	TKY2JGD	1.3.77	2.0.6
38201-5000-4.xml	安岡Ｂ	38201	松山市	公共座標4系	変換	TKY2JGD	1.3.77	2.0.6
38201-5000-5.xml	安居島１２Ａ	38201	松山市	任意座標系				
38201-5000-6.xml	安居島１２Ｂ	38201	松山市	任意座標系				
38201-5000-7.xml	安居島１２Ｃ	38201	松山市	任意座標系				
38201-5000-8.xml	院内Ａ	38201	松山市	公共座標4系	変換	TKY2JGD	1.3.77	2.0.6
38201-5000-9.xml	安城寺町１１Ａ	38201	松山市	任意座標系				
38201-5000-10.xml	安城寺町１２Ａ１	38201	松山市	任意座標系				
38201-5000-11.xml	安城寺町１２Ａ２	38201	松山市	任意座標系				
38201-5000-12.xml	安城寺町１２Ｂ	38201	松山市	任意座標系				
38201-5000-13.xml	衣山１１Ａ	38201	松山市	任意座標系				
38201-5000-14.xml	衣山５丁目１２Ａ	38201	松山市	任意座標系				
38201-5000-15.xml	井門町（数値）	38201	松山市	公共座標4系	変換	TKY2JGD	1.3.77	2.0.6
38201-5000-16.xml	磯河内Ａ	38201	松山市	公共座標4系	変換	TKY2JGD	1.3.77	2.0.6
38201-5000-17.xml	磯河内Ｂ	38201	松山市	公共座標4系	変換	TKY2JGD	1.3.77	2.0.6
38201-5000-18.xml	一番町三丁目１２Ａ	38201	松山市	任意座標系				
38201-5000-19.xml	院内Ｂ	38201	松山市	公共座標4系	変換	TKY2JGD	1.3.77	2.0.6
38201-5000-20.xml	永木町１２Ａ	38201	松山市	任意座標系				
38201-5000-21.xml	永木町１丁目２	38201	松山市	任意座標系				
38201-5000-22.xml	猿川Ａ	38201	松山市	公共座標4系	変換	TKY2JGD	1.3.77	2.0.6
38201-5000-23.xml	猿川Ｂ	38201	松山市	公共座標4系	変換	TKY2JGD	1.3.77	2.0.6
38201-5000-24.xml	猿川原（数値）１８Ａ０１	38201	松山市	公共座標4系	測量			
38201-5000-25.xml	猿川原Ａ	38201	松山市	公共座標4系	変換	TKY2JGD	1.3.77	2.0.6
38201-5000-26.xml	猿川原Ｂ	38201	松山市	公共座標4系	変換	TKY2JGD	1.3.77	2.0.6
38201-5000-27.xml	横谷Ａ	38201	松山市	公共座標4系	変換	TKY2JGD	1.3.77	2.0.6
38201-5000-28.xml	横谷Ｂ	38201	松山市	公共座標4系	変換	TKY2JGD	1.3.77	2.0.6
38201-5000-29.xml	温泉郡中島町・宇和間９３	38201	松山市	公共座標4系	変換	TKY2JGD	1.3.77	2.0.6
38201-5000-30.xml	温泉郡中島町・宇和間９５	38201	松山市	公共座標4系	変換	TKY2JGD	1.3.77	2.0.6
38201-5000-31.xml	温泉郡中島町・吉木Ａ	38201	松山市	公共座標4系	変換	TKY2JGD	1.3.77	2.0.6
38201-5000-32.xml	温泉郡中島町・吉木Ｂ	38201	松山市	公共座標4系	変換	TKY2JGD	1.3.77	2.0.6
38201-5000-33.xml	温泉郡中島町・宮野	38201	松山市	公共座標4系	変換	TKY2JGD	1.3.77	2.0.6
38201-5000-34.xml	温泉郡中島町・熊田９３	38201	松山市	公共座標4系	変換	TKY2JGD	1.3.77	2.0.6
38201-5000-35.xml	下伊台１２C	38201	松山市	任意座標系				
38201-5000-36.xml	温泉郡中島町・熊田９５	38201	松山市	公共座標4系	変換	TKY2JGD	1.3.77	2.0.6
38201-5000-37.xml	温泉郡中島町・元怒和８６	38201	松山市	公共座標4系	変換	TKY2JGD	1.3.77	2.0.6
38201-5000-38.xml	温泉郡中島町・元怒和８７	38201	松山市	公共座標4系	変換	TKY2JGD	1.3.77	2.0.6
38201-5000-39.xml	下伊台町	38201	松山市	任意座標系				
38201-5000-40.xml	温泉郡中島町・上怒和８６	38201	松山市	公共座標4系	変換	TKY2JGD	1.3.77	2.0.6
