ファイル名	地図名	市区町村コード	市区町村名	座標系	測地系判別	変換プログラム	変換プログラムバージョン	変換パラメータバージョン
39201-4900-1.xml	あぞうの170128	39201	高知市	公共座標4系	測量			
39201-4900-2.xml	はりまや町Ｂ	39201	高知市	任意座標系				
39201-4900-3.xml	愛宕町	39201	高知市	任意座標系				
39201-4900-4.xml	みずき山	39201	高知市	任意座標系				
39201-4900-5.xml	みづき１４Ａ０１	39201	高知市	任意座標系				
39201-4900-6.xml	みづき１４Ａ０２	39201	高知市	任意座標系				
39201-4900-7.xml	愛宕山南町（数値）１７Ａ０１	39201	高知市	公共座標4系	変換	TKY2JGD	1.3.79	2.1.1
39201-4900-8.xml	愛宕町・栄田町・新本町	39201	高知市	任意座標系				
39201-4900-9.xml	愛宕町１３Ａ	39201	高知市	任意座標系				
39201-4900-10.xml	愛宕町１～３丁目	39201	高知市	任意座標系				
39201-4900-11.xml	旭駅前町　他	39201	高知市	任意座標系				
39201-4900-12.xml	伊勢崎町	39201	高知市	任意座標系				
39201-4900-13.xml	一ツ橋町１～２丁目	39201	高知市	任意座標系				
39201-4900-14.xml	一宮１１Ａ	39201	高知市	任意座標系				
39201-4900-15.xml	一宮１１Ｂ	39201	高知市	任意座標系				
39201-4900-16.xml	一宮１１Ｃ	39201	高知市	任意座標系				
39201-4900-17.xml	一宮１１Ｄ	39201	高知市	任意座標系				
39201-4900-18.xml	一宮１１Ｆ	39201	高知市	任意座標系				
39201-4900-19.xml	一宮１１Ｇ	39201	高知市	任意座標系				
39201-4900-20.xml	一宮１１Ｈ	39201	高知市	任意座標系				
39201-4900-21.xml	一宮１１Ｉ	39201	高知市	任意座標系				
39201-4900-22.xml	一宮１１Ｊ	39201	高知市	任意座標系				
39201-4900-23.xml	一宮１１Ｋ	39201	高知市	任意座標系				
39201-4900-24.xml	一宮１１Ｌ	39201	高知市	任意座標系				
39201-4900-25.xml	稲荷町	39201	高知市	任意座標系				
39201-4900-26.xml	稲荷町１３Ａ	39201	高知市	任意座標系				
39201-4900-27.xml	宇津野Ｂ	39201	高知市	任意座標系				
39201-4900-28.xml	鵜来巣	39201	高知市	任意座標系				
39201-4900-29.xml	永国寺町	39201	高知市	任意座標系				
39201-4900-30.xml	駅前町	39201	高知市	任意座標系				
39201-4900-31.xml	越前町１～２丁目	39201	高知市	任意座標系				
39201-4900-32.xml	円行寺	39201	高知市	任意座標系				
39201-4900-33.xml	円行寺Ａ	39201	高知市	任意座標系				
39201-4900-34.xml	円行寺Ｂ	39201	高知市	任意座標系				
39201-4900-35.xml	円行寺Ｃ	39201	高知市	任意座標系				
39201-4900-36.xml	円行寺Ｄ	39201	高知市	任意座標系				
39201-4900-37.xml	円行寺Ｅ	39201	高知市	任意座標系				
39201-4900-38.xml	円行寺Ｆ	39201	高知市	任意座標系				
39201-4900-39.xml	塩田町	39201	高知市	任意座標系				
39201-4900-40.xml	横内Ｂ	39201	高知市	任意座標系				
39201-4900-41.xml	横浜Ａ	39201	高知市	任意座標系				
39201-4900-42.xml	横浜新町Ａ	39201	高知市	任意座標系				
39201-4900-43.xml	横浜新町Ｂ	39201	高知市	任意座標系				
39201-4900-44.xml	横矢１２Ａ	39201	高知市	任意座標系				
39201-4900-45.xml	横矢１３Ｂ	39201	高知市	任意座標系				
39201-4900-46.xml	屋頭Ｂ	39201	高知市	任意座標系				
39201-4900-47.xml	加賀野井Ａ	39201	高知市	任意座標系				
39201-4900-48.xml	加賀野井Ｂ	39201	高知市	任意座標系				
39201-4900-49.xml	加賀野井Ｃ	39201	高知市	任意座標系				
39201-4900-50.xml	河ノ瀬町	39201	高知市	任意座標系				
39201-4900-51.xml	介良１２Ａ	39201	高知市	任意座標系				
39201-4900-52.xml	介良１２Ｂ	39201	高知市	任意座標系				
39201-4900-53.xml	介良１２Ｃ	39201	高知市	任意座標系				
39201-4900-54.xml	介良１３Ｂ	39201	高知市	任意座標系				
39201-4900-55.xml	介良１３Ｃ	39201	高知市	任意座標系				
39201-4900-56.xml	介良１３Ｄ	39201	高知市	任意座標系				
39201-4900-57.xml	介良１３Ｅ	39201	高知市	任意座標系				
39201-4900-58.xml	梶谷Ａ	39201	高知市	公共座標4系	変換	TKY2JGD	1.3.77	2.0.6
39201-4900-59.xml	梶谷１２Ａ	39201	高知市	公共座標4系	変換	TKY2JGD	1.3.77	2.0.6
39201-4900-60.xml	梶谷Ｂ	39201	高知市	公共座標4系	変換	TKY2JGD	1.3.77	2.0.6
39201-4900-61.xml	葛島Ｂ	39201	高知市	任意座標系				
39201-4900-62.xml	鴨部	39201	高知市	任意座標系				
39201-4900-63.xml	鴨部１３Ｂ	39201	高知市	任意座標系				
39201-4900-64.xml	鴨部高町	39201	高知市	任意座標系				
39201-4900-65.xml	丸ノ内１丁目	39201	高知市	任意座標系				
39201-4900-66.xml	丸ノ内２丁目	39201	高知市	任意座標系				
39201-4900-67.xml	岩ケ淵　他	39201	高知市	任意座標系				
39201-4900-68.xml	吉原１３Ａ	39201	高知市	任意座標系				
39201-4900-69.xml	吉田町	39201	高知市	任意座標系				
39201-4900-70.xml	久礼野１１Ａ	39201	高知市	任意座標系				
39201-4900-71.xml	久礼野１１Ｂ	39201	高知市	任意座標系				
39201-4900-72.xml	久礼野１１Ｄ	39201	高知市	任意座標系				
39201-4900-73.xml	久礼野１１Ｅ	39201	高知市	任意座標系				
39201-4900-74.xml	久礼野１１Ｆ	39201	高知市	任意座標系				
39201-4900-75.xml	久礼野１１Ｇ	39201	高知市	任意座標系				
39201-4900-76.xml	久礼野１１Ｈ	39201	高知市	任意座標系				
39201-4900-77.xml	久礼野１１Ｉ	39201	高知市	任意座標系				
39201-4900-78.xml	吸江Ｂ	39201	高知市	任意座標系				
39201-4900-79.xml	吸江Ｃ	39201	高知市	任意座標系				
39201-4900-80.xml	鏡葛山（和紙）	39201	高知市	任意座標系				
39201-4900-81.xml	鏡去坂（和紙）Ａ	39201	高知市	任意座標系				
39201-4900-82.xml	鏡今井１７Ａ０１	39201	高知市	公共座標4系	変換	TKY2JGD	1.3.79	2.1.1
39201-4900-83.xml	鏡今井１７Ａ０２	39201	高知市	公共座標4系	測量			
39201-4900-84.xml	鏡小山（和紙）Ａ	39201	高知市	任意座標系				
39201-4900-85.xml	鏡小山（和紙）Ｃ	39201	高知市	任意座標系				
39201-4900-86.xml	鏡草峰１７Ａ０１	39201	高知市	公共座標4系	変換	TKY2JGD	1.3.79	2.1.1
39201-4900-87.xml	鏡増原（和紙）Ａ	39201	高知市	任意座標系				
39201-4900-88.xml	桑尾１２Ａ	39201	高知市	公共座標4系	変換	TKY2JGD	1.3.77	2.0.6
39201-4900-89.xml	五台山Ａ	39201	高知市	任意座標系				
39201-4900-90.xml	五台山Ｂ	39201	高知市	任意座標系				
39201-4900-91.xml	五台山Ｆ	39201	高知市	任意座標系				
39201-4900-92.xml	五台山Ｇ	39201	高知市	任意座標系				
39201-4900-93.xml	五台山Ｈ	39201	高知市	任意座標系				
39201-4900-94.xml	御畳瀬Ａ	39201	高知市	任意座標系				
39201-4900-95.xml	口細山　他	39201	高知市	任意座標系				
39201-4900-96.xml	幸崎	39201	高知市	任意座標系				
39201-4900-97.xml	幸町Ｂ	39201	高知市	任意座標系				
39201-4900-98.xml	弘岡下１１Ａ	39201	高知市	任意座標系				
39201-4900-99.xml	弘岡下１１Ｂ	39201	高知市	任意座標系				
39201-4900-100.xml	弘岡下１１Ｃ	39201	高知市	任意座標系				
39201-4900-101.xml	弘岡下１１Ｄ	39201	高知市	任意座標系				
39201-4900-102.xml	弘瀬Ａ	39201	高知市	公共座標4系	変換	TKY2JGD	1.3.77	2.0.6
39201-4900-103.xml	弘岡下１１Ｅ	39201	高知市	任意座標系				
39201-4900-104.xml	弘岡下１１Ｆ	39201	高知市	任意座標系				
39201-4900-105.xml	弘岡下１２Ａ	39201	高知市	任意座標系				
39201-4900-106.xml	弘岡下１２Ｂ	39201	高知市	任意座標系				
39201-4900-107.xml	弘岡下１２Ｃ	39201	高知市	任意座標系				
39201-4900-108.xml	弘岡上１１Ｃ	39201	高知市	任意座標系				
39201-4900-109.xml	弘岡上１１Ｄ	39201	高知市	任意座標系				
39201-4900-110.xml	弘岡上１１Ｅ	39201	高知市	任意座標系				
39201-4900-111.xml	弘岡上１１Ｆ	39201	高知市	任意座標系				
39201-4900-112.xml	弘岡上１２Ａ	39201	高知市	任意座標系				
39201-4900-113.xml	弘岡中１１Ｃ	39201	高知市	任意座標系				
39201-4900-114.xml	弘岡中１１Ｄ	39201	高知市	任意座標系				
39201-4900-115.xml	弘岡中１２Ａ	39201	高知市	任意座標系				
39201-4900-116.xml	弘瀬Ｂ	39201	高知市	公共座標4系	変換	TKY2JGD	1.3.77	2.0.6
39201-4900-117.xml	江陽町	39201	高知市	任意座標系				
39201-4900-118.xml	甲殿１２Ａ	39201	高知市	任意座標系				
39201-4900-119.xml	甲殿１２Ｂ	39201	高知市	任意座標系				
39201-4900-120.xml	行川Ａ	39201	高知市	任意座標系				
39201-4900-121.xml	甲殿１２Ｃ	39201	高知市	任意座標系				
39201-4900-122.xml	甲殿１２Ｄ	39201	高知市	任意座標系				
39201-4900-123.xml	高見町Ａ	39201	高知市	任意座標系				
39201-4900-124.xml	高見町Ｂ	39201	高知市	任意座標系				
39201-4900-125.xml	高須Ｂ	39201	高知市	任意座標系				
39201-4900-126.xml	高須Ｃ	39201	高知市	任意座標系				
39201-4900-127.xml	高須新町１２Ａ	39201	高知市	任意座標系				
39201-4900-128.xml	高川１２Ａ	39201	高知市	公共座標4系	変換	TKY2JGD	1.3.77	2.0.6
39201-4900-129.xml	高川１３Ａ	39201	高知市	公共座標4系	変換	TKY2JGD	1.3.77	2.0.6
39201-4900-130.xml	高知市鴨部字長畑	39201	高知市	任意座標系				
39201-4900-131.xml	高知市池	39201	高知市	任意座標系				
39201-4900-132.xml	今井１３Ａ	39201	高知市	公共座標4系	変換	TKY2JGD	1.3.77	2.0.6
39201-4900-133.xml	堺町	39201	高知市	任意座標系				
39201-4900-134.xml	佐々木町161025	39201	高知市	公共座標4系	測量			
39201-4900-135.xml	佐々木町161108	39201	高知市	公共座標4系	測量			
39201-4900-136.xml	菜園場町	39201	高知市	任意座標系				
39201-4900-137.xml	桜井町	39201	高知市	任意座標系				
39201-4900-138.xml	桜場町	39201	高知市	任意座標系				
39201-4900-139.xml	三園町	39201	高知市	任意座標系				
39201-4900-140.xml	三谷Ａ	39201	高知市	任意座標系				
39201-4900-141.xml	三谷Ｂ	39201	高知市	任意座標系				
39201-4900-142.xml	三谷Ｃ	39201	高知市	任意座標系				
39201-4900-143.xml	山ノ端町	39201	高知市	任意座標系				
39201-4900-144.xml	桟橋通１丁目・他	39201	高知市	任意座標系				
39201-4900-145.xml	桟橋通５～６丁目	39201	高知市	任意座標系				
39201-4900-146.xml	桟橋通Ａ	39201	高知市	任意座標系				
39201-4900-147.xml	桟橋道３～４丁目	39201	高知市	任意座標系				
39201-4900-148.xml	七ツ渕Ａ	39201	高知市	任意座標系				
39201-4900-149.xml	七ツ渕Ｂ	39201	高知市	任意座標系				
39201-4900-150.xml	柴巻Ａ	39201	高知市	任意座標系				
39201-4900-151.xml	七ツ渕Ｃ	39201	高知市	任意座標系				
39201-4900-152.xml	七ツ渕Ｄ	39201	高知市	任意座標系				
39201-4900-153.xml	七ツ渕Ｅ	39201	高知市	任意座標系				
39201-4900-154.xml	七ツ渕Ｆ	39201	高知市	任意座標系				
39201-4900-155.xml	柴巻Ｂ	39201	高知市	任意座標系				
39201-4900-156.xml	若松町	39201	高知市	任意座標系				
39201-4900-157.xml	若草町Ａ	39201	高知市	任意座標系				
39201-4900-158.xml	若草町Ｂ	39201	高知市	任意座標系				
39201-4900-159.xml	若草南町Ａ	39201	高知市	任意座標系				
39201-4900-160.xml	若草南町Ｂ	39201	高知市	任意座標系				
39201-4900-161.xml	狩山１３Ａ	39201	高知市	任意座標系				
39201-4900-162.xml	寿町	39201	高知市	任意座標系				
39201-4900-163.xml	宗安寺Ａ	39201	高知市	任意座標系				
39201-4900-164.xml	宗安寺Ｂ	39201	高知市	任意座標系				
39201-4900-165.xml	宗安寺Ｃ	39201	高知市	任意座標系				
39201-4900-166.xml	宗安寺Ｄ	39201	高知市	任意座標系				
39201-4900-167.xml	秋山１１Ａ	39201	高知市	任意座標系				
39201-4900-168.xml	秋山１１Ｄ	39201	高知市	任意座標系				
39201-4900-169.xml	秋山１１Ｅ	39201	高知市	任意座標系				
39201-4900-170.xml	秋山１１Ｆ	39201	高知市	任意座標系				
39201-4900-171.xml	秋山１２Ａ	39201	高知市	任意座標系				
39201-4900-172.xml	十津１３Ａ	39201	高知市	任意座標系				
39201-4900-173.xml	十津１３Ｂ	39201	高知市	任意座標系				
39201-4900-174.xml	十津４丁目２５５２	39201	高知市	任意座標系				
39201-4900-175.xml	重倉１１Ａ	39201	高知市	任意座標系				
39201-4900-176.xml	重倉１１Ｂ	39201	高知市	任意座標系				
39201-4900-177.xml	曙町Ａ	39201	高知市	任意座標系				
39201-4900-178.xml	曙町Ｂ	39201	高知市	任意座標系				
39201-4900-179.xml	升形	39201	高知市	任意座標系				
39201-4900-180.xml	小石木町Ａ	39201	高知市	任意座標系				
39201-4900-181.xml	小石木町Ｂ	39201	高知市	任意座標系				
39201-4900-182.xml	小石木町Ｃ	39201	高知市	任意座標系				
39201-4900-183.xml	小石木町Ｄ	39201	高知市	任意座標系				
39201-4900-184.xml	小倉町	39201	高知市	任意座標系				
39201-4900-185.xml	小津町Ａ	39201	高知市	任意座標系				
39201-4900-186.xml	小津町Ｂ	39201	高知市	任意座標系				
39201-4900-187.xml	小浜１２Ａ	39201	高知市	公共座標4系	変換	TKY2JGD	1.3.77	2.0.6
39201-4900-188.xml	小浜１２Ｂ	39201	高知市	公共座標4系	変換	TKY2JGD	1.3.77	2.0.6
39201-4900-189.xml	昭和町	39201	高知市	任意座標系				
39201-4900-190.xml	菖蒲１２Ａ	39201	高知市	公共座標4系	変換	TKY2JGD	1.3.77	2.0.6
39201-4900-191.xml	上里	39201	高知市	任意座標系				
39201-4900-192.xml	菖蒲１２Ｂ	39201	高知市	公共座標4系	変換	TKY2JGD	1.3.77	2.0.6
39201-4900-193.xml	上町１～３丁目・他	39201	高知市	任意座標系				
39201-4900-194.xml	城見町	39201	高知市	任意座標系				
39201-4900-195.xml	城北町	39201	高知市	任意座標系				
39201-4900-196.xml	新田町	39201	高知市	任意座標系				
39201-4900-197.xml	新本町	39201	高知市	任意座標系				
39201-4900-198.xml	新本町１丁目	39201	高知市	任意座標系				
39201-4900-199.xml	森山１２Ａ	39201	高知市	任意座標系				
39201-4900-200.xml	森山１２Ｂ	39201	高知市	任意座標系				
39201-4900-201.xml	森山１２Ｃ	39201	高知市	任意座標系				
39201-4900-202.xml	森山１２Ｄ	39201	高知市	任意座標系				
39201-4900-203.xml	森山１２Ｅ	39201	高知市	任意座標系				
39201-4900-204.xml	深谷町	39201	高知市	任意座標系				
39201-4900-205.xml	神田I	39201	高知市	任意座標系				
39201-4900-206.xml	神田J	39201	高知市	任意座標系				
39201-4900-207.xml	神田１７Ａ０１	39201	高知市	任意座標系				
39201-4900-208.xml	神田２	39201	高知市	任意座標系				
39201-4900-209.xml	神田３	39201	高知市	任意座標系				
39201-4900-210.xml	神田Ｅ	39201	高知市	任意座標系				
39201-4900-211.xml	神田Ｆ	39201	高知市	任意座標系				
39201-4900-212.xml	神田Ｇ	39201	高知市	任意座標系				
39201-4900-213.xml	神田Ｈ	39201	高知市	任意座標系				
39201-4900-214.xml	針木西１３Ａ	39201	高知市	任意座標系				
39201-4900-215.xml	針木西１３Ｂ	39201	高知市	任意座標系				
39201-4900-216.xml	針木北１３Ａ	39201	高知市	任意座標系				
39201-4900-217.xml	仁ノ１１Ａ	39201	高知市	任意座標系				
39201-4900-218.xml	仁ノ１１Ｃ	39201	高知市	任意座標系				
39201-4900-219.xml	仁ノ１１Ｄ	39201	高知市	任意座標系				
39201-4900-220.xml	仁ノ１１Ｅ	39201	高知市	任意座標系				
39201-4900-221.xml	仁井田１３Ａ	39201	高知市	任意座標系				
39201-4900-222.xml	仁井田Ａ	39201	高知市	任意座標系				
39201-4900-223.xml	西久万	39201	高知市	任意座標系				
39201-4900-224.xml	仁井田Ｅ	39201	高知市	任意座標系				
39201-4900-225.xml	瀬戸１３Ａ	39201	高知市	任意座標系				
39201-4900-226.xml	瀬戸西町１～２丁目	39201	高知市	任意座標系				
39201-4900-227.xml	瀬戸西町Ａ	39201	高知市	任意座標系				
39201-4900-228.xml	瀬戸西町Ｂ	39201	高知市	任意座標系				
39201-4900-229.xml	瀬戸東町	39201	高知市	任意座標系				
39201-4900-230.xml	瀬戸東町１～３丁目	39201	高知市	任意座標系				
39201-4900-231.xml	瀬戸南町１３Ａ	39201	高知市	任意座標系				
39201-4900-232.xml	西諸木（数値）１３Ａ	39201	高知市	公共座標4系	変換	TKY2JGD	1.3.77	2.0.6
39201-4900-233.xml	西諸木１２Ａ	39201	高知市	任意座標系				
39201-4900-234.xml	西諸木１２Ｂ	39201	高知市	任意座標系				
39201-4900-235.xml	西諸木１２Ｄ	39201	高知市	任意座標系				
39201-4900-236.xml	西新屋敷	39201	高知市	任意座標系				
39201-4900-237.xml	西秦泉寺	39201	高知市	任意座標系				
39201-4900-238.xml	西川１２Ａ	39201	高知市	公共座標4系	変換	TKY2JGD	1.3.77	2.0.6
39201-4900-239.xml	西川１３Ａ	39201	高知市	公共座標4系	変換	TKY2JGD	1.3.77	2.0.6
39201-4900-240.xml	西町　他	39201	高知市	任意座標系				
39201-4900-241.xml	前里	39201	高知市	任意座標系				
39201-4900-242.xml	西畑１２Ａ	39201	高知市	任意座標系				
39201-4900-243.xml	西畑１２Ｂ	39201	高知市	任意座標系				
39201-4900-244.xml	西畑１２Ｃ	39201	高知市	任意座標系				
39201-4900-245.xml	西畑１２Ｄ	39201	高知市	任意座標系				
39201-4900-246.xml	西分１２Ａ	39201	高知市	任意座標系				
39201-4900-247.xml	西分１２Ｂ	39201	高知市	任意座標系				
39201-4900-248.xml	西分１２Ｄ	39201	高知市	任意座標系				
39201-4900-249.xml	西分１２Ｅ	39201	高知市	任意座標系				
39201-4900-250.xml	西分１２Ｆ	39201	高知市	任意座標系				
39201-4900-251.xml	西分１２Ｇ	39201	高知市	任意座標系				
39201-4900-252.xml	西分１２Ｈ	39201	高知市	任意座標系				
39201-4900-253.xml	西分１２Ｉ	39201	高知市	任意座標系				
39201-4900-254.xml	西分１２Ｊ	39201	高知市	任意座標系				
39201-4900-255.xml	西分１２Ｋ	39201	高知市	任意座標系				
39201-4900-256.xml	西分１２Ｌ	39201	高知市	任意座標系				
39201-4900-257.xml	西分１２Ｍ	39201	高知市	任意座標系				
39201-4900-258.xml	西分１２Ｎ	39201	高知市	任意座標系				
39201-4900-259.xml	石立町　　他	39201	高知市	任意座標系				
39201-4900-260.xml	相生町	39201	高知市	任意座標系				
39201-4900-261.xml	相模町	39201	高知市	任意座標系				
39201-4900-262.xml	帯屋町	39201	高知市	任意座標系				
39201-4900-263.xml	大河内１２Ａ	39201	高知市	公共座標4系	変換	TKY2JGD	1.3.77	2.0.6
39201-4900-264.xml	大河内１２Ｂ	39201	高知市	公共座標4系	変換	TKY2JGD	1.3.77	2.0.6
39201-4900-265.xml	大川筋１～２丁目	39201	高知市	任意座標系				
39201-4900-266.xml	大膳町	39201	高知市	任意座標系				
39201-4900-267.xml	大谷公園町Ａ	39201	高知市	任意座標系				
39201-4900-268.xml	大谷公園町Ｂ	39201	高知市	任意座標系				
39201-4900-269.xml	大津１２Ａ	39201	高知市	任意座標系				
39201-4900-270.xml	大津１２Ｅ	39201	高知市	任意座標系				
39201-4900-271.xml	大津１２Ｆ	39201	高知市	任意座標系				
39201-4900-272.xml	大津１２Ｇ	39201	高知市	任意座標系				
39201-4900-273.xml	大利１２Ａ	39201	高知市	公共座標4系	変換	TKY2JGD	1.3.77	2.0.6
39201-4900-274.xml	大利１３Ａ	39201	高知市	公共座標4系	変換	TKY2JGD	1.3.77	2.0.6
39201-4900-275.xml	鷹匠町　他	39201	高知市	任意座標系				
39201-4900-276.xml	鷹匠町１～２丁目	39201	高知市	任意座標系				
39201-4900-277.xml	知寄町	39201	高知市	任意座標系				
39201-4900-278.xml	池１３Ａ	39201	高知市	任意座標系				
39201-4900-279.xml	池１３Ｂ	39201	高知市	公共座標4系	変換	TKY2JGD	1.3.77	2.0.6
39201-4900-280.xml	池１３Ｃ	39201	高知市	公共座標4系	変換	TKY2JGD	1.3.77	2.0.6
39201-4900-281.xml	池１３Ｄ	39201	高知市	公共座標4系	変換	TKY2JGD	1.3.77	2.0.6
39201-4900-282.xml	池Ａ	39201	高知市	任意座標系				
39201-4900-283.xml	池Ｂ	39201	高知市	任意座標系				
39201-4900-284.xml	池Ｃ	39201	高知市	任意座標系				
39201-4900-285.xml	朝倉	39201	高知市	任意座標系				
39201-4900-286.xml	中久万	39201	高知市	任意座標系				
39201-4900-287.xml	中秦泉寺Ａ	39201	高知市	任意座標系				
39201-4900-288.xml	中秦泉寺Ｂ	39201	高知市	任意座標系				
39201-4900-289.xml	中水道	39201	高知市	任意座標系				
39201-4900-290.xml	中宝永町	39201	高知市	任意座標系				
39201-4900-291.xml	中万々	39201	高知市	任意座標系				
39201-4900-292.xml	仲田町	39201	高知市	任意座標系				
39201-4900-293.xml	朝倉１３Ａ	39201	高知市	任意座標系				
39201-4900-294.xml	朝倉１３Ｂ	39201	高知市	公共座標4系	変換	TKY2JGD	1.3.77	2.0.6
39201-4900-295.xml	朝倉Ａ	39201	高知市	任意座標系				
39201-4900-296.xml	朝倉Ｂ	39201	高知市	任意座標系				
39201-4900-297.xml	朝倉Ｃ	39201	高知市	任意座標系				
39201-4900-298.xml	朝倉Ｄ	39201	高知市	任意座標系				
39201-4900-299.xml	朝倉Ｆ	39201	高知市	任意座標系				
39201-4900-300.xml	朝倉Ｈ-1	39201	高知市	任意座標系				
39201-4900-301.xml	朝倉Ｈ-2	39201	高知市	任意座標系				
39201-4900-302.xml	朝倉Ｉ	39201	高知市	任意座標系				
39201-4900-303.xml	朝倉Ｊ	39201	高知市	任意座標系				
39201-4900-304.xml	朝倉Ｌ	39201	高知市	任意座標系				
39201-4900-305.xml	朝倉Ｍ	39201	高知市	任意座標系				
39201-4900-306.xml	朝倉Ｎ	39201	高知市	任意座標系				
39201-4900-307.xml	朝倉Ｏ	39201	高知市	任意座標系				
39201-4900-308.xml	朝倉Ｐ	39201	高知市	任意座標系				
39201-4900-309.xml	朝倉Ｑ	39201	高知市	任意座標系				
39201-4900-310.xml	朝倉Ｒ	39201	高知市	任意座標系				
39201-4900-311.xml	朝倉Ｓ	39201	高知市	任意座標系				
39201-4900-312.xml	朝倉西町１３Ａ	39201	高知市	任意座標系				
39201-4900-313.xml	朝倉本町Ｂ	39201	高知市	任意座標系				
39201-4900-314.xml	潮見台１３Ａ	39201	高知市	任意座標系				
39201-4900-315.xml	潮新町	39201	高知市	任意座標系				
39201-4900-316.xml	潮新町１３Ａ	39201	高知市	任意座標系				
39201-4900-317.xml	唐岩	39201	高知市	任意座標系				
39201-4900-318.xml	長浜１３Ａ	39201	高知市	任意座標系				
39201-4900-319.xml	長浜１３Ｂ	39201	高知市	任意座標系				
39201-4900-320.xml	長浜Ａ	39201	高知市	任意座標系				
