ファイル名	地図名	市区町村コード	市区町村名	座標系	測地系判別	変換プログラム	変換プログラムバージョン	変換パラメータバージョン
40101-2908-1.xml	伊川Ａ	40101	北九州市門司区	任意座標系				
40101-2908-2.xml	伊川Ｂ	40101	北九州市門司区	任意座標系				
40101-2908-3.xml	稲積１～２丁目	40101	北九州市門司区	任意座標系				
40101-2908-4.xml	羽山２丁目	40101	北九州市門司区	任意座標系				
40101-2908-5.xml	猿喰Ａ	40101	北九州市門司区	任意座標系				
40101-2908-6.xml	猿喰Ｂ	40101	北九州市門司区	任意座標系				
40101-2908-7.xml	奥田１～５丁目	40101	北九州市門司区	任意座標系				
40101-2908-8.xml	花月園	40101	北九州市門司区	任意座標系				
40101-2908-9.xml	葛葉１～３丁目・二夕松町	40101	北九州市門司区	任意座標系				
40101-2908-10.xml	喜多久Ａ	40101	北九州市門司区	任意座標系				
40101-2908-11.xml	喜多久Ｂ	40101	北九州市門司区	任意座標系				
40101-2908-12.xml	吉志Ａ	40101	北九州市門司区	任意座標系				
40101-2908-13.xml	旧門司１～２丁目・畑田町・門司	40101	北九州市門司区	任意座標系				
40101-2908-14.xml	錦町・栄町・本町・港町	40101	北九州市門司区	任意座標系				
40101-2908-15.xml	恒見Ａ	40101	北九州市門司区	任意座標系				
40101-2908-16.xml	恒見Ｂ	40101	北九州市門司区	任意座標系				
40101-2908-17.xml	恒見Ｃ	40101	北九州市門司区	任意座標系				
40101-2908-18.xml	恒見Ｄ	40101	北九州市門司区	任意座標系				
40101-2908-19.xml	高砂町	40101	北九州市門司区	任意座標系				
40101-2908-20.xml	黒川Ａ	40101	北九州市門司区	任意座標系				
40101-2908-21.xml	黒川Ｂ	40101	北九州市門司区	任意座標系				
40101-2908-22.xml	黒川Ｃ	40101	北九州市門司区	任意座標系				
40101-2908-23.xml	今津	40101	北九州市門司区	任意座標系				
40101-2908-24.xml	寺内	40101	北九州市門司区	任意座標系				
40101-2908-25.xml	寺内（数値分）１６Ｂ０１	40101	北九州市門司区	公共座標2系	測量			
40101-2908-26.xml	寺内１～３丁目・永黒２丁目・城山町	40101	北九州市門司区	任意座標系				
40101-2908-27.xml	小森江１丁目	40101	北九州市門司区	任意座標系				
40101-2908-28.xml	松原１～３丁目	40101	北九州市門司区	任意座標系				
40101-2908-29.xml	上本町	40101	北九州市門司区	任意座標系				
40101-2908-30.xml	上藤松１～３丁目・藤松１～３丁目他	40101	北九州市門司区	任意座標系				
40101-2908-31.xml	上二十日町・中二十日町・下二十日町他	40101	北九州市門司区	任意座標系				
40101-2908-32.xml	上馬寄１～３丁目	40101	北九州市門司区	任意座標系				
40101-2908-33.xml	新開	40101	北九州市門司区	任意座標系				
40101-2908-34.xml	新原町	40101	北九州市門司区	任意座標系				
40101-2908-35.xml	新門司１～２丁目	40101	北九州市門司区	任意座標系				
40101-2908-36.xml	新門司３丁目	40101	北九州市門司区	任意座標系				
40101-2908-37.xml	新門司北１～３丁目	40101	北九州市門司区	任意座標系				
40101-2908-38.xml	清見１～４丁目	40101	北九州市門司区	任意座標系				
40101-2908-39.xml	清滝１～５丁目	40101	北九州市門司区	任意座標系				
40101-2908-40.xml	西海岸１～３丁目	40101	北九州市門司区	任意座標系				
40101-2908-41.xml	西新	40101	北九州市門司区	公共座標2系	変換	TKY2JGD	1.3.77	2.0.6
40101-2908-42.xml	青葉台	40101	北九州市門司区	任意座標系				
40101-2908-43.xml	泉ヶ丘	40101	北九州市門司区	任意座標系				
40101-2908-44.xml	太刀浦海岸	40101	北九州市門司区	任意座標系				
40101-2908-45.xml	大久保１～３丁目	40101	北九州市門司区	任意座標系				
40101-2908-46.xml	大積Ａ	40101	北九州市門司区	任意座標系				
40101-2908-47.xml	大積Ｃ	40101	北九州市門司区	任意座標系				
40101-2908-48.xml	大里Ａ	40101	北九州市門司区	任意座標系				
40101-2908-49.xml	大里Ｂ	40101	北九州市門司区	任意座標系				
40101-2908-50.xml	大里新町・中町	40101	北九州市門司区	任意座標系				
40101-2908-51.xml	大里本町１～３丁目・大里東口・大里本町	40101	北九州市門司区	任意座標系				
40101-2908-52.xml	田野浦	40101	北九州市門司区	任意座標系				
40101-2908-53.xml	田野浦１丁目	40101	北九州市門司区	任意座標系				
40101-2908-54.xml	田野浦２丁目	40101	北九州市門司区	任意座標系				
40101-2908-55.xml	田野浦３丁目	40101	北九州市門司区	任意座標系				
40101-2908-56.xml	田野浦海岸	40101	北九州市門司区	任意座標系				
40101-2908-57.xml	東馬寄	40101	北九州市門司区	任意座標系				
40101-2908-58.xml	東本町１～２丁目・浜町・東港町	40101	北九州市門司区	任意座標系				
40101-2908-59.xml	東門司１～２丁目	40101	北九州市門司区	任意座標系				
40101-2908-60.xml	桃山台	40101	北九州市門司区	任意座標系				
40101-2908-61.xml	南本町	40101	北九州市門司区	任意座標系				
40101-2908-62.xml	梅ノ木町	40101	北九州市門司区	任意座標系				
40101-2908-63.xml	白野江Ｂ	40101	北九州市門司区	任意座標系				
40101-2908-64.xml	白野江Ｃ	40101	北九州市門司区	任意座標系				
40101-2908-65.xml	白野江Ｄ	40101	北九州市門司区	任意座標系				
40101-2908-66.xml	畑Ａ	40101	北九州市門司区	任意座標系				
40101-2908-67.xml	白野江Ｅ	40101	北九州市門司区	任意座標系				
40101-2908-68.xml	白野江Ｆ	40101	北九州市門司区	任意座標系				
40101-2908-69.xml	畑Ｂ	40101	北九州市門司区	任意座標系				
40101-2908-70.xml	畑Ｃ	40101	北九州市門司区	任意座標系				
40101-2908-71.xml	畑Ｄ	40101	北九州市門司区	任意座標系				
40101-2908-72.xml	不老町１～２丁目・柳原町・別院他	40101	北九州市門司区	任意座標系				
40101-2908-73.xml	風師	40101	北九州市門司区	任意座標系				
40101-2908-74.xml	風師１～２丁目	40101	北九州市門司区	任意座標系				
40101-2908-75.xml	柄杓田Ａ	40101	北九州市門司区	任意座標系				
40101-2908-76.xml	片上町	40101	北九州市門司区	任意座標系				
40101-2908-77.xml	柄杓田Ｂ	40101	北九州市門司区	任意座標系				
