ファイル名	地図名	市区町村コード	市区町村名	座標系	測地系判別	変換プログラム	変換プログラムバージョン	変換パラメータバージョン
41201-3000-1.xml	愛敬町	41201	佐賀市	任意座標系				
41201-3000-2.xml	（１９９４．１２調）大字三瀬	41201	佐賀市	公共座標2系	測量			
41201-3000-3.xml	（１９９８．１・他調）大字藤原	41201	佐賀市	公共座標2系	測量			
41201-3000-4.xml	（１９９８．１０調）久保泉町大字下和泉	41201	佐賀市	公共座標2系	測量			
41201-3000-5.xml	（２００１．６調）鍋島町大字森田	41201	佐賀市	公共座標2系	測量			
41201-3000-6.xml	１９８７土地改良図大字小々森・犬井道・他	41201	佐賀市	公共座標2系	変換	TKY2JGD	1.3.77	2.0.6
41201-3000-7.xml	１９８８年土地改良図大字小々森	41201	佐賀市	公共座標2系	変換	TKY2JGD	1.3.77	2.0.6
41201-3000-8.xml	江上	41201	佐賀市	任意座標系				
41201-3000-9.xml	１９９０土地改良図大字早津江・犬井道	41201	佐賀市	公共座標2系	変換	TKY2JGD	1.3.77	2.0.6
41201-3000-10.xml	１９９４土地改良図諸富町大字為重	41201	佐賀市	公共座標2系	変換	TKY2JGD	1.3.77	2.0.6
41201-3000-11.xml	１９９５土改・犬井道	41201	佐賀市	公共座標2系	変換	TKY2JGD	1.3.77	2.0.6
41201-3000-12.xml	１９９４土地改良図大字福富・鹿江・他	41201	佐賀市	公共座標2系	変換	TKY2JGD	1.3.77	2.0.6
41201-3000-13.xml	１９９６土改・久保泉町下和泉外	41201	佐賀市	公共座標2系	変換	TKY2JGD	1.3.77	2.0.6
41201-3000-14.xml	１９９６土地改良図大字鹿江・犬井道	41201	佐賀市	公共座標2系	変換	TKY2JGD	1.3.77	2.0.6
41201-3000-15.xml	１９９６土地改良図大字上和泉・下和泉	41201	佐賀市	公共座標2系	変換	TKY2JGD	1.3.77	2.0.6
41201-3000-16.xml	１９９６土地改良図大字川久保・金立	41201	佐賀市	公共座標2系	変換	TKY2JGD	1.3.77	2.0.6
41201-3000-17.xml	１９９６土地改良図大字南里・福富	41201	佐賀市	公共座標2系	変換	TKY2JGD	1.3.77	2.0.6
41201-3000-18.xml	１９９７土地改良図大字犬井道	41201	佐賀市	公共座標2系	変換	TKY2JGD	1.3.77	2.0.6
41201-3000-19.xml	１９９７土地改良図大字江上・光法・他	41201	佐賀市	公共座標2系	変換	TKY2JGD	1.3.77	2.0.6
41201-3000-20.xml	１９９７土地改良図大字修理田・高尾・東西	41201	佐賀市	公共座標2系	変換	TKY2JGD	1.3.77	2.0.6
41201-3000-21.xml	１９９８調査地籍図大字福富	41201	佐賀市	公共座標2系	変換	TKY2JGD	1.3.77	2.0.6
41201-3000-22.xml	栄町Ａ	41201	佐賀市	任意座標系				
41201-3000-23.xml	１９９８土改・金立町金立外	41201	佐賀市	公共座標2系	変換	TKY2JGD	1.3.77	2.0.6
41201-3000-24.xml	１９９９地籍図大字福富・早津江・早津江津	41201	佐賀市	公共座標2系	変換	TKY2JGD	1.3.77	2.0.6
41201-3000-25.xml	２０００地籍・早津江・早津江津	41201	佐賀市	公共座標2系	変換	TKY2JGD	1.3.77	2.0.6
41201-3000-26.xml	２０００地籍・藤原	41201	佐賀市	公共座標2系	変換	TKY2JGD	1.3.77	2.0.6
41201-3000-27.xml	為重・山領（１９９０年１２月調査）	41201	佐賀市	公共座標2系	変換	TKY2JGD	1.3.77	2.0.6
41201-3000-28.xml	為重・山領（１９９０年１月調査）	41201	佐賀市	公共座標2系	変換	TKY2JGD	1.3.77	2.0.6
41201-3000-29.xml	駅前中央１丁目	41201	佐賀市	任意座標系				
41201-3000-30.xml	駅前中央１～３丁目	41201	佐賀市	任意座標系				
41201-3000-31.xml	駅前本町	41201	佐賀市	任意座標系				
41201-3000-32.xml	荻野・森田（１９９４年８月調査）	41201	佐賀市	公共座標2系	変換	TKY2JGD	1.3.77	2.0.6
41201-3000-33.xml	呉服元町	41201	佐賀市	任意座標系				
41201-3000-34.xml	下合瀬昭和５８年度土地改良	41201	佐賀市	公共座標2系	変換	TKY2JGD	1.3.77	2.0.6
41201-3000-35.xml	下無津呂平成８年度土地改良Ａ	41201	佐賀市	公共座標2系	変換	TKY2JGD	1.3.77	2.0.6
41201-3000-36.xml	下無津呂平成８年度土地改良Ｂ	41201	佐賀市	公共座標2系	変換	TKY2JGD	1.3.77	2.0.6
