ファイル名	地図名	市区町村コード	市区町村名	座標系	測地系判別	変換プログラム	変換プログラムバージョン	変換パラメータバージョン
42201-3100-1.xml	かき道１・４～６丁目	42201	長崎市	公共座標1系	変換	TKY2JGD	1.3.77	2.0.6
42201-3100-2.xml	かき道１丁目Ａ	42201	長崎市	公共座標1系	変換	TKY2JGD	1.3.77	2.0.6
42201-3100-3.xml	かき道１丁目Ｂ	42201	長崎市	公共座標1系	変換	TKY2JGD	1.3.77	2.0.6
42201-3100-4.xml	かき道２丁目	42201	長崎市	公共座標1系	変換	TKY2JGD	1.3.77	2.0.6
42201-3100-5.xml	かき道３丁目Ａ	42201	長崎市	公共座標1系	変換	TKY2JGD	1.3.77	2.0.6
42201-3100-6.xml	旭町	42201	長崎市	任意座標系				
42201-3100-7.xml	かき道３丁目Ｂ	42201	長崎市	公共座標1系	変換	TKY2JGD	1.3.77	2.0.6
42201-3100-8.xml	かき道４丁目Ａ	42201	長崎市	公共座標1系	変換	TKY2JGD	1.3.77	2.0.6
42201-3100-9.xml	かき道４丁目Ｂ	42201	長崎市	公共座標1系	変換	TKY2JGD	1.3.77	2.0.6
42201-3100-10.xml	かき道４～６丁目	42201	長崎市	公共座標1系	変換	TKY2JGD	1.3.77	2.0.6
42201-3100-11.xml	かき道５・６丁目	42201	長崎市	公共座標1系	変換	TKY2JGD	1.3.77	2.0.6
42201-3100-12.xml	かき道５丁目	42201	長崎市	公共座標1系	変換	TKY2JGD	1.3.77	2.0.6
42201-3100-13.xml	かき道５丁目Ａ	42201	長崎市	公共座標1系	変換	TKY2JGD	1.3.77	2.0.6
42201-3100-14.xml	さくらの里１～３丁目	42201	長崎市	公共座標1系	変換	TKY2JGD	1.3.77	2.0.6
42201-3100-15.xml	愛宕３丁目	42201	長崎市	任意座標系				
42201-3100-16.xml	エミネント葉山町	42201	長崎市	任意座標系				
42201-3100-17.xml	スイートタウン夢が丘（数値）	42201	長崎市	公共座標1系	変換	TKY2JGD	1.3.77	2.0.6
42201-3100-18.xml	ダイヤランド１・２・３・４丁目Ａ地区	42201	長崎市	公共座標1系	変換	TKY2JGD	1.3.77	2.0.6
42201-3100-19.xml	ダイヤランド１・２・３・４丁目Ｂ地区	42201	長崎市	公共座標1系	変換	TKY2JGD	1.3.77	2.0.6
42201-3100-20.xml	ダイヤランド１・２・３・４丁目Ｃ地区	42201	長崎市	任意座標系				
42201-3100-21.xml	愛宕１・２丁目（拡大）Ａ	42201	長崎市	任意座標系				
42201-3100-22.xml	愛宕１・２丁目（拡大）Ｂ	42201	長崎市	任意座標系				
42201-3100-23.xml	愛宕１丁目（拡大）	42201	長崎市	任意座標系				
42201-3100-24.xml	愛宕３・４丁目（拡大）Ｂ	42201	長崎市	任意座標系				
42201-3100-25.xml	愛宕４丁目	42201	長崎市	任意座標系				
42201-3100-26.xml	愛宕４丁目別図	42201	長崎市	任意座標系				
42201-3100-27.xml	愛宕４丁目別図２	42201	長崎市	任意座標系				
42201-3100-28.xml	愛宕４丁目別図３	42201	長崎市	任意座標系				
42201-3100-29.xml	以下宿高浜	42201	長崎市	公共座標1系	変換	TKY2JGD	1.3.77	2.0.6
42201-3100-30.xml	伊王島Ａ	42201	長崎市	任意座標系				
42201-3100-31.xml	伊王島Ｂ	42201	長崎市	任意座標系				
42201-3100-32.xml	伊王島Ｃ	42201	長崎市	任意座標系				
42201-3100-33.xml	伊良林１・２・３丁目・新中川町	42201	長崎市	任意座標系				
42201-3100-34.xml	磯道町Ａ	42201	長崎市	公共座標1系	変換	TKY2JGD	1.3.77	2.0.6
42201-3100-35.xml	磯道町Ｂ	42201	長崎市	任意座標系				
42201-3100-36.xml	稲佐町・音無町	42201	長崎市	任意座標系				
42201-3100-37.xml	園田町地区	42201	長崎市	任意座標系				
42201-3100-38.xml	桶町	42201	長崎市	任意座標系				
42201-3100-39.xml	横尾１・２・３・４・５丁目Ａ地区	42201	長崎市	任意座標系				
42201-3100-40.xml	横尾１・２・３・４・５丁目Ｂ地区	42201	長崎市	任意座標系				
42201-3100-41.xml	沖之島字黒山・先畔・栗越・遠見・他	42201	長崎市	任意座標系				
42201-3100-42.xml	沖之島字築港	42201	長崎市	任意座標系				
42201-3100-43.xml	音無町・錦１・２丁目	42201	長崎市	任意座標系				
42201-3100-44.xml	家野町	42201	長崎市	任意座標系				
42201-3100-45.xml	界１・２丁目・宿町	42201	長崎市	任意座標系				
42201-3100-46.xml	柿泊町Ａ	42201	長崎市	任意座標系				
42201-3100-47.xml	畦町	42201	長崎市	任意座標系				
42201-3100-48.xml	柿泊町Ｂ	42201	長崎市	任意座標系				
42201-3100-49.xml	樫山町	42201	長崎市	任意座標系				
42201-3100-50.xml	樺島Ｂ	42201	長崎市	公共座標1系	変換	TKY2JGD	1.3.77	2.0.6
42201-3100-51.xml	丸尾町・平戸小屋地区	42201	長崎市	任意座標系				
42201-3100-52.xml	岩屋町・葉山１丁目、２丁目	42201	長崎市	任意座標系				
42201-3100-53.xml	岩屋町（拡大）Ａ	42201	長崎市	任意座標系				
42201-3100-54.xml	岩川町	42201	長崎市	任意座標系				
42201-3100-55.xml	宮崎Ａ	42201	長崎市	公共座標1系	変換	TKY2JGD	1.3.77	2.0.6
42201-3100-56.xml	宮崎Ｂ	42201	長崎市	公共座標1系	変換	TKY2JGD	1.3.77	2.0.6
42201-3100-57.xml	宮崎Ｄ	42201	長崎市	公共座標1系	変換	TKY2JGD	1.3.77	2.0.6
42201-3100-58.xml	宮崎Ｅ	42201	長崎市	公共座標1系	変換	TKY2JGD	1.3.77	2.0.6
42201-3100-59.xml	宮摺・三芳町地区	42201	長崎市	任意座標系				
42201-3100-60.xml	魚の町	42201	長崎市	任意座標系				
42201-3100-61.xml	京太郎町	42201	長崎市	任意座標系				
42201-3100-62.xml	京泊町Ａ	42201	長崎市	任意座標系				
42201-3100-63.xml	京泊町Ｂ	42201	長崎市	公共座標1系	変換	TKY2JGD	1.3.77	2.0.6
42201-3100-64.xml	京泊町Ｃ	42201	長崎市	公共座標1系	変換	TKY2JGD	1.3.77	2.0.6
42201-3100-65.xml	琴海形上町１８Ａ０１	42201	長崎市	公共座標1系	変換	TKY2JGD	1.3.79	2.1.1
42201-3100-66.xml	琴海形上町１８Ａ０２	42201	長崎市	公共座標1系	変換	TKY2JGD	1.3.79	2.1.1
42201-3100-67.xml	琴海形上町１８Ａ０３	42201	長崎市	公共座標1系	変換	TKY2JGD	1.3.79	2.1.1
42201-3100-68.xml	琴海形上町１８Ａ０４	42201	長崎市	公共座標1系	変換	TKY2JGD	1.3.79	2.1.1
42201-3100-69.xml	琴海形上町１８Ａ０５	42201	長崎市	公共座標1系	変換	TKY2JGD	1.3.79	2.1.1
42201-3100-70.xml	琴海形上町１８Ａ０６	42201	長崎市	公共座標1系	変換	TKY2JGD	1.3.79	2.1.1
42201-3100-71.xml	琴海形上町１８Ａ０９	42201	長崎市	公共座標1系	変換	TKY2JGD	1.3.79	2.1.1
42201-3100-72.xml	琴海形上町１８Ａ１０	42201	長崎市	公共座標1系	変換	TKY2JGD	1.3.79	2.1.1
42201-3100-73.xml	琴海戸根原町１８Ａ０１	42201	長崎市	公共座標1系	変換	TKY2JGD	1.3.79	2.1.1
42201-3100-74.xml	琴海戸根原町１８Ａ０２	42201	長崎市	公共座標1系	変換	TKY2JGD	1.3.79	2.1.1
42201-3100-75.xml	琴海戸根町１８Ａ０１	42201	長崎市	公共座標1系	変換	TKY2JGD	1.3.79	2.1.1
42201-3100-76.xml	琴海戸根町１８Ａ０３	42201	長崎市	公共座標1系	変換	TKY2JGD	1.3.79	2.1.1
42201-3100-77.xml	琴海戸根町１８Ａ０４	42201	長崎市	公共座標1系	変換	TKY2JGD	1.3.79	2.1.1
42201-3100-78.xml	琴海戸根町１８Ａ０５	42201	長崎市	公共座標1系	変換	TKY2JGD	1.3.79	2.1.1
42201-3100-79.xml	現川町Ａ	42201	長崎市	任意座標系				
42201-3100-80.xml	琴海戸根町１８Ａ０６	42201	長崎市	公共座標1系	変換	TKY2JGD	1.3.79	2.1.1
42201-3100-81.xml	琴海大平町１８Ａ０１	42201	長崎市	公共座標1系	変換	TKY2JGD	1.3.79	2.1.1
42201-3100-82.xml	琴海尾戸町１８Ａ０１	42201	長崎市	公共座標1系	変換	TKY2JGD	1.3.79	2.1.1
42201-3100-83.xml	琴海尾戸町１８Ａ０２	42201	長崎市	公共座標1系	変換	TKY2JGD	1.3.79	2.1.1
42201-3100-84.xml	琴海尾戸町１８Ａ０３	42201	長崎市	公共座標1系	変換	TKY2JGD	1.3.79	2.1.1
42201-3100-85.xml	琴海尾戸町１８Ａ０４	42201	長崎市	公共座標1系	変換	TKY2JGD	1.3.79	2.1.1
42201-3100-86.xml	琴海尾戸町１８Ａ０５	42201	長崎市	公共座標1系	変換	TKY2JGD	1.3.79	2.1.1
42201-3100-87.xml	琴海尾戸町１８Ａ０６	42201	長崎市	公共座標1系	変換	TKY2JGD	1.3.79	2.1.1
42201-3100-88.xml	琴海尾戸町１８Ａ０７	42201	長崎市	公共座標1系	変換	TKY2JGD	1.3.79	2.1.1
42201-3100-89.xml	金堀町・城山台・他	42201	長崎市	任意座標系				
42201-3100-90.xml	畦別当町Ａ	42201	長崎市	任意座標系				
42201-3100-91.xml	畦別当町Ｂ	42201	長崎市	公共座標1系	変換	TKY2JGD	1.3.77	2.0.6
42201-3100-92.xml	見崎町Ａ地区	42201	長崎市	任意座標系				
42201-3100-93.xml	見崎町Ｂ地区	42201	長崎市	任意座標系				
42201-3100-94.xml	見崎町Ｃ地区	42201	長崎市	任意座標系				
42201-3100-95.xml	元・本尾・本石灰町地区	42201	長崎市	任意座標系				
42201-3100-96.xml	現川町Ｂ	42201	長崎市	任意座標系				
42201-3100-97.xml	古・弁天・北栄町地区	42201	長崎市	任意座標系				
42201-3100-98.xml	古河町・国分・小菅・戸田２・３丁目Ａ地区	42201	長崎市	任意座標系				
42201-3100-99.xml	古河町・国分・小菅・戸田２・３丁目Ｂ地区	42201	長崎市	任意座標系				
42201-3100-100.xml	古河町・国分・小菅・戸田２・３丁目Ｃ地区	42201	長崎市	任意座標系				
42201-3100-101.xml	古賀町・つつじが丘１～３丁目	42201	長崎市	任意座標系				
42201-3100-102.xml	古賀町・鶴の尾町	42201	長崎市	任意座標系				
42201-3100-103.xml	古道町	42201	長崎市	任意座標系				
42201-3100-104.xml	古道町（２３８ー４別図）	42201	長崎市	任意座標系				
42201-3100-105.xml	戸石町Ｂ	42201	長崎市	公共座標1系	変換	TKY2JGD	1.3.77	2.0.6
42201-3100-106.xml	戸石町土地改良所在図	42201	長崎市	任意座標系				
42201-3100-107.xml	戸町１丁目	42201	長崎市	任意座標系				
42201-3100-108.xml	戸町３丁目	42201	長崎市	任意座標系				
42201-3100-109.xml	御船蔵町・西坂町・他	42201	長崎市	任意座標系				
42201-3100-110.xml	向町Ａ地区	42201	長崎市	任意座標系				
42201-3100-111.xml	向町Ｂ地区	42201	長崎市	任意座標系				
42201-3100-112.xml	向町Ｃ地区	42201	長崎市	任意座標系				
42201-3100-113.xml	江の浦別図４	42201	長崎市	任意座標系				
42201-3100-114.xml	江川町	42201	長崎市	任意座標系				
42201-3100-115.xml	江平１・２・３丁目Ａ	42201	長崎市	任意座標系				
42201-3100-116.xml	江平１・２・３丁目Ｂ	42201	長崎市	任意座標系				
42201-3100-117.xml	江平１丁目（数値図）	42201	長崎市	公共座標1系	変換	TKY2JGD	1.3.77	2.0.6
42201-3100-118.xml	高島町Ｂ地区	42201	長崎市	任意座標系				
42201-3100-119.xml	高浜Ａ	42201	長崎市	公共座標1系	変換	TKY2JGD	1.3.77	2.0.6
42201-3100-120.xml	高浜Ｂ	42201	長崎市	公共座標1系	変換	TKY2JGD	1.3.77	2.0.6
42201-3100-121.xml	高平町・愛宕１・２丁目	42201	長崎市	任意座標系				
42201-3100-122.xml	高平町・愛宕１丁目（拡大）	42201	長崎市	任意座標系				
42201-3100-123.xml	高平町他（拡大）	42201	長崎市	任意座標系				
42201-3100-124.xml	黒浜以下宿	42201	長崎市	公共座標1系	変換	TKY2JGD	1.3.77	2.0.6
42201-3100-125.xml	坂本一丁目（医・歯学部病院別図／数値）	42201	長崎市	公共座標1系	測量			
42201-3100-126.xml	桜木町・愛宕３丁目（拡大）	42201	長崎市	任意座標系				
42201-3100-127.xml	三ツ山町１８Ａ０１	42201	長崎市	公共座標1系	変換	TKY2JGD	1.3.79	2.1.1
42201-3100-128.xml	三京町Ｂ	42201	長崎市	公共座標1系	変換	TKY2JGD	1.3.77	2.0.6
42201-3100-129.xml	三京町Ｃ	42201	長崎市	公共座標1系	変換	TKY2JGD	1.3.77	2.0.6
42201-3100-130.xml	三京町Ｄ	42201	長崎市	公共座標1系	変換	TKY2JGD	1.3.77	2.0.6
42201-3100-131.xml	三京町Ｅ	42201	長崎市	公共座標1系	変換	TKY2JGD	1.3.77	2.0.6
42201-3100-132.xml	三重町Ａ	42201	長崎市	任意座標系				
42201-3100-133.xml	三重町Ｂ	42201	長崎市	公共座標1系	変換	TKY2JGD	1.3.77	2.0.6
42201-3100-134.xml	三重町Ｃ	42201	長崎市	任意座標系				
42201-3100-135.xml	三重町Ｄ	42201	長崎市	任意座標系				
42201-3100-136.xml	三重田町Ａ	42201	長崎市	任意座標系				
42201-3100-137.xml	三重田町Ｂ	42201	長崎市	任意座標系				
42201-3100-138.xml	三川町Ａ地区	42201	長崎市	任意座標系				
42201-3100-139.xml	三川町Ｂ地区	42201	長崎市	任意座標系				
42201-3100-140.xml	三川町Ｃ地区	42201	長崎市	任意座標系				
42201-3100-141.xml	三和町宮崎牛ノ迫地区土地改良所在図	42201	長崎市	公共座標1系	変換	TKY2JGD	1.3.77	2.0.6
42201-3100-142.xml	三和町折山地区土地改良	42201	長崎市	公共座標1系	変換	TKY2JGD	1.3.77	2.0.6
42201-3100-143.xml	三和町川原地区	42201	長崎市	公共座標1系	変換	TKY2JGD	1.3.77	2.0.6
42201-3100-144.xml	四杖町	42201	長崎市	任意座標系				
42201-3100-145.xml	四杖町Ａ地区	42201	長崎市	任意座標系				
42201-3100-146.xml	四杖町Ｂ地区	42201	長崎市	任意座標系				
42201-3100-147.xml	字後平・他	42201	長崎市	公共座標1系	変換	TKY2JGD	1.3.77	2.0.6
42201-3100-148.xml	字馬手ヶ浦・他	42201	長崎市	公共座標1系	変換	TKY2JGD	1.3.77	2.0.6
42201-3100-149.xml	鹿尾町	42201	長崎市	任意座標系				
42201-3100-150.xml	若竹町・西北町地区	42201	長崎市	任意座標系				
42201-3100-151.xml	若竹町・赤迫（拡大）	42201	長崎市	任意座標系				
42201-3100-152.xml	手熊・式見町地区	42201	長崎市	任意座標系				
42201-3100-153.xml	住吉台町・泉２・３丁目（拡大）	42201	長崎市	任意座標系				
42201-3100-154.xml	住吉町	42201	長崎市	任意座標系				
42201-3100-155.xml	住吉町（拡大）	42201	長崎市	任意座標系				
42201-3100-156.xml	住吉町他（拡大）	42201	長崎市	任意座標系				
42201-3100-157.xml	十人・中新・東小島・中小町１丁目・他地区	42201	長崎市	任意座標系				
42201-3100-158.xml	十人町他	42201	長崎市	任意座標系				
42201-3100-159.xml	宿町・田中町	42201	長崎市	任意座標系				
42201-3100-160.xml	宿町Ａ	42201	長崎市	任意座標系				
42201-3100-161.xml	宿町Ｂ	42201	長崎市	公共座標1系	変換	TKY2JGD	1.3.77	2.0.6
42201-3100-162.xml	出雲１・２・３丁目（拡大）	42201	長崎市	任意座標系				
42201-3100-163.xml	春日町	42201	長崎市	任意座標系				
42201-3100-164.xml	出雲１・３丁目他（拡大）	42201	長崎市	任意座標系				
42201-3100-165.xml	出雲２丁目，２３ー３別図	42201	長崎市	任意座標系				
42201-3100-166.xml	出雲３丁目	42201	長崎市	任意座標系				
42201-3100-167.xml	曙町・江の浦町（拡大）Ｂ	42201	長崎市	任意座標系				
42201-3100-168.xml	曙町別図１	42201	長崎市	任意座標系				
42201-3100-169.xml	女の都１・２・３・４丁目地区	42201	長崎市	任意座標系				
