ファイル名	地図名	市区町村コード	市区町村名	座標系	測地系判別	変換プログラム	変換プログラムバージョン	変換パラメータバージョン
43101-3300-1.xml	花畑町・稗田町・他	43101	熊本市中央区	任意座標系				
43101-3300-2.xml	九品寺１・２丁目	43101	熊本市中央区	任意座標系				
43101-3300-3.xml	九品寺３～６丁目	43101	熊本市中央区	任意座標系				
43101-3300-4.xml	熊本市水前寺公園	43101	熊本市中央区	任意座標系				
43101-3300-5.xml	古桶屋町・古川町・他	43101	熊本市中央区	任意座標系				
43101-3300-6.xml	呉服町１～３丁目・他	43101	熊本市中央区	任意座標系				
43101-3300-7.xml	紺屋町１～３丁目・他	43101	熊本市中央区	任意座標系				
43101-3300-8.xml	細工町１～５丁目・桜町	43101	熊本市中央区	任意座標系				
43101-3300-9.xml	鹿帰瀬町・鍛冶屋町・他	43101	熊本市中央区	任意座標系				
43101-3300-10.xml	室町町・薬園町・他	43101	熊本市中央区	任意座標系				
43101-3300-11.xml	上通町・上林町・他	43101	熊本市中央区	任意座標系				
43101-3300-12.xml	菅原町・他	43101	熊本市中央区	任意座標系				
43101-3300-13.xml	打越町・内坪井町・他	43101	熊本市中央区	任意座標系				
43101-3300-14.xml	大江２丁目Ｂ	43101	熊本市中央区	任意座標系				
43101-3300-15.xml	坪井・慶徳堀町・他	43101	熊本市中央区	任意座標系				
43101-3300-16.xml	兎谷１・２丁目・他	43101	熊本市中央区	任意座標系				
43101-3300-17.xml	南千反畑町	43101	熊本市中央区	任意座標系				
43101-3300-18.xml	南坪井・宮内町・他	43101	熊本市中央区	任意座標系				
43101-3300-19.xml	麻生田１・２丁目・他	43101	熊本市中央区	任意座標系				
43101-3300-20.xml	横紺屋町・横手１～３丁目	43101	熊本市中央区	任意座標系				
43101-3300-21.xml	岡田町・帯山１・２丁目	43101	熊本市中央区	任意座標系				
43101-3300-22.xml	下通１・２丁目・他	43101	熊本市中央区	任意座標系				
43101-3300-23.xml	黒髪１～８丁目	43101	熊本市中央区	任意座標系				
43101-3300-24.xml	手取本町・出町・他	43101	熊本市中央区	任意座標系				
43101-3300-25.xml	上熊本１～３丁目・他	43101	熊本市中央区	任意座標系				
43101-3300-26.xml	乗越ヶ丘・白山１～３丁目・他	43101	熊本市中央区	任意座標系				
43101-3300-27.xml	新屋敷１～３丁目・他	43101	熊本市中央区	任意座標系				
43101-3300-28.xml	新南部１丁目・他	43101	熊本市中央区	任意座標系				
43101-3300-29.xml	水前寺１～６丁目・他	43101	熊本市中央区	任意座標系				
43101-3300-30.xml	大江１・２丁目	43101	熊本市中央区	任意座標系				
43101-3300-31.xml	大江３～６丁目・大江本町	43101	熊本市中央区	任意座標系				
43101-3300-32.xml	段山本町・千葉城町・他	43101	熊本市中央区	任意座標系				
43101-3300-33.xml	中唐人町・西阿弥陀寺町・他	43101	熊本市中央区	任意座標系				
43101-3300-34.xml	坪井４～６丁目	43101	熊本市中央区	任意座標系				
43101-3300-35.xml	壷川１・２丁目	43101	熊本市中央区	任意座標系				
43101-3300-36.xml	渡鹿１～８丁目	43101	熊本市中央区	任意座標系				
43101-3300-37.xml	島崎１～４丁目	43101	熊本市中央区	任意座標系				
43101-3300-38.xml	二の丸・楡木町１～３丁目	43101	熊本市中央区	任意座標系				
43101-3300-39.xml	北千反田町・京塚本町・他	43101	熊本市中央区	任意座標系				
43101-3300-40.xml	万町・練兵町	43101	熊本市中央区	任意座標系				
43101-3300-41.xml	ZG2hatioujimati14B01	43101	熊本市中央区	任意座標系				
43101-3300-42.xml	ZG2honjyou114B01	43101	熊本市中央区	任意座標系				
43101-3300-43.xml	ZH2minamikuma3t14C01	43101	熊本市中央区	任意座標系				
43101-3300-44.xml	ZK2edu214A02	43101	熊本市中央区	任意座標系				
43101-3300-45.xml	ZK2harutakemati14B01	43101	熊本市中央区	任意座標系				
43101-3300-46.xml	ZK2hatioujimati14B02	43101	熊本市中央区	任意座標系				
43101-3300-47.xml	ZK2heisei214B01	43101	熊本市中央区	任意座標系				
43101-3300-48.xml	ZK2heisei314B01	43101	熊本市中央区	任意座標系				
43101-3300-49.xml	ZK2honjyou514B03	43101	熊本市中央区	任意座標系				
43101-3300-50.xml	ZK2honjyou614B02	43101	熊本市中央区	任意座標系				
43101-3300-51.xml	ZK2honjyoumati14B02	43101	熊本市中央区	任意座標系				
43101-3300-52.xml	ZK2izumi514A01	43101	熊本市中央区	任意座標系				
43101-3300-53.xml	ZK2izumi614A02	43101	熊本市中央区	任意座標系				
43101-3300-54.xml	ZK2izumi714A02	43101	熊本市中央区	任意座標系				
43101-3300-55.xml	ZK2izumi814A02	43101	熊本市中央区	任意座標系				
43101-3300-56.xml	ZK2jyuuzenji14B01	43101	熊本市中央区	任意座標系				
43101-3300-57.xml	ZK2kokubu114B02	43101	熊本市中央区	任意座標系				
43101-3300-58.xml	ZK2kokubu214B01	43101	熊本市中央区	任意座標系				
43101-3300-59.xml	ZK2kokubu314B02	43101	熊本市中央区	任意座標系				
43101-3300-60.xml	ZK2kokubuhon14B01	43101	熊本市中央区	任意座標系				
43101-3300-61.xml	ZK2kotohira214B02	43101	熊本市中央区	任意座標系				
43101-3300-62.xml	ZK2kotohirahon14B01	43101	熊本市中央区	任意座標系				
43101-3300-63.xml	ZK2kuwamizu114B02	43101	熊本市中央区	任意座標系				
43101-3300-64.xml	ZK2kuwamizuhon14B01	43101	熊本市中央区	任意座標系				
43101-3300-65.xml	ZK2motoyamamati14C01	43101	熊本市中央区	任意座標系				
43101-3300-66.xml	ZK2mukaemati1t14C01	43101	熊本市中央区	任意座標系				
43101-3300-67.xml	ZK3honjyoumati14B03	43101	熊本市中央区	任意座標系				
43101-3300-68.xml	ZK4heisei114B01	43101	熊本市中央区	任意座標系				
