ファイル名	地図名	市区町村コード	市区町村名	座標系	測地系判別	変換プログラム	変換プログラムバージョン	変換パラメータバージョン
44201-3200-1.xml	かたしま台１～３丁目	44201	大分市	任意座標系				
44201-3200-2.xml	けやき台１～４丁目	44201	大分市	任意座標系				
44201-3200-3.xml	にじが丘１丁目	44201	大分市	任意座標系				
44201-3200-4.xml	にじが丘２丁目	44201	大分市	任意座標系				
44201-3200-5.xml	にじが丘３丁目Ａ	44201	大分市	任意座標系				
44201-3200-6.xml	にじが丘３丁目Ｂ	44201	大分市	任意座標系				
44201-3200-7.xml	はなの森	44201	大分市	任意座標系				
44201-3200-8.xml	ひばりヶ丘１～５丁目	44201	大分市	任意座標系				
44201-3200-9.xml	安藤Ａ	44201	大分市	任意座標系				
44201-3200-10.xml	安藤Ｂ	44201	大分市	任意座標系				
44201-3200-11.xml	羽屋Ａ	44201	大分市	任意座標系				
44201-3200-12.xml	羽屋Ｂ	44201	大分市	任意座標系				
44201-3200-13.xml	荏隈１／２Ａ	44201	大分市	任意座標系				
44201-3200-14.xml	荏隈１／２Ｂ	44201	大分市	任意座標系				
44201-3200-15.xml	奥Ａ	44201	大分市	任意座標系				
44201-3200-16.xml	奥Ａ（地籍図）	44201	大分市	公共座標2系	変換	TKY2JGD	1.3.77	2.0.6
44201-3200-17.xml	奥Ｂ	44201	大分市	任意座標系				
44201-3200-18.xml	奥Ｂ（地籍図）	44201	大分市	公共座標2系	変換	TKY2JGD	1.3.77	2.0.6
44201-3200-19.xml	王子港町	44201	大分市	任意座標系				
44201-3200-20.xml	王子新町Ａ	44201	大分市	任意座標系				
44201-3200-21.xml	王子新町Ｂ	44201	大分市	任意座標系				
44201-3200-22.xml	王子西町	44201	大分市	任意座標系				
44201-3200-23.xml	王子西町Ａ	44201	大分市	任意座標系				
44201-3200-24.xml	王子北町	44201	大分市	任意座標系				
44201-3200-25.xml	下郡北１～３丁目区画整理図	44201	大分市	公共座標2系	変換	TKY2JGD	1.3.77	2.0.6
44201-3200-26.xml	下戸次Ａ	44201	大分市	任意座標系				
44201-3200-27.xml	下戸次Ｂ	44201	大分市	任意座標系				
44201-3200-28.xml	下戸次Ｃ	44201	大分市	任意座標系				
44201-3200-29.xml	下戸次Ｄ	44201	大分市	任意座標系				
44201-3200-30.xml	下戸次Ｅ	44201	大分市	任意座標系				
44201-3200-31.xml	下戸次Ｆ	44201	大分市	任意座標系				
44201-3200-32.xml	荷揚町	44201	大分市	任意座標系				
44201-3200-33.xml	下戸次Ｈ	44201	大分市	任意座標系				
44201-3200-34.xml	下戸次Ｉ	44201	大分市	任意座標系				
44201-3200-35.xml	下戸次Ｊ	44201	大分市	任意座標系				
44201-3200-36.xml	下戸次Ｋ	44201	大分市	任意座標系				
44201-3200-37.xml	下戸次Ｌ	44201	大分市	任意座標系				
44201-3200-38.xml	下戸次Ｍ	44201	大分市	任意座標系				
44201-3200-39.xml	下戸次Ｎ	44201	大分市	任意座標系				
44201-3200-40.xml	河原内Ａ	44201	大分市	任意座標系				
44201-3200-41.xml	河原内Ｂ	44201	大分市	任意座標系				
44201-3200-42.xml	河原内Ｃ	44201	大分市	任意座標系				
44201-3200-43.xml	河原内Ｄ	44201	大分市	任意座標系				
44201-3200-44.xml	河原内Ｅ	44201	大分市	任意座標系				
44201-3200-45.xml	河原内Ｆ	44201	大分市	任意座標系				
44201-3200-46.xml	河原内Ｇ	44201	大分市	任意座標系				
44201-3200-47.xml	河原内Ｈ	44201	大分市	任意座標系				
44201-3200-48.xml	河原内Ｉ	44201	大分市	任意座標系				
44201-3200-49.xml	河原内Ｊ	44201	大分市	任意座標系				
44201-3200-50.xml	河原内Ｋ	44201	大分市	任意座標系				
44201-3200-51.xml	河原内Ｌ	44201	大分市	任意座標系				
44201-3200-52.xml	河原内Ｍ	44201	大分市	任意座標系				
44201-3200-53.xml	河原内Ｎ	44201	大分市	任意座標系				
44201-3200-54.xml	河原内Ｏ	44201	大分市	任意座標系				
44201-3200-55.xml	河原内Ｐ	44201	大分市	任意座標系				
44201-3200-56.xml	河原内Ｑ	44201	大分市	任意座標系				
44201-3200-57.xml	河原内Ｒ	44201	大分市	任意座標系				
44201-3200-58.xml	河原内Ｓ	44201	大分市	任意座標系				
44201-3200-59.xml	河原内Ｔ	44201	大分市	任意座標系				
44201-3200-60.xml	宮尾	44201	大分市	任意座標系				
44201-3200-61.xml	河原内Ｖ	44201	大分市	任意座標系				
44201-3200-62.xml	河原内Ｗ	44201	大分市	任意座標系				
44201-3200-63.xml	河原内Ｘ	44201	大分市	任意座標系				
44201-3200-64.xml	河原内Ｙ	44201	大分市	任意座標系				
44201-3200-65.xml	河原内Ｚ	44201	大分市	任意座標系				
44201-3200-66.xml	花津留１丁目	44201	大分市	任意座標系				
44201-3200-67.xml	花津留２丁目	44201	大分市	任意座標系				
