ファイル名	地図名	市区町村コード	市区町村名	座標系	測地系判別	変換プログラム	変換プログラムバージョン	変換パラメータバージョン
45201-3500-1.xml	さぎせ原地区さぎせ原工区・法光坊南工区	45201	宮崎市	公共座標2系	変換	TKY2JGD	1.3.77	2.0.6
45201-3500-2.xml	さぎせ原地区坂ノ下工区	45201	宮崎市	公共座標2系	変換	TKY2JGD	1.3.77	2.0.6
45201-3500-3.xml	さぎせ原地区上ノ原工区	45201	宮崎市	公共座標2系	変換	TKY2JGD	1.3.77	2.0.6
45201-3500-4.xml	阿波岐ヶ原	45201	宮崎市	任意座標系				
45201-3500-5.xml	さぎせ原地区上西わらじこ工区	45201	宮崎市	公共座標2系	変換	TKY2JGD	1.3.77	2.0.6
45201-3500-6.xml	阿波岐原字産母・野間・中須・丹宝	45201	宮崎市	任意座標系				
45201-3500-7.xml	阿波岐原町・山崎町（１／１０００）	45201	宮崎市	任意座標系				
45201-3500-8.xml	旭１～２丁目	45201	宮崎市	任意座標系				
45201-3500-9.xml	一ノ宮町	45201	宮崎市	任意座標系				
45201-3500-10.xml	浦之名（確定図１／１０００）Ａ	45201	宮崎市	公共座標2系	変換	TKY2JGD	1.3.77	2.0.6
45201-3500-11.xml	浦之名（確定図１／１０００）Ｂ	45201	宮崎市	公共座標2系	変換	TKY2JGD	1.3.77	2.0.6
45201-3500-12.xml	浦之名（確定図１／１０００）Ｃ	45201	宮崎市	公共座標2系	変換	TKY2JGD	1.3.77	2.0.6
45201-3500-13.xml	瓜生野Ｂ	45201	宮崎市	任意座標系				
45201-3500-14.xml	塩路字定右エ門・地蔵出・人ノ前・谷口・他	45201	宮崎市	任意座標系				
45201-3500-15.xml	下倉永（確定図１／５００）	45201	宮崎市	公共座標2系	変換	TKY2JGD	1.3.77	2.0.6
45201-3500-16.xml	下北方町Ｂ１	45201	宮崎市	任意座標系				
45201-3500-17.xml	下北方町Ｂ２	45201	宮崎市	任意座標系				
45201-3500-18.xml	下北方町Ｃ２	45201	宮崎市	任意座標系				
45201-3500-19.xml	下北方町Ｄ２	45201	宮崎市	任意座標系				
45201-3500-20.xml	下北方町Ｅ１	45201	宮崎市	任意座標系				
45201-3500-21.xml	錦町	45201	宮崎市	任意座標系				
45201-3500-22.xml	下北方町Ｅ２	45201	宮崎市	任意座標系				
45201-3500-23.xml	下北方町Ｆ２	45201	宮崎市	任意座標系				
45201-3500-24.xml	加江田Ａ	45201	宮崎市	任意座標系				
45201-3500-25.xml	加江田Ｂ	45201	宮崎市	任意座標系				
45201-3500-26.xml	加納乙・菰迫	45201	宮崎市	任意座標系				
45201-3500-27.xml	加納乙・黒岩・山下・薮ヶ迫	45201	宮崎市	任意座標系				
45201-3500-28.xml	加納乙・西迫	45201	宮崎市	任意座標系				
45201-3500-29.xml	加納乙・西迫・町ノ前・大坪平・永見取・他	45201	宮崎市	任意座標系				
