ファイル名	地図名	市区町村コード	市区町村名	座標系	測地系判別	変換プログラム	変換プログラムバージョン	変換パラメータバージョン
46201-3400-1.xml	伊敷3丁目	46201	鹿児島市	公共座標2系	測量			
46201-3400-2.xml	松浦	46201	鹿児島市	任意座標系				
46201-3400-3.xml	伊敷町	46201	鹿児島市	公共座標2系	変換	TKY2JGD	1.3.77	2.0.6
46201-3400-4.xml	伊敷町（１）	46201	鹿児島市	公共座標2系	変換	TKY2JGD	1.3.77	2.0.6
46201-3400-5.xml	伊敷町（２）	46201	鹿児島市	公共座標2系	変換	TKY2JGD	1.3.77	2.0.6
46201-3400-6.xml	伊敷町（３）	46201	鹿児島市	公共座標2系	変換	TKY2JGD	1.3.77	2.0.6
46201-3400-7.xml	伊敷町（４）	46201	鹿児島市	公共座標2系	変換	TKY2JGD	1.3.77	2.0.6
46201-3400-8.xml	伊敷町（５）	46201	鹿児島市	公共座標2系	変換	TKY2JGD	1.3.77	2.0.6
46201-3400-9.xml	伊敷町１	46201	鹿児島市	任意座標系				
46201-3400-10.xml	伊敷町Ｃ	46201	鹿児島市	任意座標系				
46201-3400-11.xml	伊敷町Ｄ	46201	鹿児島市	任意座標系				
46201-3400-12.xml	伊敷町Ｅ	46201	鹿児島市	任意座標系				
46201-3400-13.xml	伊敷町Ｆ	46201	鹿児島市	任意座標系				
46201-3400-14.xml	伊敷町Ｇ	46201	鹿児島市	任意座標系				
46201-3400-15.xml	稲荷町・鼓川町・清水町	46201	鹿児島市	任意座標系				
46201-3400-16.xml	宇宿・紫原・田上町	46201	鹿児島市	公共座標2系	変換	TKY2JGD	1.3.77	2.0.6
46201-3400-17.xml	宇宿三丁目	46201	鹿児島市	任意座標系				
46201-3400-18.xml	宇宿町119-81C	46201	鹿児島市	任意座標系				
46201-3400-19.xml	宇宿町Ｃ	46201	鹿児島市	任意座標系				
46201-3400-20.xml	宇宿町Ｄ	46201	鹿児島市	任意座標系				
46201-3400-21.xml	宇宿町Ｆ	46201	鹿児島市	任意座標系				
46201-3400-22.xml	宇宿二丁目	46201	鹿児島市	任意座標系				
46201-3400-23.xml	岡之原町	46201	鹿児島市	任意座標系				
46201-3400-24.xml	岡之原町１Ａ	46201	鹿児島市	任意座標系				
46201-3400-25.xml	岡之原町１Ｄ	46201	鹿児島市	任意座標系				
46201-3400-26.xml	岡之原町１Ｅ	46201	鹿児島市	公共座標2系	変換	TKY2JGD	1.3.77	2.0.6
46201-3400-27.xml	下伊敷３丁目（3-2・11-2）	46201	鹿児島市	公共座標2系	変換	TKY2JGD	1.3.77	2.0.6
46201-3400-28.xml	下伊敷町・与次郎１丁目	46201	鹿児島市	任意座標系				
46201-3400-29.xml	下伊敷町Ｂ	46201	鹿児島市	任意座標系				
46201-3400-30.xml	下伊敷町Ｃ	46201	鹿児島市	任意座標系				
46201-3400-31.xml	下荒田４丁目	46201	鹿児島市	任意座標系				
46201-3400-32.xml	下田町	46201	鹿児島市	任意座標系				
46201-3400-33.xml	下荒田二丁目	46201	鹿児島市	任意座標系				
46201-3400-34.xml	下田町・鴨池２丁目・真砂本町	46201	鹿児島市	任意座標系				
46201-3400-35.xml	下田町２	46201	鹿児島市	任意座標系				
46201-3400-36.xml	吉野町	46201	鹿児島市	任意座標系				
46201-3400-37.xml	下田町３	46201	鹿児島市	任意座標系				
46201-3400-38.xml	下田町Ａ	46201	鹿児島市	公共座標2系	変換	TKY2JGD	1.3.77	2.0.6
46201-3400-39.xml	下田町Ｃ	46201	鹿児島市	任意座標系				
46201-3400-40.xml	下田町Ｅ	46201	鹿児島市	任意座標系				
46201-3400-41.xml	下田町Ｆ	46201	鹿児島市	任意座標系				
46201-3400-42.xml	下田町Ｇ	46201	鹿児島市	任意座標系				
46201-3400-43.xml	下福元町・慈眼寺町	46201	鹿児島市	公共座標2系	測量			
46201-3400-44.xml	下福元町Ｂ	46201	鹿児島市	任意座標系				
46201-3400-45.xml	下福元町Ｃ	46201	鹿児島市	任意座標系				
46201-3400-46.xml	下福元町Ｅ	46201	鹿児島市	任意座標系				
46201-3400-47.xml	下福元町Ｇ	46201	鹿児島市	公共座標2系	変換	TKY2JGD	1.3.77	2.0.6
46201-3400-48.xml	下福元町Ｈ	46201	鹿児島市	公共座標2系	変換	TKY2JGD	1.3.77	2.0.6
46201-3400-49.xml	下福元町Ｌ	46201	鹿児島市	任意座標系				
46201-3400-50.xml	下福元町Ｐ	46201	鹿児島市	任意座標系				
46201-3400-51.xml	下福元町Ｑ	46201	鹿児島市	任意座標系				
46201-3400-52.xml	下福元町Ｒ	46201	鹿児島市	任意座標系				
46201-3400-53.xml	下竜尾町	46201	鹿児島市	任意座標系				
46201-3400-54.xml	加治屋町	46201	鹿児島市	任意座標系				
46201-3400-55.xml	花野光ヶ丘Ａ	46201	鹿児島市	任意座標系				
46201-3400-56.xml	花野光ヶ丘Ｂ	46201	鹿児島市	任意座標系				
46201-3400-57.xml	花野光ヶ丘Ｃ	46201	鹿児島市	任意座標系				
46201-3400-58.xml	皆与志町	46201	鹿児島市	公共座標2系	変換	TKY2JGD	1.3.77	2.0.6
46201-3400-59.xml	皆与志町（０７３ー１５）	46201	鹿児島市	任意座標系				
