ファイル名	地図名	市区町村コード	市区町村名	座標系	測地系判別	変換プログラム	変換プログラムバージョン	変換パラメータバージョン
47201-3600-1.xml	安里他	47201	那覇市	公共座標15系	変換	TKY2JGD	1.3.77	2.0.6
47201-3600-2.xml	安謝・天久他Ｂ	47201	那覇市	公共座標15系	変換	TKY2JGD	1.3.77	2.0.6
47201-3600-3.xml	安里１丁目	47201	那覇市	公共座標15系	変換	TKY2JGD	1.3.77	2.0.6
47201-3600-4.xml	宇栄原	47201	那覇市	公共座標15系	変換	TKY2JGD	1.3.77	2.0.6
47201-3600-5.xml	宇栄原（数値地区）	47201	那覇市	公共座標15系	変換	TKY2JGD	1.3.77	2.0.6
47201-3600-6.xml	宇栄原１丁目・具志２丁目～３丁目・他	47201	那覇市	公共座標15系	変換	TKY2JGD	1.3.77	2.0.6
47201-3600-7.xml	寄宮３丁目・三原１丁目	47201	那覇市	公共座標15系	変換	TKY2JGD	1.3.77	2.0.6
47201-3600-8.xml	久米	47201	那覇市	公共座標15系	変換	TKY2JGD	1.3.77	2.0.6
47201-3600-9.xml	久茂地	47201	那覇市	公共座標15系	変換	TKY2JGD	1.3.77	2.0.6
47201-3600-10.xml	宮城１丁目・具志１丁目～３丁目	47201	那覇市	公共座標15系	変換	TKY2JGD	1.3.77	2.0.6
47201-3600-11.xml	鏡原町	47201	那覇市	公共座標15系	変換	TKY2JGD	1.3.77	2.0.6
47201-3600-12.xml	具志	47201	那覇市	公共座標15系	変換	TKY2JGD	1.3.77	2.0.6
47201-3600-13.xml	具志・具志３丁目	47201	那覇市	公共座標15系	変換	TKY2JGD	1.3.77	2.0.6
47201-3600-14.xml	具志１丁目～２丁目・宮城１丁目・他	47201	那覇市	公共座標15系	変換	TKY2JGD	1.3.77	2.0.6
47201-3600-15.xml	古島１・２丁目他（１／５００）	47201	那覇市	公共座標15系	変換	TKY2JGD	1.3.77	2.0.6
47201-3600-16.xml	古波蔵３丁目	47201	那覇市	公共座標15系	変換	TKY2JGD	1.3.77	2.0.6
47201-3600-17.xml	港町	47201	那覇市	公共座標15系	変換	TKY2JGD	1.3.77	2.0.6
